Dia,Casos_Totales,Tasa_Ataque
2021-08-14,1778,5.19
2021-08-15,1778,5.19
2021-08-16,1779,5.19
2021-08-17,1779,5.19
2021-08-18,1779,5.19
2021-08-19,1779,5.19
2021-08-20,1779,5.19
2021-08-21,1779,5.19
2021-08-22,1779,5.19
2021-08-23,1779,5.19
2021-08-24,1779,5.19
2021-08-25,1779,5.19
2021-08-26,1779,5.19
2021-08-27,1779,5.19
2021-08-28,1779,5.19
2021-08-29,1779,5.19
2021-08-30,1779,5.19
2021-08-31,1779,5.19
2021-09-01,1779,5.19
2021-09-02,1779,5.19
2021-09-03,1779,5.19
2021-09-04,1779,5.19
2021-09-05,1780,5.19
2021-09-06,1780,5.19
2021-09-07,1780,5.19
2021-09-08,1780,5.19
2021-09-09,1780,5.19
2021-09-10,1780,5.19
2021-09-11,1780,5.19
2021-09-12,1780,5.19
2021-09-13,1780,5.19
2021-09-14,1780,5.19
2021-09-15,1781,5.2
2021-09-16,1781,5.2
2021-09-17,1781,5.2
2021-09-18,1781,5.2
2021-09-19,1781,5.2
2021-09-20,1781,5.2
2021-09-21,1782,5.2
2021-09-22,1782,5.2
2021-09-23,1782,5.2
2021-09-24,1782,5.2
2021-09-25,1783,5.2
2021-09-26,1783,5.2
2021-09-27,1783,5.2
2021-09-28,1783,5.2
2021-09-29,1783,5.2
2021-09-30,1783,5.2
2021-10-01,1783,5.2
2021-10-02,1783,5.2
2021-10-03,1783,5.2
2021-10-04,1783,5.2
2021-10-05,1783,5.2
2021-10-06,1783,5.2
2021-10-07,1783,5.2
2021-10-08,1783,5.2
2021-10-09,1783,5.2
2021-10-10,1783,5.2
2021-10-11,1783,5.2
2021-10-12,1783,5.2
