Dia,Casos_Totales,Tasa_Ataque
2021-08-13,10721,3.35
2021-08-14,10722,3.35
2021-08-15,10723,3.35
2021-08-16,10726,3.35
2021-08-17,10726,3.35
2021-08-18,10726,3.35
2021-08-19,10726,3.35
2021-08-20,10726,3.35
2021-08-21,10726,3.35
2021-08-22,10726,3.35
2021-08-23,10727,3.35
2021-08-24,10727,3.35
2021-08-25,10727,3.35
2021-08-26,10727,3.35
2021-08-27,10727,3.35
2021-08-28,10727,3.35
2021-08-29,10727,3.35
2021-08-30,10728,3.35
2021-08-31,10728,3.35
2021-09-01,10728,3.35
2021-09-02,10728,3.35
2021-09-03,10728,3.35
2021-09-04,10728,3.35
2021-09-05,10730,3.35
2021-09-06,10730,3.35
2021-09-07,10730,3.35
2021-09-08,10730,3.35
2021-09-09,10730,3.35
2021-09-10,10731,3.35
2021-09-11,10731,3.35
2021-09-12,10732,3.35
2021-09-13,10732,3.35
2021-09-14,10733,3.35
2021-09-15,10733,3.35
2021-09-16,10734,3.35
2021-09-17,10734,3.35
2021-09-18,10735,3.35
2021-09-19,10735,3.35
2021-09-20,10735,3.35
2021-09-21,10737,3.35
2021-09-22,10737,3.35
2021-09-23,10737,3.35
2021-09-24,10738,3.35
2021-09-25,10742,3.35
2021-09-26,10742,3.35
2021-09-27,10742,3.35
2021-09-28,10742,3.35
2021-09-29,10742,3.35
2021-09-30,10742,3.35
2021-10-01,10742,3.35
2021-10-02,10744,3.35
2021-10-03,10744,3.35
2021-10-04,10745,3.35
2021-10-05,10745,3.35
2021-10-06,10745,3.35
2021-10-07,10746,3.35
2021-10-08,10747,3.35
2021-10-09,10748,3.35
2021-10-10,10749,3.35
2021-10-11,10749,3.35
2021-10-12,10749,3.35
