Dia,Casos_Totales,Tasa_Ataque
2021-09-01,12567,3.57
2021-09-02,12567,3.57
2021-09-03,12568,3.57
2021-09-04,12568,3.57
2021-09-05,12568,3.57
2021-09-06,12568,3.57
2021-09-07,12570,3.58
2021-09-08,12570,3.58
2021-09-09,12570,3.58
2021-09-10,12570,3.58
2021-09-11,12571,3.58
2021-09-12,12571,3.58
2021-09-13,12572,3.58
2021-09-14,12572,3.58
2021-09-15,12572,3.58
2021-09-16,12572,3.58
2021-09-17,12572,3.58
2021-09-18,12573,3.58
2021-09-19,12573,3.58
2021-09-20,12573,3.58
2021-09-21,12581,3.58
2021-09-22,12585,3.58
2021-09-23,12588,3.58
2021-09-24,12590,3.58
2021-09-25,12592,3.58
2021-09-26,12592,3.58
2021-09-27,12592,3.58
