Dia,Casos_Totales,Tasa_Ataque
2021-04-05,628,1.25
2021-04-06,628,1.25
2021-04-07,628,1.25
2021-04-08,628,1.25
2021-04-09,628,1.25
2021-04-10,629,1.25
2021-04-11,629,1.25
2021-04-12,630,1.25
2021-04-13,630,1.25
2021-04-14,630,1.25
2021-04-15,627,1.25
2021-04-16,630,1.25
2021-04-17,630,1.25
2021-04-18,630,1.25
2021-04-19,630,1.25
2021-04-20,631,1.25
2021-04-21,631,1.25
2021-04-22,631,1.25
2021-04-23,631,1.25
2021-04-24,632,1.26
2021-04-25,632,1.26
2021-04-26,633,1.26
2021-04-27,633,1.26
2021-04-28,633,1.26
2021-04-29,633,1.26
2021-04-30,633,1.26
2021-05-01,634,1.26
2021-05-02,634,1.26
2021-05-03,634,1.26
2021-05-04,634,1.26
2021-05-05,634,1.26
2021-05-06,635,1.26
2021-05-07,635,1.26
2021-05-08,635,1.26
2021-05-09,635,1.26
2021-05-10,635,1.26
2021-05-11,635,1.26
2021-05-12,635,1.26
2021-05-13,636,1.26
2021-05-14,637,1.27
2021-05-15,637,1.27
2021-05-16,637,1.27
2021-05-17,637,1.27
2021-05-18,637,1.27
2021-05-19,637,1.27
2021-05-20,637,1.27
2021-05-21,637,1.27
2021-05-22,638,1.27
2021-05-23,638,1.27
2021-05-24,638,1.27
2021-05-25,638,1.27
2021-05-26,638,1.27
2021-05-27,638,1.27
2021-05-28,638,1.27
2021-05-29,638,1.27
2021-05-30,638,1.27
2021-05-31,638,1.27
2021-06-01,638,1.27
2021-06-02,638,1.27
2021-06-03,638,1.27
2021-06-04,638,1.27
2021-06-05,638,1.27
2021-06-06,638,1.27
2021-06-07,638,1.27
2021-06-08,639,1.27
2021-06-09,639,1.27
2021-06-10,639,1.27
2021-06-11,639,1.27
2021-06-12,639,1.27
2021-06-13,639,1.27
2021-06-14,640,1.27
2021-06-15,640,1.27
2021-06-16,640,1.27
2021-06-17,640,1.27
2021-06-18,640,1.27
2021-06-19,640,1.27
2021-06-20,640,1.27
2021-06-21,640,1.27
2021-06-22,640,1.27
2021-06-23,640,1.27
2021-06-24,640,1.27
2021-06-25,640,1.27
2021-06-26,640,1.27
2021-06-27,640,1.27
2021-06-28,640,1.27
2021-06-29,640,1.27
2021-06-30,640,1.27
2021-07-01,640,1.27
2021-07-02,640,1.27
2021-07-03,640,1.27
2021-07-04,640,1.27
2021-07-05,640,1.27
2021-07-06,640,1.27
2021-07-07,640,1.27
2021-07-08,640,1.27
2021-07-09,640,1.27
2021-07-10,641,1.27
2021-07-11,641,1.27
2021-07-12,641,1.27
2021-07-13,641,1.27
2021-07-14,641,1.27
2021-07-15,641,1.27
2021-07-16,641,1.27
2021-07-17,641,1.27
2021-07-18,641,1.27
2021-07-19,641,1.27
2021-07-20,641,1.27
2021-07-21,641,1.27
2021-07-22,641,1.27
2021-07-23,641,1.27
2021-07-24,641,1.27
2021-07-25,641,1.27
2021-07-26,641,1.27
2021-07-27,641,1.27
2021-07-28,641,1.27
2021-07-29,641,1.27
2021-07-30,641,1.27
2021-07-31,641,1.27
2021-08-01,641,1.27
2021-08-02,641,1.27
2021-08-03,641,1.27
2021-08-04,641,1.27
2021-08-05,641,1.27
2021-08-06,641,1.27
2021-08-07,641,1.27
2021-08-08,641,1.27
2021-08-09,641,1.27
2021-08-10,641,1.27
2021-08-11,641,1.27
2021-08-12,641,1.27
2021-08-13,641,1.27
2021-08-14,641,1.27
2021-08-15,641,1.27
2021-08-16,641,1.27
2021-08-17,641,1.27
2021-08-18,641,1.27
2021-08-19,641,1.27
2021-08-20,641,1.27
2021-08-21,642,1.28
2021-08-22,642,1.28
2021-08-23,642,1.28
2021-08-24,642,1.28
2021-08-25,642,1.28
2021-08-26,642,1.28
2021-08-27,642,1.28
2021-08-28,642,1.28
2021-08-29,642,1.28
2021-08-30,642,1.28
2021-08-31,642,1.28
2021-09-01,642,1.28
2021-09-02,642,1.28
2021-09-03,642,1.28
2021-09-04,642,1.28
2021-09-05,642,1.28
2021-09-06,642,1.28
2021-09-07,642,1.28
2021-09-08,642,1.28
2021-09-09,642,1.28
2021-09-10,642,1.28
2021-09-11,642,1.28
2021-09-12,642,1.28
2021-09-13,642,1.28
2021-09-14,642,1.28
2021-09-15,642,1.28
2021-09-16,642,1.28
2021-09-17,642,1.28
2021-09-18,642,1.28
2021-09-19,642,1.28
2021-09-20,642,1.28
2021-09-21,642,1.28
2021-09-22,642,1.28
2021-09-23,642,1.28
2021-09-24,642,1.28
2021-09-25,643,1.28
2021-09-26,643,1.28
2021-09-27,643,1.28
2021-09-28,643,1.28
2021-09-29,643,1.28
2021-09-30,643,1.28
2021-10-01,643,1.28
2021-10-02,643,1.28
2021-10-03,643,1.28
2021-10-04,643,1.28
2021-10-05,643,1.28
2021-10-06,643,1.28
2021-10-07,643,1.28
2021-10-08,643,1.28
2021-10-09,643,1.28
2021-10-10,643,1.28
2021-10-11,643,1.28
2021-10-12,644,1.28
2021-10-13,644,1.28
2021-10-14,644,1.28
2021-10-15,644,1.28
2021-10-16,644,1.28
2021-10-17,644,1.28
2021-10-18,644,1.28
2021-10-19,644,1.28
2021-10-20,644,1.28
2021-10-21,645,1.28
2021-10-22,645,1.28
2021-10-23,645,1.28
2021-10-24,645,1.28
2021-10-25,645,1.28
2021-10-26,645,1.28
2021-10-27,645,1.28
2021-10-28,645,1.28
2021-10-29,645,1.28
2021-10-30,645,1.28
2021-10-31,645,1.28
2021-11-01,645,1.28
2021-11-02,645,1.28
2021-11-03,645,1.28
2021-11-04,645,1.28
2021-11-05,645,1.28
