Dia,Casos_Totales,Tasa_Ataque
2021-08-30,31547,0
2021-08-31,31547,0
2021-09-01,31547,0
2021-09-02,31547,0
2021-09-03,31547,0
2021-09-04,31547,0
2021-09-05,31547,0
2021-09-06,31547,0
2021-09-07,31547,0
2021-09-08,31547,0
2021-09-09,31547,0
2021-09-10,31547,0
2021-09-11,31547,0
2021-09-12,31547,0
2021-09-13,31547,0
2021-09-14,31547,0
2021-09-15,31547,0
2021-09-16,31547,0
2021-09-17,31547,0
2021-09-18,31547,0
2021-09-19,31547,0
2021-09-20,31547,0
2021-09-21,31549,0
2021-09-22,31549,0
2021-09-23,31549,0
2021-09-24,31549,0
2021-09-25,31550,0
2021-09-26,31550,0
2021-09-27,31550,0
2021-09-28,31550,0
2021-09-29,31550,0
2021-09-30,31550,0
2021-10-01,31550,0
2021-10-02,31550,0
2021-10-03,31550,0
2021-10-04,31550,0
2021-10-05,31550,0
2021-10-06,31550,0
2021-10-07,31550,0
2021-10-08,31550,0
2021-10-09,31550,0
2021-10-10,31550,0
2021-10-11,31550,0
2021-10-12,31541,0
