Dia,Casos_Totales,Tasa_Ataque
2021-09-01,10795,4.6
2021-09-02,10795,4.6
2021-09-03,10795,4.6
2021-09-04,10795,4.6
2021-09-05,10795,4.6
2021-09-06,10795,4.6
2021-09-07,10796,4.6
2021-09-08,10796,4.6
2021-09-09,10796,4.6
2021-09-10,10796,4.6
2021-09-11,10796,4.6
2021-09-12,10796,4.6
2021-09-13,10797,4.6
2021-09-14,10797,4.6
2021-09-15,10797,4.6
2021-09-16,10797,4.6
2021-09-17,10798,4.6
2021-09-18,10799,4.6
2021-09-19,10799,4.6
2021-09-20,10799,4.6
2021-09-21,10803,4.61
2021-09-22,10803,4.61
2021-09-23,10805,4.61
2021-09-24,10806,4.61
2021-09-25,10807,4.61
2021-09-26,10807,4.61
2021-09-27,10807,4.61
