Dia,Casos_Totales,Tasa_Ataque
2021-04-05,5027,2.64
2021-04-06,5032,2.64
2021-04-07,5033,2.64
2021-04-08,5034,2.64
2021-04-09,5036,2.64
2021-04-10,5038,2.64
2021-04-11,5041,2.64
2021-04-12,5043,2.65
2021-04-13,5046,2.65
2021-04-14,5049,2.65
2021-04-15,5033,2.64
2021-04-16,5059,2.65
2021-04-17,5062,2.66
2021-04-18,5064,2.66
2021-04-19,5065,2.66
2021-04-20,5067,2.66
2021-04-21,5068,2.66
2021-04-22,5070,2.66
2021-04-23,5072,2.66
2021-04-24,5072,2.66
2021-04-25,5074,2.66
2021-04-26,5076,2.66
2021-04-27,5077,2.66
2021-04-28,5077,2.66
2021-04-29,5079,2.66
2021-04-30,5079,2.66
2021-05-01,5079,2.66
2021-05-02,5080,2.66
2021-05-03,5080,2.66
2021-05-04,5082,2.67
2021-05-05,5082,2.67
2021-05-06,5082,2.67
2021-05-07,5082,2.67
2021-05-08,5082,2.67
2021-05-09,5082,2.67
2021-05-10,5084,2.67
2021-05-11,5085,2.67
2021-05-12,5087,2.67
2021-05-13,5089,2.67
2021-05-14,5090,2.67
2021-05-15,5091,2.67
2021-05-16,5091,2.67
2021-05-17,5091,2.67
2021-05-18,5093,2.67
2021-05-19,5093,2.67
2021-05-20,5093,2.67
2021-05-21,5095,2.67
2021-05-22,5096,2.67
2021-05-23,5096,2.67
2021-05-24,5096,2.67
2021-05-25,5096,2.67
2021-05-26,5099,2.67
2021-05-27,5099,2.67
2021-05-28,5101,2.68
2021-05-29,5101,2.68
2021-05-30,5101,2.68
2021-05-31,5101,2.68
2021-06-01,5102,2.68
2021-06-02,5103,2.68
2021-06-03,5103,2.68
2021-06-04,5104,2.68
2021-06-05,5104,2.68
2021-06-06,5104,2.68
2021-06-07,5105,2.68
2021-06-08,5105,2.68
2021-06-09,5105,2.68
2021-06-10,5107,2.68
2021-06-11,5107,2.68
2021-06-12,5109,2.68
2021-06-13,5109,2.68
2021-06-14,5109,2.68
2021-06-15,5109,2.68
2021-06-16,5109,2.68
2021-06-17,5109,2.68
2021-06-18,5110,2.68
2021-06-19,5110,2.68
2021-06-20,5110,2.68
2021-06-21,5111,2.68
2021-06-22,5112,2.68
2021-06-23,5113,2.68
2021-06-24,5113,2.68
2021-06-25,5113,2.68
2021-06-26,5113,2.68
2021-06-27,5113,2.68
2021-06-28,5113,2.68
2021-06-29,5113,2.68
2021-06-30,5114,2.68
2021-07-01,5115,2.68
2021-07-02,5116,2.68
2021-07-03,5117,2.68
2021-07-04,5118,2.68
2021-07-05,5119,2.69
2021-07-06,5121,2.69
2021-07-07,5121,2.69
2021-07-08,5122,2.69
2021-07-09,5123,2.69
2021-07-10,5123,2.69
2021-07-11,5124,2.69
2021-07-12,5124,2.69
2021-07-13,5125,2.69
2021-07-14,5125,2.69
2021-07-15,5125,2.69
2021-07-16,5125,2.69
2021-07-17,5125,2.69
2021-07-18,5125,2.69
2021-07-19,5126,2.69
2021-07-20,5126,2.69
2021-07-21,5127,2.69
2021-07-22,5130,2.69
2021-07-23,5130,2.69
2021-07-24,5130,2.69
2021-07-25,5131,2.69
2021-07-26,5131,2.69
2021-07-27,5131,2.69
2021-07-28,5131,2.69
2021-07-29,5131,2.69
2021-07-30,5131,2.69
2021-07-31,5131,2.69
2021-08-01,5131,2.69
2021-08-02,5131,2.69
2021-08-03,5132,2.69
2021-08-04,5132,2.69
2021-08-05,5132,2.69
2021-08-06,5132,2.69
2021-08-07,5132,2.69
2021-08-08,5132,2.69
2021-08-09,5132,2.69
2021-08-10,5133,2.69
2021-08-11,5133,2.69
2021-08-12,5133,2.69
2021-08-13,5134,2.69
