Dia,Casos_Totales,Tasa_Ataque
2021-06-04,12531,6.63
2021-06-05,12531,6.63
2021-06-06,12531,6.63
2021-06-07,12531,6.63
2021-06-08,12531,6.63
2021-06-09,12534,6.63
2021-06-10,12535,6.64
2021-06-11,12535,6.64
2021-06-12,12535,6.64
2021-06-13,12535,6.64
2021-06-14,12536,6.64
2021-06-15,12536,6.64
2021-06-16,12540,6.64
2021-06-17,12540,6.64
2021-06-18,12540,6.64
2021-06-19,12540,6.64
2021-06-20,12540,6.64
2021-06-21,12540,6.64
2021-06-22,12541,6.64
2021-06-23,12541,6.64
2021-06-24,12541,6.64
2021-06-25,12543,6.64
2021-06-26,12543,6.64
2021-06-27,12544,6.64
2021-06-28,12544,6.64
2021-06-29,12544,6.64
2021-06-30,12545,6.64
2021-07-01,12545,6.64
2021-07-02,12546,6.64
2021-07-03,12546,6.64
2021-07-04,12546,6.64
2021-07-05,12546,6.64
2021-07-06,12546,6.64
2021-07-07,12546,6.64
2021-07-08,12546,6.64
2021-07-09,12546,6.64
2021-07-10,12546,6.64
2021-07-11,12546,6.64
2021-07-12,12546,6.64
2021-07-13,12546,6.64
2021-07-14,12546,6.64
2021-07-15,12546,6.64
2021-07-16,12546,6.64
2021-07-17,12546,6.64
2021-07-18,12546,6.64
2021-07-19,12546,6.64
2021-07-20,12546,6.64
2021-07-21,12547,6.64
2021-07-22,12547,6.64
2021-07-23,12548,6.64
2021-07-24,12548,6.64
2021-07-25,12548,6.64
2021-07-26,12548,6.64
2021-07-27,12549,6.64
2021-07-28,12549,6.64
2021-07-29,12550,6.64
2021-07-30,12550,6.64
2021-07-31,12557,6.65
2021-08-01,12557,6.65
2021-08-02,12558,6.65
2021-08-03,12558,6.65
2021-08-04,12558,6.65
2021-08-05,12558,6.65
2021-08-06,12558,6.65
2021-08-07,12558,6.65
2021-08-08,12558,6.65
2021-08-09,12558,6.65
2021-08-10,12559,6.65
2021-08-11,12559,6.65
2021-08-12,12560,6.65
2021-08-13,12560,6.65
2021-08-14,12560,6.65
2021-08-15,12560,6.65
2021-08-16,12562,6.65
2021-08-17,12562,6.65
2021-08-18,12562,6.65
2021-08-19,12562,6.65
2021-08-20,12562,6.65
2021-08-21,12562,6.65
2021-08-22,12562,6.65
2021-08-23,12562,6.65
2021-08-24,12562,6.65
2021-08-25,12562,6.65
2021-08-26,12562,6.65
2021-08-27,12563,6.65
2021-08-28,12565,6.65
2021-08-29,12565,6.65
2021-08-30,12565,6.65
2021-08-31,12565,6.65
2021-09-01,12565,6.65
2021-09-02,12565,6.65
2021-09-03,12565,6.65
2021-09-04,12565,6.65
2021-09-05,12565,6.65
2021-09-06,12566,6.65
2021-09-07,12566,6.65
2021-09-08,12566,6.65
2021-09-09,12567,6.65
2021-09-10,12567,6.65
2021-09-11,12569,6.65
2021-09-12,12569,6.65
2021-09-13,12569,6.65
2021-09-14,12569,6.65
2021-09-15,12569,6.65
2021-09-16,12569,6.65
2021-09-17,12569,6.65
2021-09-18,12569,6.65
2021-09-19,12569,6.65
2021-09-20,12569,6.65
2021-09-21,12573,6.66
2021-09-22,12574,6.66
2021-09-23,12574,6.66
2021-09-24,12574,6.66
2021-09-25,12577,6.66
2021-09-26,12577,6.66
2021-09-27,12577,6.66
2021-09-28,12577,6.66
2021-09-29,12577,6.66
2021-09-30,12577,6.66
2021-10-01,12577,6.66
2021-10-02,12579,6.66
2021-10-03,12580,6.66
2021-10-04,12580,6.66
2021-10-05,12581,6.66
2021-10-06,12582,6.66
2021-10-07,12582,6.66
2021-10-08,12582,6.66
2021-10-09,12582,6.66
2021-10-10,12582,6.66
2021-10-11,12582,6.66
2021-10-12,12582,6.66
