Dia,Casos_Totales,Tasa_Ataque
2021-07-12,36883,12.17
2021-07-13,36886,12.17
2021-07-14,36890,12.17
2021-07-15,36892,12.17
2021-07-16,36895,12.18
2021-07-17,36896,12.18
2021-07-18,36896,12.18
2021-07-19,36899,12.18
2021-07-20,36900,12.18
2021-07-21,36901,12.18
2021-07-22,36901,12.18
2021-07-23,36903,12.18
2021-07-24,36904,12.18
2021-07-25,36904,12.18
2021-07-26,36904,12.18
2021-07-27,36906,12.18
2021-07-28,36906,12.18
2021-07-29,36907,12.18
2021-07-30,36907,12.18
2021-07-31,36908,12.18
2021-08-01,36908,12.18
2021-08-02,36910,12.18
2021-08-03,36913,12.18
2021-08-04,36915,12.18
2021-08-05,36920,12.18
2021-08-06,36923,12.18
2021-08-07,36924,12.19
2021-08-08,36924,12.19
2021-08-09,36924,12.19
2021-08-10,36928,12.19
2021-08-11,36928,12.19
2021-08-12,36928,12.19
2021-08-13,36928,12.19
2021-08-14,36930,12.19
2021-08-15,36930,12.19
2021-08-16,36934,12.19
2021-08-17,36934,12.19
2021-08-18,36936,12.19
2021-08-19,36938,12.19
2021-08-20,36939,12.19
2021-08-21,36940,12.19
2021-08-22,36940,12.19
2021-08-23,36943,12.19
2021-08-24,36946,12.19
2021-08-25,36947,12.19
2021-08-26,36948,12.19
2021-08-27,36949,12.19
2021-08-28,36951,12.19
2021-08-29,36951,12.19
2021-08-30,36952,12.19
2021-08-31,36953,12.19
2021-09-01,36956,12.2
2021-09-02,36958,12.2
2021-09-03,36959,12.2
2021-09-04,36960,12.2
2021-09-05,36961,12.2
2021-09-06,36962,12.2
2021-09-07,36962,12.2
2021-09-08,36962,12.2
2021-09-09,36963,12.2
2021-09-10,36964,12.2
2021-09-11,36965,12.2
2021-09-12,36965,12.2
2021-09-13,36966,12.2
2021-09-14,36969,12.2
2021-09-15,36969,12.2
2021-09-16,36969,12.2
2021-09-17,36971,12.2
2021-09-18,36973,12.2
2021-09-19,36973,12.2
2021-09-20,36975,12.2
2021-09-21,37002,12.21
2021-09-22,37003,12.21
2021-09-23,37005,12.21
2021-09-24,37008,12.21
2021-09-25,37030,12.22
2021-09-26,37030,12.22
2021-09-27,37031,12.22
2021-09-28,37033,12.22
2021-09-29,37035,12.22
2021-09-30,37037,12.22
2021-10-01,37038,12.22
2021-10-02,37041,12.22
2021-10-03,37041,12.22
2021-10-04,37044,12.22
2021-10-05,37044,12.22
2021-10-06,37045,12.22
2021-10-07,37047,12.23
2021-10-08,37048,12.23
2021-10-09,37050,12.23
2021-10-10,37051,12.23
2021-10-11,37051,12.23
2021-10-12,37052,12.23
