Dia,Casos_Totales,Tasa_Ataque
2021-07-30,5015,5.25
2021-07-31,5015,5.25
2021-08-01,5015,5.25
2021-08-02,5015,5.25
2021-08-03,5016,5.25
2021-08-04,5016,5.25
2021-08-05,5016,5.25
2021-08-06,5016,5.25
2021-08-07,5017,5.25
2021-08-08,5017,5.25
2021-08-09,5018,5.25
2021-08-10,5019,5.26
2021-08-11,5019,5.26
2021-08-12,5019,5.26
2021-08-13,5019,5.26
2021-08-14,5019,5.26
2021-08-15,5019,5.26
2021-08-16,5019,5.26
2021-08-17,5019,5.26
2021-08-18,5020,5.26
2021-08-19,5020,5.26
2021-08-20,5021,5.26
2021-08-21,5022,5.26
2021-08-22,5022,5.26
2021-08-23,5023,5.26
2021-08-24,5023,5.26
2021-08-25,5023,5.26
2021-08-26,5023,5.26
2021-08-27,5023,5.26
2021-08-28,5024,5.26
2021-08-29,5024,5.26
2021-08-30,5024,5.26
2021-08-31,5025,5.26
2021-09-01,5025,5.26
2021-09-02,5025,5.26
2021-09-03,5025,5.26
2021-09-04,5025,5.26
2021-09-05,5025,5.26
2021-09-06,5025,5.26
2021-09-07,5025,5.26
2021-09-08,5025,5.26
2021-09-09,5025,5.26
2021-09-10,5026,5.26
2021-09-11,5026,5.26
2021-09-12,5027,5.26
2021-09-13,5027,5.26
2021-09-14,5027,5.26
2021-09-15,5029,5.27
2021-09-16,5029,5.27
2021-09-17,5032,5.27
2021-09-18,5033,5.27
2021-09-19,5033,5.27
2021-09-20,5033,5.27
2021-09-21,5035,5.27
2021-09-22,5035,5.27
2021-09-23,5036,5.27
2021-09-24,5036,5.27
2021-09-25,5046,5.28
2021-09-26,5046,5.28
2021-09-27,5046,5.28
2021-09-28,5046,5.28
2021-09-29,5048,5.29
2021-09-30,5048,5.29
2021-10-01,5049,5.29
2021-10-02,5051,5.29
2021-10-03,5051,5.29
2021-10-04,5052,5.29
2021-10-05,5052,5.29
2021-10-06,5052,5.29
2021-10-07,5052,5.29
2021-10-08,5052,5.29
2021-10-09,5052,5.29
2021-10-10,5052,5.29
2021-10-11,5052,5.29
2021-10-12,5052,5.29
