Dia,Casos_Totales,Tasa_Ataque
2021-06-30,3567,4.08
2021-07-01,3567,4.08
2021-07-02,3567,4.08
2021-07-03,3568,4.08
2021-07-04,3569,4.08
2021-07-05,3569,4.08
2021-07-06,3569,4.08
2021-07-07,3569,4.08
2021-07-08,3570,4.08
2021-07-09,3570,4.08
2021-07-10,3570,4.08
2021-07-11,3570,4.08
2021-07-12,3570,4.08
2021-07-13,3573,4.09
2021-07-14,3573,4.09
2021-07-15,3574,4.09
2021-07-16,3574,4.09
2021-07-17,3574,4.09
2021-07-18,3574,4.09
2021-07-19,3574,4.09
2021-07-20,3574,4.09
2021-07-21,3574,4.09
2021-07-22,3574,4.09
2021-07-23,3574,4.09
2021-07-24,3574,4.09
2021-07-25,3574,4.09
2021-07-26,3574,4.09
2021-07-27,3574,4.09
2021-07-28,3574,4.09
2021-07-29,3574,4.09
2021-07-30,3574,4.09
2021-07-31,3574,4.09
2021-08-01,3574,4.09
2021-08-02,3574,4.09
2021-08-03,3574,4.09
2021-08-04,3575,4.09
2021-08-05,3575,4.09
2021-08-06,3575,4.09
2021-08-07,3575,4.09
2021-08-08,3575,4.09
2021-08-09,3575,4.09
2021-08-10,3575,4.09
2021-08-11,3575,4.09
2021-08-12,3575,4.09
2021-08-13,3575,4.09
2021-08-14,3575,4.09
2021-08-15,3575,4.09
2021-08-16,3575,4.09
2021-08-17,3575,4.09
2021-08-18,3575,4.09
2021-08-19,3575,4.09
2021-08-20,3575,4.09
2021-08-21,3575,4.09
2021-08-22,3575,4.09
2021-08-23,3575,4.09
2021-08-24,3575,4.09
2021-08-25,3575,4.09
2021-08-26,3575,4.09
2021-08-27,3575,4.09
2021-08-28,3575,4.09
2021-08-29,3575,4.09
2021-08-30,3575,4.09
2021-08-31,3575,4.09
2021-09-01,3575,4.09
2021-09-02,3576,4.09
2021-09-03,3576,4.09
2021-09-04,3576,4.09
2021-09-05,3577,4.09
2021-09-06,3577,4.09
2021-09-07,3578,4.09
2021-09-08,3578,4.09
2021-09-09,3578,4.09
2021-09-10,3579,4.09
2021-09-11,3580,4.09
2021-09-12,3580,4.09
2021-09-13,3580,4.09
2021-09-14,3581,4.1
2021-09-15,3581,4.1
2021-09-16,3581,4.1
2021-09-17,3581,4.1
2021-09-18,3581,4.1
2021-09-19,3581,4.1
2021-09-20,3581,4.1
2021-09-21,3582,4.1
2021-09-22,3583,4.1
2021-09-23,3583,4.1
2021-09-24,3583,4.1
2021-09-25,3584,4.1
2021-09-26,3584,4.1
2021-09-27,3585,4.1
2021-09-28,3586,4.1
2021-09-29,3586,4.1
2021-09-30,3586,4.1
2021-10-01,3586,4.1
2021-10-02,3586,4.1
2021-10-03,3586,4.1
2021-10-04,3586,4.1
2021-10-05,3586,4.1
2021-10-06,3586,4.1
2021-10-07,3586,4.1
2021-10-08,3587,4.1
2021-10-09,3587,4.1
2021-10-10,3587,4.1
2021-10-11,3588,4.1
2021-10-12,3588,4.1
