Dia,Casos_Totales,Tasa_Ataque
2021-09-01,3014,4.76
2021-09-02,3014,4.76
2021-09-03,3014,4.76
2021-09-04,3014,4.76
2021-09-05,3014,4.76
2021-09-06,3014,4.76
2021-09-07,3014,4.76
2021-09-08,3015,4.76
2021-09-09,3015,4.76
2021-09-10,3015,4.76
2021-09-11,3015,4.76
2021-09-12,3015,4.76
2021-09-13,3015,4.76
2021-09-14,3015,4.76
2021-09-15,3015,4.76
2021-09-16,3015,4.76
2021-09-17,3015,4.76
2021-09-18,3015,4.76
2021-09-19,3015,4.76
2021-09-20,3015,4.76
2021-09-21,3017,4.77
2021-09-22,3017,4.77
2021-09-23,3017,4.77
2021-09-24,3017,4.77
2021-09-25,3017,4.77
2021-09-26,3017,4.77
2021-09-27,3017,4.77
