Dia,Casos_Totales,Tasa_Ataque
2021-06-28,6455,4.23
2021-06-29,6455,4.23
2021-06-30,6455,4.23
2021-07-01,6455,4.23
2021-07-02,6455,4.23
2021-07-03,6455,4.23
2021-07-04,6455,4.23
2021-07-05,6455,4.23
2021-07-06,6457,4.23
2021-07-07,6457,4.23
2021-07-08,6458,4.23
2021-07-09,6460,4.23
2021-07-10,6460,4.23
2021-07-11,6460,4.23
2021-07-12,6462,4.23
2021-07-13,6462,4.23
2021-07-14,6463,4.23
2021-07-15,6464,4.23
2021-07-16,6464,4.23
2021-07-17,6464,4.23
2021-07-18,6464,4.23
2021-07-19,6464,4.23
2021-07-20,6464,4.23
2021-07-21,6465,4.23
2021-07-22,6465,4.23
2021-07-23,6465,4.23
2021-07-24,6465,4.23
2021-07-25,6466,4.23
2021-07-26,6467,4.23
2021-07-27,6468,4.23
2021-07-28,6469,4.23
2021-07-29,6469,4.23
2021-07-30,6469,4.23
2021-07-31,6469,4.23
2021-08-01,6469,4.23
2021-08-02,6469,4.23
2021-08-03,6469,4.23
2021-08-04,6469,4.23
2021-08-05,6470,4.23
2021-08-06,6471,4.24
2021-08-07,6471,4.24
2021-08-08,6471,4.24
2021-08-09,6471,4.24
2021-08-10,6471,4.24
2021-08-11,6472,4.24
2021-08-12,6472,4.24
2021-08-13,6473,4.24
2021-08-14,6474,4.24
2021-08-15,6474,4.24
2021-08-16,6474,4.24
2021-08-17,6475,4.24
2021-08-18,6476,4.24
2021-08-19,6476,4.24
2021-08-20,6477,4.24
2021-08-21,6477,4.24
2021-08-22,6477,4.24
2021-08-23,6477,4.24
2021-08-24,6478,4.24
2021-08-25,6479,4.24
2021-08-26,6479,4.24
2021-08-27,6479,4.24
2021-08-28,6479,4.24
2021-08-29,6479,4.24
2021-08-30,6479,4.24
2021-08-31,6480,4.24
2021-09-01,6480,4.24
2021-09-02,6480,4.24
2021-09-03,6480,4.24
2021-09-04,6480,4.24
2021-09-05,6480,4.24
2021-09-06,6480,4.24
2021-09-07,6480,4.24
2021-09-08,6480,4.24
2021-09-09,6480,4.24
2021-09-10,6480,4.24
2021-09-11,6484,4.24
2021-09-12,6484,4.24
2021-09-13,6485,4.24
2021-09-14,6486,4.25
2021-09-15,6486,4.25
2021-09-16,6486,4.25
2021-09-17,6487,4.25
2021-09-18,6488,4.25
2021-09-19,6488,4.25
2021-09-20,6490,4.25
2021-09-21,6491,4.25
2021-09-22,6491,4.25
2021-09-23,6491,4.25
2021-09-24,6492,4.25
2021-09-25,6494,4.25
2021-09-26,6494,4.25
2021-09-27,6494,4.25
2021-09-28,6494,4.25
2021-09-29,6495,4.25
2021-09-30,6496,4.25
2021-10-01,6496,4.25
2021-10-02,6496,4.25
2021-10-03,6496,4.25
2021-10-04,6497,4.25
2021-10-05,6497,4.25
2021-10-06,6497,4.25
2021-10-07,6498,4.25
2021-10-08,6498,4.25
2021-10-09,6498,4.25
2021-10-10,6498,4.25
2021-10-11,6499,4.25
2021-10-12,6499,4.25
