Dia,Casos_Totales,Tasa_Ataque
2021-05-05,15447,3.23
2021-05-06,15452,3.23
2021-05-07,15455,3.23
2021-05-08,15460,3.23
2021-05-09,15460,3.23
2021-05-10,15461,3.23
2021-05-11,15467,3.23
2021-05-12,15474,3.23
2021-05-13,15479,3.23
2021-05-14,15483,3.23
2021-05-15,15485,3.23
2021-05-16,15488,3.23
2021-05-17,15496,3.24
2021-05-18,15499,3.24
2021-05-19,15501,3.24
2021-05-20,15508,3.24
2021-05-21,15512,3.24
2021-05-22,15515,3.24
2021-05-23,15515,3.24
2021-05-24,15517,3.24
2021-05-25,15519,3.24
2021-05-26,15523,3.24
2021-05-27,15526,3.24
2021-05-28,15526,3.24
2021-05-29,15527,3.24
2021-05-30,15527,3.24
2021-05-31,15528,3.24
2021-06-01,15531,3.24
2021-06-02,15533,3.24
2021-06-03,15534,3.24
2021-06-04,15535,3.24
2021-06-05,15536,3.24
2021-06-06,15536,3.24
2021-06-07,15536,3.24
2021-06-08,15537,3.25
2021-06-09,15540,3.25
2021-06-10,15541,3.25
2021-06-11,15541,3.25
2021-06-12,15541,3.25
2021-06-13,15541,3.25
2021-06-14,15546,3.25
2021-06-15,15547,3.25
2021-06-16,15553,3.25
2021-06-17,15560,3.25
2021-06-18,15564,3.25
2021-06-19,15565,3.25
2021-06-20,15565,3.25
2021-06-21,15566,3.25
2021-06-22,15571,3.25
2021-06-23,15573,3.25
2021-06-24,15576,3.25
2021-06-25,15578,3.25
2021-06-26,15580,3.25
2021-06-27,15580,3.25
2021-06-28,15581,3.25
2021-06-29,15582,3.25
2021-06-30,15583,3.25
2021-07-01,15584,3.25
2021-07-02,15584,3.25
2021-07-03,15588,3.26
2021-07-04,15592,3.26
2021-07-05,15592,3.26
2021-07-06,15592,3.26
2021-07-07,15592,3.26
2021-07-08,15593,3.26
2021-07-09,15596,3.26
2021-07-10,15597,3.26
2021-07-11,15597,3.26
2021-07-12,15597,3.26
2021-07-13,15597,3.26
2021-07-14,15599,3.26
2021-07-15,15599,3.26
2021-07-16,15599,3.26
2021-07-17,15600,3.26
2021-07-18,15600,3.26
2021-07-19,15600,3.26
2021-07-20,15601,3.26
2021-07-21,15605,3.26
2021-07-22,15607,3.26
2021-07-23,15608,3.26
2021-07-24,15609,3.26
2021-07-25,15609,3.26
2021-07-26,15610,3.26
2021-07-27,15612,3.26
2021-07-28,15612,3.26
2021-07-29,15612,3.26
2021-07-30,15612,3.26
2021-07-31,15613,3.26
2021-08-01,15613,3.26
2021-08-02,15615,3.26
2021-08-03,15615,3.26
2021-08-04,15616,3.26
2021-08-05,15617,3.26
2021-08-06,15617,3.26
2021-08-07,15618,3.26
2021-08-08,15618,3.26
2021-08-09,15619,3.26
2021-08-10,15621,3.26
2021-08-11,15621,3.26
2021-08-12,15621,3.26
2021-08-13,15621,3.26
2021-08-14,15626,3.26
2021-08-15,15626,3.26
2021-08-16,15626,3.26
2021-08-17,15627,3.26
2021-08-18,15627,3.26
2021-08-19,15629,3.26
2021-08-20,15631,3.26
2021-08-21,15633,3.27
2021-08-22,15634,3.27
2021-08-23,15634,3.27
2021-08-24,15634,3.27
2021-08-25,15634,3.27
2021-08-26,15635,3.27
2021-08-27,15636,3.27
2021-08-28,15636,3.27
2021-08-29,15636,3.27
2021-08-30,15637,3.27
2021-08-31,15637,3.27
2021-09-01,15637,3.27
2021-09-02,15637,3.27
2021-09-03,15637,3.27
2021-09-04,15641,3.27
2021-09-05,15641,3.27
2021-09-06,15641,3.27
2021-09-07,15642,3.27
2021-09-08,15642,3.27
2021-09-09,15642,3.27
2021-09-10,15642,3.27
2021-09-11,15642,3.27
2021-09-12,15642,3.27
2021-09-13,15644,3.27
2021-09-14,15645,3.27
2021-09-15,15645,3.27
2021-09-16,15646,3.27
2021-09-17,15647,3.27
2021-09-18,15651,3.27
2021-09-19,15651,3.27
2021-09-20,15652,3.27
2021-09-21,15658,3.27
2021-09-22,15660,3.27
2021-09-23,15662,3.27
2021-09-24,15663,3.27
2021-09-25,15665,3.27
2021-09-26,15666,3.27
2021-09-27,15668,3.27
2021-09-28,15670,3.27
2021-09-29,15670,3.27
2021-09-30,15674,3.27
2021-10-01,15676,3.27
2021-10-02,15677,3.27
2021-10-03,15677,3.27
2021-10-04,15678,3.27
2021-10-05,15682,3.28
2021-10-06,15682,3.28
2021-10-07,15683,3.28
2021-10-08,15683,3.28
2021-10-09,15684,3.28
2021-10-10,15684,3.28
2021-10-11,15684,3.28
2021-10-12,15684,3.28
