Dia,Casos_Totales,Tasa_Ataque
2021-09-01,1654,1.91
2021-09-02,1654,1.91
2021-09-03,1654,1.91
2021-09-04,1654,1.91
2021-09-05,1654,1.91
2021-09-06,1654,1.91
2021-09-07,1654,1.91
2021-09-08,1655,1.91
2021-09-09,1655,1.91
2021-09-10,1656,1.92
2021-09-11,1656,1.92
2021-09-12,1656,1.92
2021-09-13,1656,1.92
2021-09-14,1656,1.92
2021-09-15,1656,1.92
2021-09-16,1657,1.92
2021-09-17,1657,1.92
2021-09-18,1657,1.92
2021-09-19,1657,1.92
2021-09-20,1658,1.92
2021-09-21,1658,1.92
2021-09-22,1658,1.92
2021-09-23,1658,1.92
2021-09-24,1658,1.92
2021-09-25,1658,1.92
2021-09-26,1658,1.92
2021-09-27,1660,1.92
2021-09-28,1660,1.92
2021-09-29,1661,1.92
2021-09-30,1661,1.92
2021-10-01,1661,1.92
