Dia,Casos_Totales,Tasa_Ataque
2021-06-17,16017,2.34
2021-06-18,16062,2.35
2021-06-19,16093,2.36
2021-06-20,16096,2.36
2021-06-21,16119,2.36
2021-06-22,16140,2.36
2021-06-23,16170,2.37
2021-06-24,16190,2.37
2021-06-25,16220,2.37
2021-06-26,16246,2.38
2021-06-27,16264,2.38
2021-06-28,16286,2.38
2021-06-29,16305,2.39
2021-06-30,16345,2.39
2021-07-01,16379,2.4
2021-07-02,16414,2.4
2021-07-03,16437,2.41
2021-07-04,16447,2.41
2021-07-05,16473,2.41
2021-07-06,16513,2.42
2021-07-07,16536,2.42
2021-07-08,16556,2.42
2021-07-09,16579,2.43
2021-07-10,16596,2.43
2021-07-11,16602,2.43
2021-07-12,16625,2.43
2021-07-13,16651,2.44
2021-07-14,16676,2.44
2021-07-15,16689,2.44
2021-07-16,16699,2.44
2021-07-17,16714,2.45
2021-07-18,16716,2.45
2021-07-19,16742,2.45
2021-07-20,16777,2.46
2021-07-21,16799,2.46
2021-07-22,16825,2.46
2021-07-23,16848,2.47
2021-07-24,16868,2.47
2021-07-25,16873,2.47
2021-07-26,16893,2.47
2021-07-27,16903,2.47
2021-07-28,16908,2.48
2021-07-29,16911,2.48
2021-07-30,16911,2.48
2021-07-31,16969,2.48
2021-08-01,16975,2.48
2021-08-02,16999,2.49
2021-08-03,17016,2.49
2021-08-04,17030,2.49
2021-08-05,17041,2.49
2021-08-06,17062,2.5
2021-08-07,17078,2.5
2021-08-08,17086,2.5
2021-08-09,17101,2.5
2021-08-10,17121,2.51
2021-08-11,17146,2.51
2021-08-12,17169,2.51
2021-08-13,17192,2.52
2021-08-14,17201,2.52
2021-08-15,17202,2.52
2021-08-16,17216,2.52
2021-08-17,17228,2.52
2021-08-18,17241,2.52
2021-08-19,17256,2.53
2021-08-20,17268,2.53
2021-08-21,17278,2.53
2021-08-22,17282,2.53
2021-08-23,17298,2.53
2021-08-24,17312,2.53
2021-08-25,17328,2.54
2021-08-26,17343,2.54
2021-08-27,17352,2.54
2021-08-28,17356,2.54
2021-08-29,17364,2.54
2021-08-30,17377,2.54
2021-08-31,17410,2.55
2021-09-01,17423,2.55
2021-09-02,17442,2.55
2021-09-03,17454,2.55
2021-09-04,17461,2.56
2021-09-05,17468,2.56
2021-09-06,17488,2.56
2021-09-07,17498,2.56
2021-09-08,17513,2.56
2021-09-09,17520,2.56
2021-09-10,17528,2.57
2021-09-11,17536,2.57
2021-09-12,17541,2.57
2021-09-13,17554,2.57
2021-09-14,17576,2.57
2021-09-15,17597,2.58
2021-09-16,17617,2.58
2021-09-17,17624,2.58
2021-09-18,17629,2.58
2021-09-19,17635,2.58
2021-09-20,17645,2.58
2021-09-21,17645,2.58
2021-09-22,17669,2.59
2021-09-23,17685,2.59
2021-09-24,17703,2.59
2021-09-25,17708,2.59
2021-09-26,17711,2.59
2021-09-27,17726,2.59
2021-09-28,17758,2.6
2021-09-29,17797,2.61
2021-09-30,17815,2.61
2021-10-01,17822,2.61
2021-10-02,17838,2.61
2021-10-03,17855,2.61
2021-10-04,17872,2.62
2021-10-05,17887,2.62
2021-10-06,17923,2.62
2021-10-07,17936,2.63
2021-10-08,17950,2.63
2021-10-09,17968,2.63
2021-10-10,17978,2.63
2021-10-11,17997,2.63
2021-10-12,18018,2.64
