Dia,Casos_Totales,Tasa_Ataque
2021-08-21,6903,7.34
2021-08-22,6903,7.34
2021-08-23,6909,7.35
2021-08-24,6911,7.35
2021-08-25,6918,7.36
2021-08-26,6919,7.36
2021-08-27,6925,7.37
2021-08-28,6926,7.37
2021-08-29,6926,7.37
2021-08-30,6927,7.37
2021-08-31,6932,7.37
2021-09-01,6946,7.39
2021-09-02,6949,7.39
2021-09-03,6952,7.39
2021-09-04,6956,7.4
2021-09-05,6958,7.4
2021-09-06,6963,7.41
2021-09-07,6966,7.41
2021-09-08,6971,7.41
2021-09-09,6979,7.42
2021-09-10,6982,7.43
2021-09-11,6984,7.43
2021-09-12,6984,7.43
2021-09-13,6987,7.43
2021-09-14,6991,7.44
2021-09-15,6995,7.44
2021-09-16,7001,7.45
2021-09-17,7006,7.45
2021-09-18,7012,7.46
2021-09-19,7012,7.46
2021-09-20,7017,7.46
2021-09-21,7019,7.47
2021-09-22,7030,7.48
2021-09-23,7037,7.48
2021-09-24,7044,7.49
2021-09-25,7047,7.5
2021-09-26,7049,7.5
2021-09-27,7055,7.5
2021-09-28,7066,7.52
2021-09-29,7069,7.52
2021-09-30,7079,7.53
2021-10-01,7082,7.53
2021-10-02,7090,7.54
2021-10-03,7095,7.55
2021-10-04,7097,7.55
2021-10-05,7100,7.55
2021-10-06,7105,7.56
2021-10-07,7126,7.58
2021-10-08,7129,7.58
2021-10-09,7138,7.59
2021-10-10,7143,7.6
2021-10-11,7147,7.6
2021-10-12,7154,7.61
