Dia,Casos_Totales,Tasa_Ataque
2021-07-09,1723,3.87
2021-07-10,1729,3.89
2021-07-11,1730,3.89
2021-07-12,1733,3.89
2021-07-13,1739,3.91
2021-07-14,1743,3.92
2021-07-15,1744,3.92
2021-07-16,1751,3.94
2021-07-17,1752,3.94
2021-07-18,1752,3.94
2021-07-19,1759,3.95
2021-07-20,1765,3.97
2021-07-21,1771,3.98
2021-07-22,1773,3.98
2021-07-23,1777,3.99
2021-07-24,1779,4
2021-07-25,1779,4
2021-07-26,1780,4
2021-07-27,1783,4.01
2021-07-28,1786,4.01
2021-07-29,1786,4.01
2021-07-30,1786,4.01
2021-07-31,1792,4.03
2021-08-01,1794,4.03
2021-08-02,1804,4.05
2021-08-03,1809,4.07
2021-08-04,1812,4.07
2021-08-05,1814,4.08
2021-08-06,1817,4.08
2021-08-07,1817,4.08
2021-08-08,1817,4.08
2021-08-09,1818,4.09
2021-08-10,1823,4.1
2021-08-11,1825,4.1
2021-08-12,1827,4.11
2021-08-13,1830,4.11
2021-08-14,1830,4.11
2021-08-15,1832,4.12
2021-08-16,1832,4.12
2021-08-17,1839,4.13
2021-08-18,1844,4.14
2021-08-19,1845,4.15
2021-08-20,1847,4.15
2021-08-21,1847,4.15
2021-08-22,1848,4.15
2021-08-23,1849,4.16
2021-08-24,1851,4.16
2021-08-25,1853,4.16
2021-08-26,1856,4.17
2021-08-27,1856,4.17
2021-08-28,1856,4.17
2021-08-29,1857,4.17
2021-08-30,1857,4.17
2021-08-31,1857,4.17
2021-09-01,1857,4.17
2021-09-02,1859,4.18
2021-09-03,1859,4.18
2021-09-04,1860,4.18
2021-09-05,1860,4.18
2021-09-06,1863,4.19
2021-09-07,1865,4.19
2021-09-08,1867,4.2
2021-09-09,1868,4.2
2021-09-10,1868,4.2
2021-09-11,1870,4.2
2021-09-12,1872,4.21
2021-09-13,1872,4.21
2021-09-14,1875,4.21
2021-09-15,1877,4.22
2021-09-16,1879,4.22
2021-09-17,1879,4.22
2021-09-18,1879,4.22
2021-09-19,1880,4.23
2021-09-20,1880,4.23
2021-09-21,1880,4.23
2021-09-22,1881,4.23
2021-09-23,1885,4.24
2021-09-24,1885,4.24
2021-09-25,1885,4.24
2021-09-26,1885,4.24
2021-09-27,1885,4.24
2021-09-28,1887,4.24
2021-09-29,1891,4.25
2021-09-30,1895,4.26
2021-10-01,1895,4.26
2021-10-02,1897,4.26
2021-10-03,1899,4.27
2021-10-04,1904,4.28
2021-10-05,1906,4.28
2021-10-06,1907,4.29
2021-10-07,1910,4.29
2021-10-08,1911,4.29
2021-10-09,1913,4.3
2021-10-10,1914,4.3
2021-10-11,1916,4.31
2021-10-12,1923,4.32
