Dia,Casos_Totales,Tasa_Ataque
2021-07-15,17838,3.07
2021-07-16,17843,3.07
2021-07-17,17858,3.08
2021-07-18,17862,3.08
2021-07-19,17876,3.08
2021-07-20,17884,3.08
2021-07-21,17892,3.08
2021-07-22,17899,3.08
2021-07-23,17909,3.09
2021-07-24,17917,3.09
2021-07-25,17921,3.09
2021-07-26,17935,3.09
2021-07-27,17939,3.09
2021-07-28,17946,3.09
2021-07-29,17954,3.09
2021-07-30,17954,3.09
2021-07-31,17996,3.1
2021-08-01,18003,3.1
2021-08-02,18009,3.1
2021-08-03,18024,3.11
2021-08-04,18039,3.11
2021-08-05,18054,3.11
2021-08-06,18067,3.11
2021-08-07,18075,3.11
2021-08-08,18077,3.11
2021-08-09,18088,3.12
2021-08-10,18101,3.12
2021-08-11,18108,3.12
2021-08-12,18113,3.12
2021-08-13,18128,3.12
2021-08-14,18131,3.12
2021-08-15,18133,3.12
2021-08-16,18148,3.13
2021-08-17,18157,3.13
2021-08-18,18163,3.13
2021-08-19,18176,3.13
2021-08-20,18185,3.13
2021-08-21,18196,3.14
2021-08-22,18197,3.14
2021-08-23,18205,3.14
2021-08-24,18216,3.14
2021-08-25,18227,3.14
2021-08-26,18235,3.14
2021-08-27,18243,3.14
2021-08-28,18253,3.14
2021-08-29,18262,3.15
2021-08-30,18264,3.15
2021-08-31,18272,3.15
2021-09-01,18282,3.15
2021-09-02,18288,3.15
2021-09-03,18297,3.15
2021-09-04,18307,3.15
2021-09-05,18315,3.16
2021-09-06,18325,3.16
2021-09-07,18343,3.16
2021-09-08,18350,3.16
2021-09-09,18357,3.16
2021-09-10,18365,3.16
2021-09-11,18369,3.16
2021-09-12,18369,3.16
2021-09-13,18376,3.17
2021-09-14,18388,3.17
2021-09-15,18400,3.17
2021-09-16,18414,3.17
2021-09-17,18424,3.17
2021-09-18,18437,3.18
2021-09-19,18448,3.18
2021-09-20,18461,3.18
2021-09-21,18465,3.18
2021-09-22,18484,3.18
2021-09-23,18493,3.19
2021-09-24,18500,3.19
2021-09-25,18502,3.19
2021-09-26,18512,3.19
2021-09-27,18517,3.19
2021-09-28,18525,3.19
2021-09-29,18532,3.19
2021-09-30,18541,3.19
2021-10-01,18541,3.19
2021-10-02,18543,3.19
2021-10-03,18553,3.2
2021-10-04,18566,3.2
2021-10-05,18575,3.2
2021-10-06,18581,3.2
2021-10-07,18585,3.2
2021-10-08,18595,3.2
2021-10-09,18599,3.2
2021-10-10,18614,3.21
2021-10-11,18619,3.21
2021-10-12,18630,3.21
