Dia,Casos_Totales,Tasa_Ataque
2021-04-05,13683,16.31
2021-04-06,13927,16.6
2021-04-07,14193,17.14
2021-04-08,14419,17.41
2021-04-09,14684,17.73
2021-04-10,14936,18.03
2021-04-11,15079,18.2
2021-04-12,15279,18.45
2021-04-13,15508,18.72
2021-04-14,15766,19.03
2021-04-15,15993,19.31
2021-04-16,16230,19.59
2021-04-17,16458,19.87
2021-04-18,16530,19.96
2021-04-19,16791,20.27
2021-04-20,17048,20.58
2021-04-21,17267,20.85
2021-04-22,17499,21.13
2021-04-23,17729,21.4
2021-04-24,17912,21.63
2021-04-25,18026,21.76
2021-04-26,18236,22.02
2021-04-27,18462,22.29
2021-04-28,18649,22.52
2021-04-29,18825,22.73
2021-04-30,18951,22.88
2021-05-01,19093,23.05
2021-05-02,19141,23.11
2021-05-03,19286,23.28
2021-05-04,19453,23.49
2021-05-05,19621,23.69
2021-05-06,19815,23.92
2021-05-07,19938,24.07
2021-05-08,20066,24.23
2021-05-09,20107,24.28
2021-05-10,20259,24.46
2021-05-11,20455,24.7
2021-05-12,20603,24.87
2021-05-13,20782,25.09
2021-05-14,20940,25.28
2021-05-15,21055,25.42
2021-05-16,21148,25.53
2021-05-17,21288,25.7
2021-05-18,21454,25.9
2021-05-19,21604,26.08
2021-05-20,21734,26.24
2021-05-21,21866,26.4
2021-05-22,21973,26.53
2021-05-23,21973,26.53
2021-05-24,22118,26.7
2021-05-25,22241,26.85
2021-05-26,22368,27.01
2021-05-27,22489,27.15
2021-05-28,22586,27.27
2021-05-29,22673,27.37
2021-05-30,22673,27.37
2021-05-31,22801,27.53
2021-06-01,22906,27.65
2021-06-02,22997,27.76
2021-06-03,23121,27.91
2021-06-04,23196,28
2021-06-05,23257,28.08
2021-06-06,23295,28.12
2021-06-07,23389,28.24
2021-06-08,23463,28.33
2021-06-09,23550,28.43
2021-06-10,23602,28.49
2021-06-11,23680,28.59
2021-06-12,23735,28.66
2021-06-13,23746,28.67
2021-06-14,23815,28.75
2021-06-15,24038,29.02
2021-06-16,24175,29.19
2021-06-17,24253,29.28
2021-06-18,24373,29.43
2021-06-19,24468,29.54
2021-06-20,24490,29.57
2021-06-21,24571,29.66
2021-06-22,24702,29.82
2021-06-23,24823,29.97
2021-06-24,24946,30.12
2021-06-25,25034,30.22
2021-06-26,25094,30.3
2021-06-27,25168,30.39
2021-06-28,25251,30.49
2021-06-29,25327,30.58
2021-06-30,25414,30.68
2021-07-01,25510,30.8
2021-07-02,25593,30.9
2021-07-03,25651,30.97
2021-07-04,25699,31.03
2021-07-05,25779,31.12
2021-07-06,25855,31.21
2021-07-07,25925,31.3
2021-07-08,26020,31.41
2021-07-09,26097,31.51
2021-07-10,26166,31.59
2021-07-11,26196,31.63
2021-07-12,26253,31.7
2021-07-13,26319,31.78
2021-07-14,26394,31.87
2021-07-15,26455,31.94
2021-07-16,26503,32
2021-07-17,26569,32.08
2021-07-18,26591,32.1
2021-07-19,26646,32.17
2021-07-20,26692,32.23
2021-07-21,26735,32.28
2021-07-22,26796,32.35
2021-07-23,26860,32.43
2021-07-24,26888,32.46
2021-07-25,26901,32.48
2021-07-26,26935,32.52
2021-07-27,26992,32.59
2021-07-28,27020,32.62
2021-07-29,27028,32.63
2021-07-30,27028,32.63
2021-07-31,27187,32.82
2021-08-01,27210,32.85
2021-08-02,27270,32.92
2021-08-03,27338,33.01
2021-08-04,27387,33.06
2021-08-05,27436,33.12
2021-08-06,27476,33.17
2021-08-07,27518,33.22
2021-08-08,27529,33.24
2021-08-09,27566,33.28
2021-08-10,27619,33.34
2021-08-11,27668,33.4
2021-08-12,27708,33.45
2021-08-13,27745,33.5
2021-08-14,27789,33.55
2021-08-15,27799,33.56
2021-08-16,27852,33.63
2021-08-17,27914,33.7
2021-08-18,27951,33.75
2021-08-19,27990,33.79
2021-08-20,28024,33.83
2021-08-21,28058,33.87
2021-08-22,28068,33.89
2021-08-23,28100,33.93
2021-08-24,28143,33.98
2021-08-25,28190,34.03
2021-08-26,28226,34.08
2021-08-27,28262,34.12
2021-08-28,28292,34.16
2021-08-29,28302,34.17
2021-08-30,28319,34.19
2021-08-31,28361,34.24
2021-09-01,28406,34.29
2021-09-02,28444,34.34
2021-09-03,28484,34.39
2021-09-04,28528,34.44
2021-09-05,28546,34.46
2021-09-06,28593,34.52
2021-09-07,28642,34.58
2021-09-08,28678,34.62
2021-09-09,28703,34.65
2021-09-10,28746,34.71
2021-09-11,28778,34.74
2021-09-12,28786,34.75
2021-09-13,28831,34.81
2021-09-14,28863,34.85
2021-09-15,28901,34.89
2021-09-16,28934,34.93
2021-09-17,28982,34.99
2021-09-18,29005,35.02
2021-09-19,29029,35.05
2021-09-20,29071,35.1
2021-09-21,29075,35.1
2021-09-22,29123,35.16
2021-09-23,29158,35.2
2021-09-24,29185,35.24
2021-09-25,29190,35.24
2021-09-26,29200,35.25
2021-09-27,29239,35.3
2021-09-28,29274,35.34
2021-09-29,29326,35.41
2021-09-30,29358,35.44
2021-10-01,29396,35.49
2021-10-02,29435,35.54
2021-10-03,29452,35.56
2021-10-04,29481,35.59
2021-10-05,29515,35.63
2021-10-06,29552,35.68
2021-10-07,29597,35.73
2021-10-08,29617,35.76
2021-10-09,29641,35.79
2021-10-10,29666,35.82
2021-10-11,29688,35.84
2021-10-12,29720,35.88
2021-10-13,29756,35.92
2021-10-14,29793,35.97
2021-10-15,29834,36.02
2021-10-16,29859,36.05
2021-10-17,29871,36.06
2021-10-18,29891,36.09
2021-10-19,29922,36.13
2021-10-20,29953,36.16
2021-10-21,29999,36.22
2021-10-22,30043,36.27
2021-10-23,30067,36.3
2021-10-24,30077,36.31
2021-10-25,30098,36.34
2021-10-26,30137,36.38
2021-10-27,30173,36.43
2021-10-28,30206,36.47
2021-10-29,30243,36.51
2021-10-30,30286,36.56
