Dia,Casos_Totales,Tasa_Ataque
2021-08-07,35545,13.29
2021-08-08,35572,13.3
2021-08-09,35613,13.32
2021-08-10,35660,13.33
2021-08-11,35711,13.35
2021-08-12,35752,13.37
2021-08-13,35778,13.38
2021-08-14,35802,13.39
2021-08-15,35826,13.4
2021-08-16,35892,13.42
2021-08-17,35924,13.43
2021-08-18,35986,13.46
2021-08-19,36054,13.48
2021-08-20,36081,13.49
2021-08-21,36099,13.5
2021-08-22,36110,13.5
2021-08-23,36154,13.52
2021-08-24,36206,13.54
2021-08-25,36244,13.55
2021-08-26,36293,13.57
2021-08-27,36365,13.6
2021-08-28,36387,13.61
2021-08-29,36403,13.61
2021-08-30,36420,13.62
2021-08-31,36452,13.63
2021-09-01,36488,13.64
2021-09-02,36508,13.65
2021-09-03,36545,13.67
2021-09-04,36585,13.68
2021-09-05,36624,13.69
2021-09-06,36659,13.71
2021-09-07,36686,13.72
2021-09-08,36720,13.73
2021-09-09,36738,13.74
2021-09-10,36775,13.75
2021-09-11,36802,13.76
2021-09-12,36823,13.77
2021-09-13,36867,13.79
2021-09-14,36899,13.8
2021-09-15,36934,13.81
2021-09-16,36969,13.82
2021-09-17,36999,13.84
2021-09-18,37036,13.85
2021-09-19,37069,13.86
2021-09-20,37107,13.88
2021-09-21,37125,13.88
2021-09-22,37169,13.9
2021-09-23,37193,13.91
2021-09-24,37229,13.92
2021-09-25,37253,13.93
2021-09-26,37267,13.94
2021-09-27,37329,13.96
2021-09-28,37372,13.97
2021-09-29,37414,13.99
2021-09-30,37467,14.01
2021-10-01,37496,14.02
2021-10-02,37535,14.04
2021-10-03,37561,14.05
2021-10-04,37600,14.06
2021-10-05,37636,14.07
2021-10-06,37681,14.09
2021-10-07,37717,14.1
2021-10-08,37735,14.11
2021-10-09,37775,14.13
2021-10-10,37786,14.13
2021-10-11,37822,14.14
2021-10-12,37848,14.15
