Dia,Casos_Totales,Tasa_Ataque
2021-07-13,15209,4.28
2021-07-14,15225,4.29
2021-07-15,15255,4.3
2021-07-16,15266,4.3
2021-07-17,15284,4.3
2021-07-18,15296,4.31
2021-07-19,15303,4.31
2021-07-20,15320,4.31
2021-07-21,15340,4.32
2021-07-22,15364,4.33
2021-07-23,15384,4.33
2021-07-24,15396,4.34
2021-07-25,15402,4.34
2021-07-26,15410,4.34
2021-07-27,15421,4.34
2021-07-28,15429,4.34
2021-07-29,15430,4.35
2021-07-30,15430,4.35
2021-07-31,15457,4.35
2021-08-01,15474,4.36
2021-08-02,15486,4.36
2021-08-03,15507,4.37
2021-08-04,15526,4.37
2021-08-05,15540,4.38
2021-08-06,15555,4.38
2021-08-07,15562,4.38
2021-08-08,15566,4.38
2021-08-09,15576,4.39
2021-08-10,15593,4.39
2021-08-11,15608,4.4
2021-08-12,15619,4.4
2021-08-13,15637,4.4
2021-08-14,15648,4.41
2021-08-15,15659,4.41
2021-08-16,15675,4.41
2021-08-17,15689,4.42
2021-08-18,15709,4.42
2021-08-19,15715,4.43
2021-08-20,15721,4.43
2021-08-21,15733,4.43
2021-08-22,15735,4.43
2021-08-23,15749,4.44
2021-08-24,15761,4.44
2021-08-25,15772,4.44
2021-08-26,15781,4.44
2021-08-27,15810,4.45
2021-08-28,15826,4.46
2021-08-29,15840,4.46
2021-08-30,15842,4.46
2021-08-31,15859,4.47
2021-09-01,15870,4.47
2021-09-02,15876,4.47
2021-09-03,15883,4.47
2021-09-04,15890,4.47
2021-09-05,15906,4.48
2021-09-06,15918,4.48
2021-09-07,15928,4.49
2021-09-08,15947,4.49
2021-09-09,15952,4.49
2021-09-10,15966,4.5
2021-09-11,15979,4.5
2021-09-12,15984,4.5
2021-09-13,15999,4.51
2021-09-14,16009,4.51
2021-09-15,16022,4.51
2021-09-16,16036,4.52
2021-09-17,16051,4.52
2021-09-18,16060,4.52
2021-09-19,16066,4.52
2021-09-20,16078,4.53
2021-09-21,16084,4.53
2021-09-22,16094,4.53
2021-09-23,16108,4.54
2021-09-24,16120,4.54
2021-09-25,16128,4.54
2021-09-26,16132,4.54
2021-09-27,16145,4.55
2021-09-28,16156,4.55
2021-09-29,16171,4.55
2021-09-30,16181,4.56
2021-10-01,16197,4.56
2021-10-02,16209,4.56
2021-10-03,16216,4.57
2021-10-04,16223,4.57
2021-10-05,16238,4.57
2021-10-06,16249,4.58
2021-10-07,16261,4.58
2021-10-08,16269,4.58
2021-10-09,16277,4.58
2021-10-10,16290,4.59
2021-10-11,16304,4.59
2021-10-12,16321,4.6
