Dia,Casos_Totales,Tasa_Ataque
2021-04-05,2530,3.99
2021-04-06,2604,4.11
2021-04-07,2648,4.01
2021-04-08,2714,4.11
2021-04-09,2777,4.2
2021-04-10,2799,4.23
2021-04-11,2830,4.28
2021-04-12,2843,4.3
2021-04-13,2867,4.34
2021-04-14,3017,4.56
2021-04-15,3097,4.69
2021-04-16,3181,4.81
2021-04-17,3262,4.94
2021-04-18,3265,4.94
2021-04-19,3340,5.05
2021-04-20,3376,5.11
2021-04-21,3399,5.14
2021-04-22,3463,5.24
2021-04-23,3506,5.3
2021-04-24,3537,5.35
2021-04-25,3583,5.42
2021-04-26,3614,5.47
2021-04-27,3658,5.53
2021-04-28,3742,5.66
2021-04-29,3821,5.78
2021-04-30,3845,5.82
2021-05-01,3865,5.85
2021-05-02,3886,5.88
2021-05-03,3900,5.9
2021-05-04,3948,5.97
2021-05-05,4198,6.35
2021-05-06,4258,6.44
2021-05-07,4312,6.52
2021-05-08,4366,6.61
2021-05-09,4383,6.63
2021-05-10,4413,6.68
2021-05-11,4482,6.78
2021-05-12,4563,6.9
2021-05-13,4605,6.97
2021-05-14,4658,7.05
2021-05-15,4698,7.11
2021-05-16,4733,7.16
2021-05-17,4753,7.19
2021-05-18,4813,7.28
2021-05-19,4869,7.37
2021-05-20,4906,7.42
2021-05-21,4953,7.49
2021-05-22,4997,7.56
2021-05-23,4997,7.56
2021-05-24,5024,7.6
2021-05-25,5074,7.68
2021-05-26,5132,7.76
2021-05-27,5184,7.84
2021-05-28,5216,7.89
2021-05-29,5244,7.93
2021-05-30,5244,7.93
2021-05-31,5276,7.98
2021-06-01,5309,8.03
2021-06-02,5336,8.07
2021-06-03,5431,8.22
2021-06-04,5421,8.2
2021-06-05,5425,8.21
2021-06-06,5480,8.29
2021-06-07,5483,8.3
2021-06-08,5527,8.36
2021-06-09,5557,8.41
2021-06-10,5559,8.41
2021-06-11,5590,8.46
2021-06-12,5595,8.46
2021-06-13,5595,8.46
2021-06-14,5612,8.49
2021-06-15,5733,8.67
2021-06-16,5749,8.7
2021-06-17,5764,8.72
2021-06-18,5799,8.77
2021-06-19,5819,8.8
2021-06-20,5822,8.81
2021-06-21,5839,8.83
2021-06-22,5845,8.84
2021-06-23,5883,8.9
2021-06-24,5909,8.94
2021-06-25,5926,8.97
2021-06-26,5926,8.97
2021-06-27,5945,8.99
2021-06-28,5949,9
