Dia,Casos_Totales,Tasa_Ataque
2021-07-11,311,1.32
2021-07-12,312,1.32
2021-07-13,312,1.32
2021-07-14,312,1.32
2021-07-15,312,1.32
2021-07-16,313,1.33
2021-07-17,313,1.33
2021-07-18,313,1.33
2021-07-19,314,1.33
2021-07-20,314,1.33
2021-07-21,316,1.34
2021-07-22,316,1.34
2021-07-23,317,1.34
2021-07-24,317,1.34
2021-07-25,317,1.34
2021-07-26,317,1.34
2021-07-27,317,1.34
2021-07-28,318,1.35
2021-07-29,318,1.35
2021-07-30,318,1.35
2021-07-31,321,1.36
2021-08-01,321,1.36
2021-08-02,322,1.37
2021-08-03,323,1.37
2021-08-04,323,1.37
2021-08-05,323,1.37
2021-08-06,323,1.37
2021-08-07,323,1.37
2021-08-08,324,1.37
2021-08-09,324,1.37
2021-08-10,326,1.38
2021-08-11,326,1.38
2021-08-12,326,1.38
2021-08-13,327,1.39
2021-08-14,327,1.39
2021-08-15,327,1.39
2021-08-16,328,1.39
2021-08-17,328,1.39
2021-08-18,329,1.4
2021-08-19,330,1.4
2021-08-20,331,1.4
2021-08-21,331,1.4
2021-08-22,331,1.4
2021-08-23,331,1.4
2021-08-24,331,1.4
2021-08-25,332,1.41
2021-08-26,332,1.41
2021-08-27,332,1.41
2021-08-28,333,1.41
2021-08-29,333,1.41
2021-08-30,333,1.41
2021-08-31,333,1.41
2021-09-01,333,1.41
2021-09-02,333,1.41
2021-09-03,333,1.41
2021-09-04,333,1.41
2021-09-05,333,1.41
2021-09-06,333,1.41
2021-09-07,333,1.41
2021-09-08,333,1.41
2021-09-09,334,1.42
2021-09-10,334,1.42
2021-09-11,334,1.42
2021-09-12,334,1.42
2021-09-13,334,1.42
2021-09-14,334,1.42
2021-09-15,334,1.42
2021-09-16,336,1.43
2021-09-17,336,1.43
2021-09-18,336,1.43
2021-09-19,338,1.43
2021-09-20,338,1.43
2021-09-21,338,1.43
2021-09-22,339,1.44
2021-09-23,339,1.44
2021-09-24,339,1.44
2021-09-25,339,1.44
2021-09-26,339,1.44
2021-09-27,339,1.44
2021-09-28,339,1.44
2021-09-29,339,1.44
2021-09-30,339,1.44
2021-10-01,339,1.44
2021-10-02,339,1.44
2021-10-03,339,1.44
2021-10-04,339,1.44
2021-10-05,341,1.45
2021-10-06,341,1.45
2021-10-07,341,1.45
2021-10-08,341,1.45
2021-10-09,341,1.45
2021-10-10,342,1.45
2021-10-11,342,1.45
2021-10-12,342,1.45
