Dia,Casos_Totales,Tasa_Ataque
2021-06-10,265,3.15
2021-06-11,265,3.15
2021-06-12,265,3.15
2021-06-13,265,3.15
2021-06-14,266,3.16
2021-06-15,266,3.16
2021-06-16,267,3.17
2021-06-17,268,3.18
2021-06-18,268,3.18
2021-06-19,270,3.21
2021-06-20,271,3.22
2021-06-21,271,3.22
2021-06-22,271,3.22
2021-06-23,273,3.24
2021-06-24,275,3.26
2021-06-25,276,3.28
2021-06-26,276,3.28
2021-06-27,276,3.28
2021-06-28,276,3.28
2021-06-29,276,3.28
2021-06-30,277,3.29
2021-07-01,277,3.29
2021-07-02,277,3.29
2021-07-03,277,3.29
2021-07-04,277,3.29
2021-07-05,277,3.29
2021-07-06,277,3.29
2021-07-07,277,3.29
2021-07-08,277,3.29
2021-07-09,278,3.3
2021-07-10,278,3.3
2021-07-11,278,3.3
2021-07-12,278,3.3
2021-07-13,278,3.3
2021-07-14,278,3.3
2021-07-15,278,3.3
2021-07-16,278,3.3
2021-07-17,278,3.3
2021-07-18,278,3.3
2021-07-19,278,3.3
2021-07-20,278,3.3
2021-07-21,278,3.3
2021-07-22,278,3.3
2021-07-23,278,3.3
2021-07-24,278,3.3
2021-07-25,278,3.3
2021-07-26,278,3.3
2021-07-27,280,3.32
2021-07-28,280,3.32
2021-07-29,280,3.32
2021-07-30,280,3.32
2021-07-31,280,3.32
2021-08-01,281,3.34
2021-08-02,282,3.35
2021-08-03,282,3.35
2021-08-04,282,3.35
2021-08-05,284,3.37
2021-08-06,285,3.38
2021-08-07,286,3.4
2021-08-08,286,3.4
2021-08-09,286,3.4
2021-08-10,286,3.4
2021-08-11,286,3.4
2021-08-12,286,3.4
2021-08-13,286,3.4
2021-08-14,286,3.4
2021-08-15,286,3.4
2021-08-16,286,3.4
2021-08-17,287,3.41
2021-08-18,287,3.41
2021-08-19,287,3.41
2021-08-20,287,3.41
2021-08-21,287,3.41
2021-08-22,287,3.41
2021-08-23,287,3.41
2021-08-24,287,3.41
2021-08-25,287,3.41
2021-08-26,287,3.41
2021-08-27,287,3.41
2021-08-28,287,3.41
2021-08-29,287,3.41
2021-08-30,287,3.41
2021-08-31,287,3.41
2021-09-01,287,3.41
2021-09-02,287,3.41
2021-09-03,287,3.41
2021-09-04,288,3.42
2021-09-05,288,3.42
2021-09-06,288,3.42
2021-09-07,288,3.42
2021-09-08,289,3.43
2021-09-09,289,3.43
2021-09-10,289,3.43
2021-09-11,289,3.43
2021-09-12,289,3.43
2021-09-13,289,3.43
2021-09-14,289,3.43
2021-09-15,289,3.43
2021-09-16,289,3.43
2021-09-17,289,3.43
2021-09-18,289,3.43
2021-09-19,289,3.43
2021-09-20,289,3.43
2021-09-21,289,3.43
2021-09-22,289,3.43
2021-09-23,289,3.43
2021-09-24,289,3.43
2021-09-25,289,3.43
2021-09-26,289,3.43
2021-09-27,290,3.44
2021-09-28,290,3.44
2021-09-29,290,3.44
2021-09-30,290,3.44
2021-10-01,290,3.44
2021-10-02,290,3.44
2021-10-03,290,3.44
2021-10-04,291,3.45
2021-10-05,291,3.45
2021-10-06,291,3.45
2021-10-07,291,3.45
2021-10-08,292,3.47
2021-10-09,292,3.47
2021-10-10,292,3.47
2021-10-11,292,3.47
2021-10-12,292,3.47
