Dia,Casos_Totales,Tasa_Ataque
2021-06-26,346,3.89
2021-06-27,346,3.89
2021-06-28,346,3.89
2021-06-29,346,3.89
2021-06-30,346,3.89
2021-07-01,346,3.89
2021-07-02,347,3.9
2021-07-03,347,3.9
2021-07-04,347,3.9
2021-07-05,347,3.9
2021-07-06,347,3.9
2021-07-07,348,3.91
2021-07-08,350,3.93
2021-07-09,350,3.93
2021-07-10,350,3.93
2021-07-11,350,3.93
2021-07-12,350,3.93
2021-07-13,350,3.93
2021-07-14,350,3.93
2021-07-15,351,3.94
2021-07-16,351,3.94
2021-07-17,351,3.94
2021-07-18,351,3.94
2021-07-19,351,3.94
2021-07-20,351,3.94
2021-07-21,353,3.97
2021-07-22,353,3.97
2021-07-23,353,3.97
2021-07-24,353,3.97
2021-07-25,353,3.97
2021-07-26,353,3.97
2021-07-27,355,3.99
2021-07-28,355,3.99
2021-07-29,355,3.99
2021-07-30,355,3.99
2021-07-31,355,3.99
2021-08-01,355,3.99
2021-08-02,355,3.99
2021-08-03,355,3.99
2021-08-04,355,3.99
2021-08-05,355,3.99
2021-08-06,356,4
2021-08-07,356,4
2021-08-08,356,4
2021-08-09,356,4
2021-08-10,356,4
2021-08-11,356,4
2021-08-12,358,4.02
2021-08-13,358,4.02
2021-08-14,358,4.02
2021-08-15,358,4.02
2021-08-16,358,4.02
2021-08-17,359,4.03
2021-08-18,360,4.05
2021-08-19,360,4.05
2021-08-20,360,4.05
2021-08-21,360,4.05
2021-08-22,360,4.05
2021-08-23,360,4.05
2021-08-24,361,4.06
2021-08-25,361,4.06
2021-08-26,361,4.06
2021-08-27,361,4.06
2021-08-28,361,4.06
2021-08-29,361,4.06
2021-08-30,361,4.06
2021-08-31,361,4.06
2021-09-01,362,4.07
2021-09-02,363,4.08
2021-09-03,364,4.09
2021-09-04,365,4.1
2021-09-05,366,4.11
2021-09-06,366,4.11
2021-09-07,366,4.11
2021-09-08,366,4.11
2021-09-09,366,4.11
2021-09-10,366,4.11
2021-09-11,366,4.11
2021-09-12,366,4.11
2021-09-13,366,4.11
2021-09-14,366,4.11
2021-09-15,366,4.11
2021-09-16,366,4.11
2021-09-17,368,4.14
2021-09-18,368,4.14
2021-09-19,370,4.16
2021-09-20,370,4.16
2021-09-21,370,4.16
2021-09-22,370,4.16
2021-09-23,372,4.18
2021-09-24,372,4.18
2021-09-25,372,4.18
2021-09-26,372,4.18
2021-09-27,372,4.18
2021-09-28,372,4.18
2021-09-29,372,4.18
2021-09-30,374,4.2
2021-10-01,375,4.21
2021-10-02,375,4.21
2021-10-03,375,4.21
2021-10-04,375,4.21
2021-10-05,375,4.21
2021-10-06,375,4.21
2021-10-07,375,4.21
2021-10-08,376,4.23
2021-10-09,377,4.24
2021-10-10,377,4.24
2021-10-11,377,4.24
2021-10-12,377,4.24
