Dia,Casos_Totales,Tasa_Ataque
2021-08-24,5295,7.74
2021-08-25,5307,7.75
2021-08-26,5322,7.78
2021-08-27,5337,7.8
2021-08-28,5345,7.81
2021-08-29,5353,7.82
2021-08-30,5361,7.83
2021-08-31,5377,7.86
2021-09-01,5385,7.87
2021-09-02,5394,7.88
2021-09-03,5408,7.9
2021-09-04,5426,7.93
2021-09-05,5432,7.94
2021-09-06,5441,7.95
2021-09-07,5459,7.98
2021-09-08,5478,8
2021-09-09,5490,8.02
2021-09-10,5513,8.05
2021-09-11,5529,8.08
2021-09-12,5531,8.08
2021-09-13,5556,8.12
2021-09-14,5567,8.13
2021-09-15,5585,8.16
2021-09-16,5618,8.21
2021-09-17,5629,8.22
2021-09-18,5632,8.23
2021-09-19,5645,8.25
2021-09-20,5653,8.26
2021-09-21,5665,8.28
2021-09-22,5690,8.31
2021-09-23,5700,8.33
2021-09-24,5721,8.36
2021-09-25,5732,8.37
2021-09-26,5740,8.39
2021-09-27,5753,8.41
2021-09-28,5767,8.43
2021-09-29,5779,8.44
2021-09-30,5799,8.47
2021-10-01,5810,8.49
2021-10-02,5829,8.52
2021-10-03,5838,8.53
2021-10-04,5846,8.54
2021-10-05,5860,8.56
2021-10-06,5871,8.58
2021-10-07,5887,8.6
2021-10-08,5898,8.62
2021-10-09,5909,8.63
2021-10-10,5912,8.64
2021-10-11,5927,8.66
2021-10-12,5942,8.68
