Dia,Casos_Totales,Tasa_Ataque
2021-06-27,31150,2.6
2021-06-28,31187,2.61
2021-06-29,31222,2.61
2021-06-30,31263,2.61
2021-07-01,31305,2.62
2021-07-02,31334,2.62
2021-07-03,31371,2.62
2021-07-04,31402,2.63
2021-07-05,31435,2.63
2021-07-06,31469,2.63
2021-07-07,31507,2.63
2021-07-08,31543,2.64
2021-07-09,31575,2.64
2021-07-10,31602,2.64
2021-07-11,31620,2.64
2021-07-12,31648,2.65
2021-07-13,31688,2.65
2021-07-14,31723,2.65
2021-07-15,31744,2.65
2021-07-16,31762,2.66
2021-07-17,31778,2.66
2021-07-18,31787,2.66
2021-07-19,31817,2.66
2021-07-20,31841,2.66
2021-07-21,31864,2.66
2021-07-22,31884,2.67
2021-07-23,31907,2.67
2021-07-24,31923,2.67
2021-07-25,31928,2.67
2021-07-26,31944,2.67
2021-07-27,31968,2.67
2021-07-28,31975,2.67
2021-07-29,31981,2.67
2021-07-30,31981,2.67
2021-07-31,32040,2.68
2021-08-01,32050,2.68
2021-08-02,32086,2.68
2021-08-03,32114,2.68
2021-08-04,32143,2.69
2021-08-05,32175,2.69
2021-08-06,32200,2.69
2021-08-07,32218,2.69
2021-08-08,32223,2.69
2021-08-09,32239,2.7
2021-08-10,32274,2.7
2021-08-11,32308,2.7
2021-08-12,32340,2.7
2021-08-13,32368,2.71
2021-08-14,32381,2.71
2021-08-15,32392,2.71
2021-08-16,32413,2.71
2021-08-17,32449,2.71
2021-08-18,32471,2.71
2021-08-19,32486,2.72
2021-08-20,32522,2.72
2021-08-21,32532,2.72
2021-08-22,32541,2.72
2021-08-23,32566,2.72
2021-08-24,32591,2.72
2021-08-25,32620,2.73
2021-08-26,32645,2.73
2021-08-27,32678,2.73
2021-08-28,32698,2.73
2021-08-29,32708,2.73
2021-08-30,32714,2.74
2021-08-31,32733,2.74
2021-09-01,32764,2.74
2021-09-02,32780,2.74
2021-09-03,32803,2.74
2021-09-04,32817,2.74
2021-09-05,32824,2.74
2021-09-06,32840,2.75
2021-09-07,32861,2.75
2021-09-08,32873,2.75
2021-09-09,32894,2.75
2021-09-10,32912,2.75
2021-09-11,32931,2.75
2021-09-12,32934,2.75
2021-09-13,32960,2.76
2021-09-14,32985,2.76
2021-09-15,33014,2.76
2021-09-16,33043,2.76
2021-09-17,33062,2.76
2021-09-18,33077,2.77
2021-09-19,33096,2.77
2021-09-20,33121,2.77
2021-09-21,33126,2.77
2021-09-22,33150,2.77
2021-09-23,33161,2.77
2021-09-24,33178,2.77
2021-09-25,33185,2.77
2021-09-26,33188,2.77
2021-09-27,33207,2.78
2021-09-28,33217,2.78
2021-09-29,33241,2.78
2021-09-30,33268,2.78
2021-10-01,33286,2.78
2021-10-02,33300,2.78
2021-10-03,33311,2.78
2021-10-04,33325,2.79
2021-10-05,33362,2.79
2021-10-06,33390,2.79
2021-10-07,33413,2.79
2021-10-08,33426,2.79
2021-10-09,33439,2.8
2021-10-10,33449,2.8
2021-10-11,33463,2.8
2021-10-12,33475,2.8
