Dia,Casos_Totales,Tasa_Ataque
2021-08-22,14147,3.39
2021-08-23,14160,3.4
2021-08-24,14172,3.4
2021-08-25,14184,3.4
2021-08-26,14192,3.4
2021-08-27,14206,3.41
2021-08-28,14208,3.41
2021-08-29,14216,3.41
2021-08-30,14221,3.41
2021-08-31,14234,3.41
2021-09-01,14253,3.42
2021-09-02,14264,3.42
2021-09-03,14272,3.42
2021-09-04,14281,3.42
2021-09-05,14286,3.43
2021-09-06,14294,3.43
2021-09-07,14303,3.43
2021-09-08,14312,3.43
2021-09-09,14322,3.43
2021-09-10,14337,3.44
2021-09-11,14344,3.44
2021-09-12,14344,3.44
2021-09-13,14352,3.44
2021-09-14,14365,3.44
2021-09-15,14376,3.45
2021-09-16,14385,3.45
2021-09-17,14396,3.45
2021-09-18,14405,3.45
2021-09-19,14407,3.45
2021-09-20,14414,3.46
2021-09-21,14417,3.46
2021-09-22,14428,3.46
2021-09-23,14435,3.46
2021-09-24,14448,3.46
2021-09-25,14452,3.47
2021-09-26,14458,3.47
2021-09-27,14474,3.47
2021-09-28,14490,3.47
2021-09-29,14500,3.48
2021-09-30,14515,3.48
2021-10-01,14535,3.49
2021-10-02,14556,3.49
2021-10-03,14562,3.49
2021-10-04,14573,3.49
2021-10-05,14596,3.5
2021-10-06,14604,3.5
2021-10-07,14619,3.51
2021-10-08,14624,3.51
2021-10-09,14632,3.51
2021-10-10,14637,3.51
2021-10-11,14649,3.51
2021-10-12,14667,3.52
