Dia,Casos_Totales,Tasa_Ataque
2021-04-05,15227,1.97
2021-04-06,15416,1.99
2021-04-07,15615,2.07
2021-04-08,15873,2.1
2021-04-09,16193,2.14
2021-04-10,16345,2.16
2021-04-11,16480,2.18
2021-04-12,16605,2.2
2021-04-13,16746,2.22
2021-04-14,17070,2.26
2021-04-15,17279,2.29
2021-04-16,17329,2.29
2021-04-17,17462,2.31
2021-04-18,17492,2.32
2021-04-19,17766,2.35
2021-04-20,17917,2.37
2021-04-21,18048,2.39
2021-04-22,18338,2.43
2021-04-23,18507,2.45
2021-04-24,18677,2.47
2021-04-25,18845,2.5
2021-04-26,18947,2.51
2021-04-27,19112,2.53
2021-04-28,19301,2.56
2021-04-29,19431,2.57
2021-04-30,19529,2.59
2021-05-01,19629,2.6
2021-05-02,19724,2.61
2021-05-03,19789,2.62
2021-05-04,19848,2.63
2021-05-05,20007,2.65
2021-05-06,20125,2.67
2021-05-07,20201,2.68
2021-05-08,20282,2.69
2021-05-09,20346,2.69
2021-05-10,20411,2.7
2021-05-11,20526,2.72
2021-05-12,20641,2.73
2021-05-13,20712,2.74
2021-05-14,20779,2.75
2021-05-15,20823,2.76
2021-05-16,20899,2.77
2021-05-17,20951,2.77
2021-05-18,21026,2.78
2021-05-19,21117,2.8
2021-05-20,21173,2.8
2021-05-21,21246,2.81
2021-05-22,21299,2.82
2021-05-23,21299,2.82
2021-05-24,21394,2.83
2021-05-25,21447,2.84
2021-05-26,21511,2.85
2021-05-27,21584,2.86
2021-05-28,21631,2.86
2021-05-29,21668,2.87
2021-05-30,21668,2.87
2021-05-31,21731,2.88
2021-06-01,21785,2.89
2021-06-02,21820,2.89
2021-06-03,21949,2.91
2021-06-04,21993,2.91
2021-06-05,22024,2.92
2021-06-06,22049,2.92
2021-06-07,22077,2.92
2021-06-08,22118,2.93
2021-06-09,22165,2.94
2021-06-10,22199,2.94
2021-06-11,22217,2.94
2021-06-12,22246,2.95
2021-06-13,22248,2.95
2021-06-14,22320,2.96
2021-06-15,22432,2.97
2021-06-16,22493,2.98
2021-06-17,22528,2.98
2021-06-18,22569,2.99
2021-06-19,22607,2.99
2021-06-20,22619,3
2021-06-21,22637,3
2021-06-22,22666,3
2021-06-23,22702,3.01
2021-06-24,22721,3.01
2021-06-25,22750,3.01
2021-06-26,22764,3.01
