Dia,Casos_Totales,Tasa_Ataque
2021-08-29,7230,3.22
2021-08-30,7232,3.22
2021-08-31,7241,3.23
2021-09-01,7244,3.23
2021-09-02,7251,3.23
2021-09-03,7259,3.23
2021-09-04,7262,3.24
2021-09-05,7263,3.24
2021-09-06,7266,3.24
2021-09-07,7268,3.24
2021-09-08,7271,3.24
2021-09-09,7276,3.24
2021-09-10,7285,3.25
2021-09-11,7289,3.25
2021-09-12,7289,3.25
2021-09-13,7297,3.25
2021-09-14,7301,3.25
2021-09-15,7306,3.25
2021-09-16,7316,3.26
2021-09-17,7322,3.26
2021-09-18,7325,3.26
2021-09-19,7326,3.26
2021-09-20,7331,3.27
2021-09-21,7336,3.27
2021-09-22,7343,3.27
2021-09-23,7348,3.27
2021-09-24,7356,3.28
2021-09-25,7358,3.28
2021-09-26,7359,3.28
2021-09-27,7366,3.28
2021-09-28,7379,3.29
2021-09-29,7382,3.29
2021-09-30,7388,3.29
2021-10-01,7397,3.3
2021-10-02,7405,3.3
2021-10-03,7408,3.3
2021-10-04,7414,3.3
2021-10-05,7422,3.31
2021-10-06,7424,3.31
2021-10-07,7431,3.31
2021-10-08,7433,3.31
2021-10-09,7443,3.32
2021-10-10,7446,3.32
2021-10-11,7453,3.32
2021-10-12,7460,3.32
