Dia,Casos_Totales,Tasa_Ataque
2021-09-01,5948,5.87
2021-09-02,5952,5.88
2021-09-03,5957,5.88
2021-09-04,5967,5.89
2021-09-05,5976,5.9
2021-09-06,5987,5.91
2021-09-07,5993,5.92
2021-09-08,5999,5.92
2021-09-09,6005,5.93
2021-09-10,6008,5.93
2021-09-11,6012,5.94
2021-09-12,6013,5.94
2021-09-13,6021,5.95
2021-09-14,6024,5.95
2021-09-15,6029,5.95
2021-09-16,6034,5.96
2021-09-17,6042,5.97
2021-09-18,6045,5.97
2021-09-19,6049,5.97
2021-09-20,6050,5.97
2021-09-21,6053,5.98
2021-09-22,6064,5.99
2021-09-23,6071,5.99
2021-09-24,6072,6
2021-09-25,6073,6
2021-09-26,6082,6.01
2021-09-27,6091,6.01
2021-09-28,6099,6.02
2021-09-29,6108,6.03
2021-09-30,6120,6.04
2021-10-01,6125,6.05
2021-10-02,6128,6.05
2021-10-03,6137,6.06
2021-10-04,6143,6.07
2021-10-05,6150,6.07
2021-10-06,6154,6.08
2021-10-07,6161,6.08
2021-10-08,6167,6.09
