Dia,Casos_Totales,Tasa_Ataque
2021-04-05,9871,2.02
2021-04-06,9956,2.04
2021-04-07,10097,2.28
2021-04-08,10282,2.32
2021-04-09,10463,2.36
2021-04-10,10553,2.38
2021-04-11,10620,2.4
2021-04-12,10683,2.41
2021-04-13,10773,2.43
2021-04-14,10969,2.48
2021-04-15,11084,2.5
2021-04-16,11130,2.51
2021-04-17,11232,2.54
2021-04-18,11287,2.55
2021-04-19,11428,2.58
2021-04-20,11535,2.61
2021-04-21,11624,2.63
2021-04-22,11780,2.66
2021-04-23,11867,2.68
2021-04-24,11981,2.71
2021-04-25,12133,2.74
2021-04-26,12189,2.75
2021-04-27,12283,2.77
2021-04-28,12428,2.81
2021-04-29,12545,2.83
2021-04-30,12620,2.85
2021-05-01,12716,2.87
2021-05-02,12752,2.88
2021-05-03,12850,2.9
2021-05-04,12899,2.91
2021-05-05,13034,2.94
2021-05-06,13100,2.96
2021-05-07,13179,2.98
2021-05-08,13249,2.99
2021-05-09,13274,3
2021-05-10,13314,3.01
2021-05-11,13380,3.02
2021-05-12,13447,3.04
2021-05-13,13509,3.05
2021-05-14,13574,3.07
2021-05-15,13620,3.08
2021-05-16,13673,3.09
2021-05-17,13692,3.09
2021-05-18,13736,3.1
2021-05-19,13799,3.12
2021-05-20,13847,3.13
2021-05-21,13895,3.14
2021-05-22,13935,3.15
2021-05-23,13935,3.15
2021-05-24,13968,3.16
2021-05-25,14004,3.16
2021-05-26,14069,3.18
2021-05-27,14128,3.19
2021-05-28,14158,3.2
2021-05-29,14188,3.21
2021-05-30,14188,3.21
2021-05-31,14224,3.21
2021-06-01,14250,3.22
2021-06-02,14268,3.22
2021-06-03,14314,3.23
2021-06-04,14341,3.24
2021-06-05,14361,3.24
2021-06-06,14373,3.25
2021-06-07,14387,3.25
2021-06-08,14417,3.26
2021-06-09,14437,3.26
2021-06-10,14453,3.26
2021-06-11,14485,3.27
2021-06-12,14504,3.28
2021-06-13,14506,3.28
2021-06-14,14536,3.28
2021-06-15,14598,3.3
2021-06-16,14670,3.31
2021-06-17,14736,3.33
2021-06-18,14790,3.34
2021-06-19,14851,3.35
2021-06-20,14857,3.36
2021-06-21,14901,3.37
2021-06-22,14952,3.38
2021-06-23,15004,3.39
2021-06-24,15083,3.41
2021-06-25,15118,3.42
2021-06-26,15148,3.42
2021-06-27,15161,3.42
2021-06-28,15188,3.43
2021-06-29,15215,3.44
2021-06-30,15248,3.44
2021-07-01,15260,3.45
2021-07-02,15292,3.45
2021-07-03,15327,3.46
2021-07-04,15358,3.47
2021-07-05,15372,3.47
2021-07-06,15403,3.48
2021-07-07,15427,3.48
2021-07-08,15461,3.49
2021-07-09,15501,3.5
2021-07-10,15524,3.51
2021-07-11,15532,3.51
2021-07-12,15552,3.51
2021-07-13,15574,3.52
2021-07-14,15604,3.52
2021-07-15,15619,3.53
2021-07-16,15638,3.53
2021-07-17,15642,3.53
2021-07-18,15648,3.53
2021-07-19,15671,3.54
2021-07-20,15689,3.54
2021-07-21,15698,3.55
2021-07-22,15717,3.55
2021-07-23,15728,3.55
2021-07-24,15738,3.56
2021-07-25,15745,3.56
2021-07-26,15754,3.56
2021-07-27,15761,3.56
2021-07-28,15763,3.56
2021-07-29,15769,3.56
2021-07-30,15769,3.56
2021-07-31,15800,3.57
2021-08-01,15804,3.57
2021-08-02,15818,3.57
2021-08-03,15830,3.58
2021-08-04,15852,3.58
2021-08-05,15870,3.59
2021-08-06,15896,3.59
2021-08-07,15905,3.59
2021-08-08,15908,3.59
2021-08-09,15922,3.6
2021-08-10,15930,3.6
2021-08-11,15945,3.6
2021-08-12,15967,3.61
2021-08-13,15988,3.61
2021-08-14,15997,3.61
2021-08-15,16005,3.62
2021-08-16,16028,3.62
2021-08-17,16046,3.62
2021-08-18,16064,3.63
2021-08-19,16089,3.63
2021-08-20,16101,3.64
2021-08-21,16113,3.64
2021-08-22,16115,3.64
2021-08-23,16125,3.64
2021-08-24,16134,3.64
2021-08-25,16142,3.65
2021-08-26,16149,3.65
2021-08-27,16162,3.65
2021-08-28,16166,3.65
2021-08-29,16167,3.65
2021-08-30,16172,3.65
2021-08-31,16189,3.66
2021-09-01,16196,3.66
2021-09-02,16218,3.66
2021-09-03,16234,3.67
2021-09-04,16241,3.67
2021-09-05,16251,3.67
2021-09-06,16258,3.67
2021-09-07,16267,3.67
2021-09-08,16272,3.68
2021-09-09,16293,3.68
2021-09-10,16305,3.68
2021-09-11,16319,3.69
2021-09-12,16321,3.69
2021-09-13,16347,3.69
2021-09-14,16355,3.69
2021-09-15,16378,3.7
2021-09-16,16390,3.7
2021-09-17,16397,3.7
2021-09-18,16405,3.71
2021-09-19,16413,3.71
2021-09-20,16426,3.71
2021-09-21,16428,3.71
2021-09-22,16435,3.71
2021-09-23,16455,3.72
2021-09-24,16464,3.72
2021-09-25,16465,3.72
2021-09-26,16472,3.72
2021-09-27,16485,3.72
2021-09-28,16513,3.73
2021-09-29,16522,3.73
2021-09-30,16536,3.74
2021-10-01,16552,3.74
2021-10-02,16561,3.74
2021-10-03,16564,3.74
2021-10-04,16572,3.74
2021-10-05,16583,3.75
2021-10-06,16600,3.75
2021-10-07,16614,3.75
2021-10-08,16619,3.75
2021-10-09,16642,3.76
2021-10-10,16652,3.76
2021-10-11,16660,3.76
2021-10-12,16679,3.77
2021-10-13,16699,3.77
2021-10-14,16710,3.77
2021-10-15,16721,3.78
