Dia,PCR,PR,AG,Casos_Totales
2021-07-30,15677,28640,30427,74744
2021-07-31,15681,28643,30458,74782
2021-08-01,15682,28645,30467,74794
2021-08-02,15695,28650,30510,74855
2021-08-03,15704,28655,30547,74906
2021-08-04,15710,28661,30589,74960
2021-08-05,15712,28668,30633,75013
2021-08-06,15712,28672,30673,75057
2021-08-07,15718,28676,30708,75102
2021-08-08,15718,28678,30722,75118
2021-08-09,15718,28679,30782,75179
2021-08-10,15718,28682,30828,75228
2021-08-11,15722,28690,30865,75277
2021-08-12,15735,28696,30899,75330
2021-08-13,15739,28699,30935,75373
2021-08-14,15742,28701,30967,75410
2021-08-15,15742,28701,30983,75426
2021-08-16,15744,28702,31018,75464
2021-08-17,15749,28704,31049,75502
2021-08-18,15755,28708,31099,75562
2021-08-19,15756,28709,31137,75602
2021-08-20,15767,28709,31161,75637
2021-08-21,15770,28713,31198,75681
2021-08-22,15770,28713,31206,75689
2021-08-23,15771,28716,31240,75727
2021-08-24,15777,28722,31272,75771
2021-08-25,15782,28723,31299,75804
2021-08-26,15783,28726,31328,75837
2021-08-27,15785,28727,31353,75865
2021-08-28,15787,28728,31371,75886
2021-08-29,15789,28728,31377,75894
2021-08-30,15789,28729,31379,75897
2021-08-31,15789,28731,31409,75929
2021-09-01,15795,28740,31428,75963
2021-09-02,15795,28743,31467,76005
2021-09-03,15795,28743,31506,76044
2021-09-04,15797,28744,31538,76079
2021-09-05,15797,28745,31546,76088
2021-09-06,15797,28746,31577,76120
2021-09-07,15797,28749,31612,76158
2021-09-08,15797,28753,31634,76184
2021-09-09,15801,28755,31657,76213
2021-09-10,15802,28756,31690,76248
2021-09-11,15803,28757,31725,76285
2021-09-12,15803,28760,31735,76298
2021-09-13,15803,28764,31747,76314
2021-09-14,15808,28765,31773,76346
2021-09-15,15819,28765,31821,76405
2021-09-16,15848,28765,31847,76460
2021-09-17,15875,28766,31875,76516
2021-09-18,15875,28766,31892,76533
2021-09-19,15921,28766,31899,76586
2021-09-20,15926,28766,31925,76617
2021-09-21,15932,28767,31940,76639
2021-09-22,15955,28768,31970,76693
2021-09-23,15962,28768,32010,76740
2021-09-24,15989,28771,32037,76797
2021-09-25,16011,28771,32056,76838
2021-09-26,16011,28771,32070,76852
2021-09-27,16016,28771,32095,76882
2021-09-28,16041,28771,32139,76951
2021-09-29,16053,28771,32166,76990
2021-09-30,16074,28771,32184,77029
2021-10-01,16088,28771,32220,77079
2021-10-02,16094,28772,32231,77097
2021-10-03,16094,28772,32235,77101
2021-10-04,16120,28776,32251,77147
2021-10-05,16135,28777,32281,77193
2021-10-06,16152,28778,32317,77247
2021-10-07,16167,28778,32342,77287
2021-10-08,16167,28778,32359,77304
2021-10-09,16167,28779,32382,77328
2021-10-10,16167,28779,32391,77337
2021-10-11,16167,28779,32412,77358
2021-10-12,16167,28781,32447,77395
