Dia,PCR,PR,AG,Casos_Totales
2021-09-01,5807,8739,11292,25838
2021-09-02,5807,8739,11299,25845
2021-09-03,5816,8739,11306,25861
2021-09-04,5822,8739,11309,25870
2021-09-05,5822,8739,11311,25872
2021-09-06,5825,8739,11313,25877
2021-09-07,5833,8739,11320,25892
2021-09-08,5833,8739,11326,25898
2021-09-09,5842,8739,11331,25912
2021-09-10,5845,8739,11334,25918
2021-09-11,5850,8740,11340,25930
2021-09-12,5850,8740,11346,25936
2021-09-13,5851,8740,11350,25941
2021-09-14,5855,8742,11356,25953
2021-09-15,5858,8742,11368,25968
2021-09-16,5861,8742,11371,25974
2021-09-17,5863,8742,11377,25982
2021-09-18,5863,8742,11387,25992
2021-09-19,5867,8742,11387,25996
2021-09-20,5867,8742,11389,25998
2021-09-21,5871,8742,11398,26011
2021-09-22,5874,8742,11399,26015
2021-09-23,5874,8742,11409,26025
2021-09-24,5877,8742,11413,26032
2021-09-25,5879,8742,11416,26037
2021-09-26,5879,8742,11422,26043
2021-09-27,5879,8742,11424,26045
2021-09-28,5880,8743,11427,26050
2021-09-29,5882,8743,11432,26057
2021-09-30,5884,8745,11435,26064
2021-10-01,5884,8745,11438,26067
2021-10-02,5888,8745,11440,26073
2021-10-03,5888,8745,11443,26076
2021-10-04,5892,8745,11446,26083
2021-10-05,5892,8745,11451,26088
2021-10-06,5894,8745,11453,26092
