Dia,PCR,PR,AG,Casos_Totales
2021-04-05,14563,45563,6525,66651
2021-04-06,14665,45592,6718,66975
2021-04-07,14717,45611,6895,67223
2021-04-08,14782,45634,7061,67477
2021-04-09,14883,45653,7189,67725
2021-04-10,14925,45675,7296,67896
2021-04-11,14955,45689,7355,67999
2021-04-12,14955,45711,7512,68178
2021-04-13,15032,45745,7655,68432
2021-04-14,15187,45778,7814,68779
2021-04-15,15240,45806,7994,69040
2021-04-16,15293,45836,8135,69264
2021-04-17,15336,45848,8282,69466
2021-04-18,15339,45856,8340,69535
2021-04-19,15364,45896,8518,69778
2021-04-20,15484,45919,8671,70074
2021-04-21,15541,45964,8838,70343
2021-04-22,15634,45986,9018,70638
2021-04-23,15715,46011,9185,70911
2021-04-24,15775,46035,9353,71163
2021-04-25,15784,46041,9459,71284
2021-04-26,15883,46063,9646,71592
2021-04-27,15974,46088,9833,71895
2021-04-28,16064,46120,9944,72128
2021-04-29,16143,46159,10136,72438
2021-04-30,16210,46195,10268,72673
2021-05-01,16257,46207,10447,72911
2021-05-02,16270,46214,10518,73002
2021-05-03,16340,46238,10694,73272
2021-05-04,16446,46266,10877,73589
2021-05-05,16561,46288,11092,73941
2021-05-06,16628,46316,11368,74312
2021-05-07,16720,46348,11604,74672
2021-05-08,16789,46363,11870,75022
2021-05-09,16808,46371,11970,75149
2021-05-10,16889,46387,12175,75451
2021-05-11,16938,46516,12528,75982
2021-05-12,17141,46547,12792,76480
2021-05-13,17233,46573,13122,76928
2021-05-14,17360,46602,13441,77403
2021-05-15,17445,46627,13700,77772
2021-05-16,17459,46647,13893,77999
2021-05-17,17548,46691,14087,78326
2021-05-18,17655,46751,14442,78848
2021-05-19,17785,46796,14758,79339
2021-05-20,17858,46852,15121,79831
2021-05-21,18003,46884,15490,80377
2021-05-22,18055,46937,15795,80787
2021-05-23,18055,46956,15938,80949
2021-05-24,18167,46988,16226,81381
2021-05-25,18271,47034,16675,81980
2021-05-26,18384,47076,17051,82511
2021-05-27,18508,47127,17510,83145
2021-05-28,18676,47174,17918,83768
2021-05-29,18819,47205,18289,84313
2021-05-30,18819,47205,18289,84313
2021-05-31,18903,47262,18702,84867
2021-06-01,19059,47304,19129,85492
2021-06-02,19059,47354,19581,85994
2021-06-03,19344,47380,19988,86712
2021-06-04,19479,47421,20554,87454
2021-06-05,19600,47485,20941,88026
2021-06-06,19621,47518,21158,88297
2021-06-07,19690,47565,21587,88842
2021-06-08,19816,47608,22010,89434
2021-06-09,20038,47638,22337,90013
2021-06-10,20098,47663,22699,90460
2021-06-11,20247,47705,23068,91020
2021-06-12,20338,47742,23471,91551
2021-06-13,20338,47748,23545,91631
2021-06-14,20522,47767,23799,92088
2021-06-15,21141,47825,24365,93331
2021-06-16,21327,47961,24878,94166
2021-06-17,21444,48019,25461,94924
2021-06-18,21560,48046,25886,95492
2021-06-19,21756,48070,26285,96111
2021-06-20,21827,48078,26410,96315
2021-06-21,21966,48108,26795,96869
2021-06-22,21966,48158,27309,97433
2021-06-23,22255,48197,27769,98221
2021-06-24,22306,48236,28212,98754
2021-06-25,22435,48276,28563,99274
2021-06-26,22435,48307,29011,99753
2021-06-27,22551,48320,29171,100042
2021-06-28,22562,48363,29566,100491
2021-06-29,22573,48382,29961,100916
2021-06-30,22715,48422,30294,101431
2021-07-01,22792,48487,30688,101967
2021-07-02,22868,48518,31003,102389
2021-07-03,22907,48553,31312,102772
2021-07-04,22929,48553,31621,103103
2021-07-05,22945,48577,31958,103480
2021-07-06,23031,48616,32353,104000
2021-07-07,23088,48645,32680,104413
2021-07-08,23145,48701,33010,104856
2021-07-09,23238,48718,33330,105286
2021-07-10,23263,48746,33592,105601
2021-07-11,23280,48756,33673,105709
2021-07-12,23290,48778,33881,105949
2021-07-13,23355,48811,34142,106308
2021-07-14,23403,48841,34326,106570
2021-07-15,23430,48867,34486,106783
2021-07-16,23475,48895,34636,107006
2021-07-17,23497,48914,34790,107201
2021-07-18,23507,48919,34855,107281
2021-07-19,23514,48936,34995,107445
2021-07-20,23575,48959,35170,107704
2021-07-21,23644,48978,35284,107906
2021-07-22,23664,48989,35428,108081
2021-07-23,23720,49010,35591,108321
2021-07-24,23761,49023,35678,108462
2021-07-25,23773,49029,35737,108539
2021-07-26,23786,49053,35873,108712
2021-07-27,23813,49069,35991,108873
2021-07-28,23844,49081,36025,108950
2021-07-29,23968,49086,36071,109125
2021-07-30,24295,49098,36148,109541
2021-07-31,24607,49108,36237,109952
2021-08-01,24970,49110,36282,110362
2021-08-02,25180,49125,36364,110669
2021-08-03,25394,49135,36489,111018
2021-08-04,25543,49151,36582,111276
2021-08-05,25565,49161,36669,111395
2021-08-06,25618,49183,36753,111554
2021-08-07,25640,49199,36832,111671
2021-08-08,25646,49207,36855,111708
2021-08-09,25663,49223,36947,111833
2021-08-10,25695,49237,37009,111941
2021-08-11,25718,49249,37090,112057
2021-08-12,25733,49263,37165,112161
2021-08-13,25767,49267,37229,112263
2021-08-14,25776,49276,37292,112344
2021-08-15,25790,49278,37307,112375
2021-08-16,25793,49280,37350,112423
2021-08-17,25810,49292,37444,112546
2021-08-18,25845,49303,37519,112667
2021-08-19,25871,49310,37590,112771
2021-08-20,25880,49318,37651,112849
2021-08-21,25897,49323,37694,112914
2021-08-22,25905,49326,37707,112938
2021-08-23,25907,49338,37752,112997
2021-08-24,25923,49344,37812,113079
2021-08-25,25942,49347,37864,113153
2021-08-26,25972,49358,37896,113226
2021-08-27,25985,49361,37952,113298
2021-08-28,25998,49365,37983,113346
2021-08-29,26007,49366,38010,113383
2021-08-30,26009,49368,38029,113406
2021-08-31,26017,49368,38071,113456
2021-09-01,26044,49375,38125,113544
2021-09-02,26054,49375,38157,113586
2021-09-03,26075,49378,38203,113656
2021-09-04,26083,49383,38235,113701
2021-09-05,26098,49384,38258,113740
2021-09-06,26101,49385,38300,113786
2021-09-07,26115,49388,38337,113840
2021-09-08,26126,49392,38364,113882
2021-09-09,26136,49393,38400,113929
2021-09-10,26150,49401,38435,113986
2021-09-11,26171,49405,38448,114024
2021-09-12,26171,49405,38451,114027
2021-09-13,26180,49408,38480,114068
2021-09-14,26198,49415,38498,114111
2021-09-15,26211,49428,38531,114170
2021-09-16,26229,49433,38566,114228
2021-09-17,26233,49440,38591,114264
2021-09-18,26233,49440,38618,114291
2021-09-19,26244,49440,38626,114310
2021-09-20,26248,49441,38658,114347
2021-09-21,26256,49442,38680,114378
2021-09-22,26258,49445,38704,114407
2021-09-23,26278,49446,38720,114444
2021-09-24,26284,49453,38741,114478
2021-09-25,26299,49458,38753,114510
2021-09-26,26304,49459,38758,114521
2021-09-27,26316,49459,38774,114549
2021-09-28,26330,49462,38789,114581
2021-09-29,26346,49476,38810,114632
2021-09-30,26365,49478,38834,114677
2021-10-01,26377,49481,38853,114711
2021-10-02,26385,49487,38870,114742
2021-10-03,26390,49489,38875,114754
2021-10-04,26398,49490,38885,114773
2021-10-05,26407,49502,38912,114821
2021-10-06,26423,49508,38931,114862
2021-10-07,26440,49511,38948,114899
2021-10-08,26445,49512,38955,114912
2021-10-09,26446,49514,38969,114929
2021-10-10,26448,49515,38977,114940
2021-10-11,26454,49519,38994,114967
2021-10-12,26466,49519,39007,114992
2021-10-13,26488,49522,39026,115036
2021-10-14,26500,49528,39046,115074
2021-10-15,26513,49529,39058,115100
2021-10-16,26519,49531,39063,115113
2021-10-17,26519,49532,39068,115119
2021-10-18,26523,49537,39085,115145
2021-10-19,26537,49537,39108,115182
2021-10-20,26545,49540,39120,115205
2021-10-21,26556,49543,39136,115235
2021-10-22,26563,49549,39148,115260
2021-10-23,26566,49549,39157,115272
2021-10-24,26566,49551,39161,115278
2021-10-25,26572,49554,39184,115310
2021-10-26,26587,49559,39202,115348
2021-10-27,26593,49559,39216,115368
2021-10-28,26602,49571,39223,115396
2021-10-29,26606,49576,39247,115429
2021-10-30,26611,49576,39260,115447
2021-10-31,26612,49577,39264,115453
2021-11-01,26616,49579,39272,115467
2021-11-02,26625,49588,39290,115503
2021-11-03,25633,49590,39316,115539
2021-11-04,26650,49596,39344,115590
2021-11-05,26660,49596,39361,115617
2021-11-06,26672,49596,39377,115645
2021-11-07,26674,49599,39388,115661
2021-11-08,26683,49600,39409,115692
2021-11-09,26703,49600,39422,115725
2021-11-10,26715,49606,39437,115758
2021-11-11,26728,49607,39446,115781
2021-11-12,26741,49608,39455,115804
2021-11-13,26751,49612,39470,115833
2021-11-14,26752,49613,39480,115845
2021-11-15,26768,49613,39500,115881
2021-11-16,26776,49614,39524,115914
2021-11-17,26794,49617,39546,115957
2021-11-18,26810,49620,39562,115992
2021-11-19,26825,49621,39588,116034
2021-11-20,26829,49624,39617,116070
2021-11-21,26832,49625,39628,116085
2021-11-22,26837,49626,39642,116105
2021-11-23,26865,49629,39668,116162
2021-11-24,26880,49632,39683,116195
2021-11-25,26902,49634,39693,116229
2021-11-26,26912,49636,39713,116261
2021-11-27,26927,49637,39721,116285
2021-11-28,26927,49637,39728,116292
2021-11-29,26935,49637,39743,116315
2021-11-30,26960,49640,39756,116356
2021-12-01,26973,49641,39778,116392
2021-12-02,26993,49647,39787,116427
2021-12-03,27008,49649,39811,116468
2021-12-04,27008,49655,39820,116483
2021-12-05,27026,49656,39826,116508
2021-12-06,27043,49656,39841,116540
2021-12-07,27090,49660,39857,116607
