Dia,PCR,PR,AG,Casos_Totales
2021-04-13,5458,14212,4979,24649
2021-04-14,5515,14229,5031,24775
2021-04-15,5541,14250,5102,24893
2021-04-16,5569,14264,5180,25013
2021-04-17,5619,14284,5237,25140
2021-04-18,5619,14291,5259,25169
2021-04-19,5637,14303,5346,25286
2021-04-20,5667,14306,5385,25358
2021-04-21,5696,14328,5434,25458
2021-04-22,5720,14343,5507,25570
2021-04-23,5762,14358,5559,25679
2021-04-24,5785,14385,5622,25792
2021-04-25,5785,14392,5656,25833
2021-04-26,5818,14403,5720,25941
2021-04-27,5842,14422,5812,26076
2021-04-28,5887,14427,5839,26153
2021-04-29,5916,14440,5911,26267
2021-04-30,5963,14457,5958,26378
2021-05-01,5996,14465,6020,26481
2021-05-02,5996,14472,6057,26525
2021-05-03,6028,14490,6101,26619
2021-05-04,6055,14525,6149,26729
2021-05-05,6089,14541,6213,26843
2021-05-06,6113,14562,6273,26948
2021-05-07,6127,14577,6340,27044
2021-05-08,6148,14587,6382,27117
2021-05-09,6148,14594,6394,27136
2021-05-10,6177,14601,6448,27226
2021-05-11,6192,14628,6525,27345
2021-05-12,6225,14648,6584,27457
2021-05-13,6239,14662,6631,27532
2021-05-14,6256,14678,6685,27619
2021-05-15,6274,14696,6753,27723
2021-05-16,6274,14712,6781,27767
2021-05-17,6290,14733,6834,27857
2021-05-18,6332,14764,6905,28001
2021-05-19,6358,14783,6967,28108
2021-05-20,6369,14811,7035,28215
2021-05-21,6384,14832,7109,28325
2021-05-22,6399,14848,7145,28392
2021-05-23,6399,14859,7167,28425
2021-05-24,6418,14871,7199,28488
2021-05-25,6439,14895,7255,28589
2021-05-26,6450,14919,7306,28675
2021-05-27,6470,14931,7363,28764
2021-05-28,6485,14955,7400,28840
2021-05-29,6492,14974,7445,28911
2021-05-30,6492,14974,7445,28911
2021-05-31,6497,15022,7519,29038
2021-06-01,6513,15052,7572,29137
2021-06-02,6513,15077,7624,29214
2021-06-03,6537,15090,7664,29291
2021-06-04,6554,15104,7710,29368
2021-06-05,6564,15114,7745,29423
2021-06-06,6564,15118,7754,29436
2021-06-07,6572,15131,7779,29482
2021-06-08,6586,15138,7815,29539
2021-06-09,6604,15152,7854,29610
2021-06-10,6614,15159,7878,29651
2021-06-11,6624,15167,7903,29694
2021-06-12,6631,15177,7944,29752
2021-06-13,6631,15182,7958,29771
2021-06-14,6642,15191,7995,29828
2021-06-15,6693,15203,8040,29936
2021-06-16,6706,15217,8071,29994
2021-06-17,6706,15228,8105,30039
2021-06-18,6743,15240,8148,30131
2021-06-19,6751,15259,8172,30182
