Dia,PCR,PR,AG,Casos_Totales
2021-09-01,45553,36374,17629,99556
2021-09-02,45601,36376,17645,99622
2021-09-03,45615,36378,17662,99655
2021-09-04,45643,36380,17683,99706
2021-09-05,45660,36381,17686,99727
2021-09-06,45662,36384,17718,99764
2021-09-07,45694,36388,17734,99816
2021-09-08,45713,36388,17747,99848
2021-09-09,45735,36391,17763,99889
2021-09-10,45745,36396,17786,99927
2021-09-11,45759,36396,17797,99952
2021-09-12,45759,36396,17800,99955
2021-09-13,45767,36397,17816,99980
2021-09-14,45784,36400,17831,100015
2021-09-15,45805,36404,17861,100070
2021-09-16,45836,36409,17875,100120
2021-09-17,45848,36409,17890,100147
2021-09-18,45848,36412,17909,100169
2021-09-19,45865,36412,17914,100191
2021-09-20,45867,36413,17928,100208
2021-09-21,45886,36414,17938,100238
2021-09-22,45910,36415,17966,100291
2021-09-23,45915,36417,17982,100314
2021-09-24,45941,36417,17999,100357
