Dia,PCR,PR,AG,Casos_Totales
2021-04-05,13039,22279,10070,45388
2021-04-06,13041,22334,10453,45828
2021-04-07,13064,22371,10745,46180
2021-04-08,13159,22401,11049,46609
2021-04-09,13352,22428,11339,47119
2021-04-10,13378,22453,11655,47486
2021-04-11,13645,22470,11840,47955
2021-04-12,13645,22501,12047,48193
2021-04-13,13647,22547,12384,48578
2021-04-14,13850,22577,12744,49171
2021-04-15,13859,22598,13000,49457
2021-04-16,13859,22622,13308,49789
2021-04-17,13870,22645,13571,50086
2021-04-18,13921,22654,13746,50321
2021-04-19,14018,22688,14046,50752
2021-04-20,14069,22725,14301,51095
2021-04-21,14096,22770,14524,51390
2021-04-22,14226,22792,14813,51831
2021-04-23,14321,22858,15072,52251
2021-04-24,14379,22897,15350,52626
2021-04-25,14452,22921,15475,52848
2021-04-26,14480,22951,15716,53147
2021-04-27,14525,22986,16033,53544
2021-04-28,14677,23020,16264,53961
2021-04-29,14706,23042,16567,54315
2021-04-30,14766,23071,16751,54588
2021-05-01,14824,23107,17069,55000
2021-05-02,14827,23113,17177,55117
2021-05-03,14856,23126,17383,55365
2021-05-04,14912,23171,17664,55747
2021-05-05,15046,23201,17868,56115
2021-05-06,15110,23243,18058,56411
2021-05-07,15174,23276,18241,56691
2021-05-08,15195,23307,18406,56908
2021-05-09,15198,23324,18476,56998
2021-05-10,15199,23338,18632,57169
2021-05-11,15305,23499,18863,57667
2021-05-12,15518,23540,19072,58130
2021-05-13,15579,23566,19259,58404
2021-05-14,15657,23599,19465,58721
2021-05-15,15790,23637,19628,59055
2021-05-16,15790,23695,19795,59280
2021-05-17,15841,23725,19940,59506
2021-05-18,15903,23760,20157,59820
2021-05-19,16046,23802,20330,60178
2021-05-20,16148,23834,20467,60449
2021-05-21,16235,23868,20623,60726
2021-05-22,16312,23905,20771,60988
2021-05-23,16312,23924,20872,61108
2021-05-24,16376,23959,21021,61356
2021-05-25,16477,23996,21189,61662
2021-05-26,16535,24034,21310,61879
2021-05-27,16590,24073,21452,62115
2021-05-28,16649,24096,21595,62340
2021-05-29,16720,24147,21735,62602
2021-05-30,16720,24147,21735,62602
2021-05-31,16785,24186,21954,62925
2021-06-01,16831,24205,22110,63146
2021-06-02,16831,24229,22266,63326
2021-06-03,16929,24246,22444,63619
2021-06-04,16949,24268,22567,63784
2021-06-05,17001,24291,22694,63986
2021-06-06,17001,24294,22759,64054
2021-06-07,17044,24311,22862,64217
2021-06-08,17102,24319,22980,64401
2021-06-09,17157,24331,23095,64583
2021-06-10,17216,24346,23203,64765
2021-06-11,17254,24356,23299,64909
2021-06-12,17309,24367,23379,65055
2021-06-13,17309,24374,23436,65119
2021-06-14,17343,24380,23537,65260
2021-06-15,17496,24396,23665,65557
2021-06-16,17554,24419,23755,65728
2021-06-17,17586,24434,23837,65857
2021-06-18,17635,24444,23922,66001
2021-06-19,17676,24457,24014,66147
2021-06-20,17676,24462,24075,66213
2021-06-21,17701,24480,24210,66391
2021-06-22,17701,24499,24336,66536
2021-06-23,17812,24517,24447,66776
2021-06-24,17846,24523,24516,66885
2021-06-25,17891,24532,24602,67025
2021-06-26,17891,24558,24671,67120
2021-06-27,17957,24566,24728,67251
2021-06-28,18000,24597,24806,67403
2021-06-29,18043,24615,24884,67542
2021-06-30,18122,24625,24977,67724
2021-07-01,18179,24642,25070,67891
2021-07-02,18224,24650,25138,68012
2021-07-03,18247,24663,25191,68101
2021-07-04,18255,24663,25244,68162
2021-07-05,18279,24670,25313,68262
2021-07-06,18340,24688,25388,68416
2021-07-07,18378,24697,25457,68532
2021-07-08,18410,24707,25522,68639
2021-07-09,18436,24719,25575,68730
2021-07-10,18461,24722,25628,68811
2021-07-11,18461,24728,25652,68841
2021-07-12,18485,24739,25705,68929
2021-07-13,18504,24753,25774,69031
2021-07-14,18551,24761,25839,69151
2021-07-15,18588,24770,25911,69269
2021-07-16,18620,24788,25959,69367
2021-07-17,18665,24795,26029,69489
2021-07-18,18666,24803,26062,69531
2021-07-19,18678,24811,26103,69592
2021-07-20,18708,24820,26160,69688
2021-07-21,18713,24828,26211,69752
