Dia,PCR,PR,AG,Casos_Totales
2021-08-01,8069,32632,15727,56428
2021-08-02,8145,32637,15761,56543
2021-08-03,8202,32645,15852,56699
2021-08-04,8251,32646,15894,56791
2021-08-05,8257,32653,15930,56840
2021-08-06,8264,32657,15977,56898
2021-08-07,8270,32664,16004,56938
2021-08-08,8270,32664,16006,56940
2021-08-09,8270,32670,16036,56976
2021-08-10,8276,32678,16098,57052
2021-08-11,8276,32686,16145,57107
2021-08-12,8284,32694,16188,57166
2021-08-13,8289,32705,16232,57226
2021-08-14,8290,32719,16254,57263
2021-08-15,8290,32719,16260,57269
2021-08-16,8301,32722,16307,57330
2021-08-17,8306,32731,16361,57398
2021-08-18,8310,32733,16385,57428
2021-08-19,8314,32739,16401,57454
2021-08-20,8322,32744,16434,57500
2021-08-21,8328,32748,16466,57542
2021-08-22,8329,32749,16482,57560
2021-08-23,8333,32753,16516,57602
2021-08-24,8334,32754,16550,57638
2021-08-25,8336,32757,16573,57666
2021-08-26,8339,32760,16595,57694
2021-08-27,8343,32767,16628,57738
2021-08-28,8344,32769,16654,57767
2021-08-29,8344,32769,16656,57769
2021-08-30,8344,32769,16663,57776
2021-08-31,8344,32773,16701,57818
2021-09-01,8347,32774,16721,57842
2021-09-02,8351,32774,16744,57869
2021-09-03,8351,32778,16780,57909
2021-09-04,8359,32779,16791,57929
2021-09-05,8359,32780,16793,57932
2021-09-06,8365,32783,16817,57965
2021-09-07,8368,32785,16841,57994
2021-09-08,8373,32788,16857,58018
2021-09-09,8374,32789,16874,58037
2021-09-10,8379,32799,16911,58089
2021-09-11,8384,32800,16920,58104
2021-09-12,8384,32801,16925,58110
2021-09-13,8386,32808,16948,58142
2021-09-14,8392,32810,16985,58187
2021-09-15,8392,32814,17012,58218
2021-09-16,8397,32816,17030,58243
2021-09-17,8398,32818,17056,58272
2021-09-18,8398,32823,17089,58310
2021-09-19,8400,32824,17092,58316
2021-09-20,8400,32825,17124,58349
2021-09-21,8400,32828,17151,58379
2021-09-22,8401,32831,17186,58418
2021-09-23,8412,32832,17205,58449
2021-09-24,8412,32834,17219,58465
2021-09-25,8417,32834,17248,58499
2021-09-26,8417,32834,17253,58504
2021-09-27,8418,32834,17277,58529
2021-09-28,8419,32839,17314,58572
2021-09-29,8425,32840,17340,58605
2021-09-30,8425,32842,17363,58630
2021-10-01,8432,32848,17384,58664
2021-10-02,8434,32852,17404,58690
2021-10-03,8434,32854,17416,58704
2021-10-04,8439,32857,17432,58728
2021-10-05,8442,32859,17460,58761
2021-10-06,8447,32860,17485,58792
2021-10-07,8449,32867,17508,58824
2021-10-08,8449,32868,17518,58835
2021-10-09,8449,32869,17537,58855
2021-10-10,8451,32870,17541,58862
2021-10-11,8454,32872,17558,58884
2021-10-12,8454,32875,17572,58901
