Dia,PCR,PR,AG,Casos_Totales
2021-05-21,11745,38939,19240,69924
2021-05-22,11746,38977,19520,70243
2021-05-23,11746,39008,19623,70377
2021-05-24,11816,39062,19879,70757
2021-05-25,11869,39116,20123,71108
2021-05-26,11944,39177,20340,71461
2021-05-27,12012,39231,20573,71816
2021-05-28,12068,39275,20714,72057
2021-05-29,12082,39328,20908,72318
2021-05-30,12082,39328,20908,72318
2021-05-31,12118,39407,21277,72802
2021-06-01,12153,39456,21541,73150
2021-06-02,12153,39510,21744,73407
2021-06-03,12301,39565,21957,73823
2021-06-04,12350,39640,22135,74125
2021-06-05,12414,39668,22264,74346
2021-06-06,12416,39677,22310,74403
2021-06-07,12443,39722,22467,74632
2021-06-08,12498,39760,22597,74855
2021-06-09,12549,39802,22764,75115
2021-06-10,12598,39858,22910,75366
2021-06-11,12671,39896,23049,75616
2021-06-12,12685,39924,23153,75762
2021-06-13,12685,39931,23183,75799
2021-06-14,12733,39974,23345,76052
2021-06-15,12867,40011,23523,76401
2021-06-16,12912,40065,23625,76602
2021-06-17,12946,40124,23776,76846
2021-06-18,13006,40167,23930,77103
2021-06-19,13040,40200,24010,77250
2021-06-20,13041,40217,24050,77308
2021-06-21,13059,40257,24180,77496
2021-06-22,13059,40294,24302,77655
2021-06-23,13122,40335,24411,77868
2021-06-24,13157,40375,24509,78041
2021-06-25,13192,40418,24632,78242
2021-06-26,13192,40444,24730,78366
2021-06-27,13216,40456,24763,78435
2021-06-28,13220,40501,24868,78589
2021-06-29,13224,40529,24973,78726
2021-06-30,13277,40559,25068,78904
2021-07-01,13292,40599,25179,79070
2021-07-02,13316,40632,25255,79203
2021-07-03,13346,40653,25310,79309
2021-07-04,13346,40653,25365,79364
2021-07-05,13367,40686,25470,79523
2021-07-06,13390,40734,25543,79667
2021-07-07,13435,40771,25604,79810
2021-07-08,13465,40798,25667,79930
2021-07-09,13498,40819,25716,80033
2021-07-10,13513,40834,25781,80128
2021-07-11,13514,40844,25810,80168
2021-07-12,13527,40866,25866,80259
2021-07-13,13548,40895,25926,80369
2021-07-14,13588,40923,25979,80490
2021-07-15,13635,40942,26045,80622
2021-07-16,13661,40956,26095,80712
2021-07-17,13663,40971,26142,80776
2021-07-18,13666,40978,26170,80814
2021-07-19,13677,41006,26236,80919
2021-07-20,13704,41021,26287,81012
2021-07-21,13725,41055,26332,81112
2021-07-22,13749,41074,26371,81194
2021-07-23,13762,41081,26412,81255
2021-07-24,13780,41101,26450,81331
2021-07-25,13780,41108,26474,81362
2021-07-26,13782,41127,26518,81427
2021-07-27,13806,41145,26555,81506
2021-07-28,13819,41161,26584,81564
2021-07-29,13819,41169,26608,81596
2021-07-30,13849,41191,26664,81704
2021-07-31,13862,41200,26711,81773
2021-08-01,13862,41204,26731,81797
2021-08-02,13880,41226,26771,81877
2021-08-03,13896,41250,26829,81975
2021-08-04,13929,41275,26887,82091
2021-08-05,13948,41291,26928,82167
2021-08-06,13967,41322,26988,82277
2021-08-07,13981,41334,27041,82356
2021-08-08,13981,41339,27061,82381
2021-08-09,13990,41355,27116,82461
2021-08-10,14004,41381,27158,82543
2021-08-11,14075,41393,27211,82679
2021-08-12,14088,41406,27272,82766
2021-08-13,14134,41424,27323,82881
2021-08-14,14142,41442,27374,82958
2021-08-15,14143,41447,27401,82991
2021-08-16,14191,41457,27446,83094
2021-08-17,14212,41469,27484,83165
2021-08-18,14240,41477,27529,83246
2021-08-19,14252,41487,27573,83312
2021-08-20,14285,41499,27617,83401
2021-08-21,14297,41512,27648,83457
2021-08-22,14297,41532,27669,83498
2021-08-23,14312,41547,27726,83585
2021-08-24,14361,41552,27783,83696
2021-08-25,14392,41561,27827,83780
2021-08-26,14412,41568,27872,83852
2021-08-27,14422,41573,27908,83903
2021-08-28,14444,41581,27940,83965
2021-08-29,14445,41581,27960,83986
2021-08-30,14456,41586,27974,84016
2021-08-31,14479,41595,28012,84086
2021-09-01,14499,41603,28041,84143
2021-09-02,14509,41607,28083,84199
2021-09-03,14533,41611,28123,84267
2021-09-04,14535,41622,28168,84325
2021-09-05,14535,41625,28185,84345
2021-09-06,14543,41634,28227,84404
2021-09-07,14572,41641,28274,84487
2021-09-08,14596,41646,28309,84551
2021-09-09,14610,41654,28336,84600
2021-09-10,14624,41658,28379,84661
2021-09-11,14642,41662,28426,84730
2021-09-12,14642,41663,28438,84743
2021-09-13,14656,41675,28476,84807
2021-09-14,14678,41679,28513,84870
2021-09-15,14706,41684,28553,84943
2021-09-16,14751,41687,28604,85042
2021-09-17,14777,41691,28667,85135
2021-09-18,14777,41693,28707,85177
2021-09-19,14781,41694,28727,85202
2021-09-20,14800,41698,28759,85257
2021-09-21,14865,41704,28809,85378
2021-09-22,14902,41711,28835,85448
2021-09-23,14918,41715,28871,85504
2021-09-24,14944,41720,28900,85564
2021-09-25,14945,41723,28924,85592
2021-09-26,14945,41725,28941,85611
2021-09-27,14964,41726,28974,85664
2021-09-28,14992,41729,28999,85720
2021-09-29,15013,41730,29024,85767
2021-09-30,15024,41736,29054,85814
2021-10-01,15034,41737,29075,85846
2021-10-02,15041,41740,29105,85886
2021-10-03,15041,41742,29115,85898
2021-10-04,15051,41742,29155,85948
2021-10-05,15061,41745,29193,85999
2021-10-06,15075,41751,29229,86055
2021-10-07,15084,41756,29251,86091
2021-10-08,15085,41760,29266,86111
2021-10-09,15095,41760,29279,86134
2021-10-10,15095,41766,29291,86152
2021-10-11,15101,41771,29309,86181
2021-10-12,15113,41779,29339,86231
