Dia,PCR,PR,AG,Casos_Totales
2021-04-05,10250,35584,10349,56183
2021-04-06,10273,35615,10682,56570
2021-04-07,10334,35640,11008,56982
2021-04-08,10369,35665,11330,57364
2021-04-09,10460,35684,11671,57815
2021-04-10,10470,35724,12023,58217
2021-04-11,10513,35731,12142,58386
2021-04-12,10513,35748,12448,58709
2021-04-13,10535,35785,12753,59073
2021-04-14,10777,35827,13144,59748
2021-04-15,10787,35851,13482,60120
2021-04-16,10835,35879,13786,60500
2021-04-17,10871,35892,14117,60880
2021-04-18,10871,35904,14246,61021
2021-04-19,11198,35927,14529,61654
2021-04-20,11202,35953,14870,62025
2021-04-21,11279,35987,15127,62393
2021-04-22,11343,36026,15436,62805
2021-04-23,11370,36063,15794,63227
2021-04-24,11401,36091,16053,63545
2021-04-25,12227,36100,16181,64508
2021-04-26,12246,36148,16464,64858
2021-04-27,12262,36168,16807,65237
2021-04-28,12561,36197,17022,65780
2021-04-29,12638,36235,17322,66195
2021-04-30,12671,36259,17541,66471
2021-05-01,12700,36294,17882,66876
2021-05-02,12843,36306,17986,67135
2021-05-03,12861,36333,18230,67424
2021-05-04,12873,36368,18423,67664
2021-05-05,13150,36383,18677,68210
2021-05-06,13554,36416,18889,68859
2021-05-07,13611,36452,19100,69163
2021-05-08,13661,36486,19411,69558
2021-05-09,14046,36494,19533,70073
2021-05-10,14096,36528,19724,70348
2021-05-11,14113,36606,20018,70737
2021-05-12,14610,36642,20272,71524
2021-05-13,14623,36686,20505,71814
2021-05-14,14646,36738,20732,72116
2021-05-15,14691,36765,20895,72351
2021-05-16,15483,36786,20989,73258
2021-05-17,15501,36820,21190,73511
2021-05-18,15542,36849,21353,73744
2021-05-19,16230,36893,21569,74692
2021-05-20,16245,36934,21766,74945
2021-05-21,16280,36985,21884,75149
2021-05-22,16319,37020,22063,75402
2021-05-23,16319,37067,22154,75540
2021-05-24,16758,37103,22343,76204
2021-05-25,16783,37150,22539,76472
2021-05-26,16845,37181,22715,76741
2021-05-27,17113,37213,22892,77218
2021-05-28,17122,37251,23049,77422
2021-05-29,17147,37297,23170,77614
2021-05-30,17147,37297,23170,77614
2021-05-31,17342,37362,23367,78071
2021-06-01,17356,37394,23512,78262
2021-06-02,17356,37425,23631,78412
2021-06-03,18288,37461,23775,79524
2021-06-04,18330,37490,23922,79742
2021-06-05,18350,37513,24055,79918
2021-06-06,18364,37519,24081,79964
2021-06-07,18378,37542,24183,80103
2021-06-08,18384,37563,24298,80245
2021-06-09,18444,37589,24397,80430
2021-06-10,18467,37602,24485,80554
2021-06-11,18469,37628,24575,80672
2021-06-12,18476,37666,24690,80832
2021-06-13,18476,37671,24709,80856
2021-06-14,18514,37694,24810,81018
2021-06-15,18542,37716,24935,81193
2021-06-16,18571,37745,25065,81381
2021-06-17,18622,37775,25194,81591
2021-06-18,18675,37801,25330,81806
2021-06-19,18699,37819,25427,81945
2021-06-20,18700,37822,25453,81975
2021-06-21,18713,37839,25534,82086
2021-06-22,18715,37853,25656,82224
2021-06-23,18744,37877,25756,82377
2021-06-24,18760,37912,25872,82544
2021-06-25,18764,37940,25957,82661
2021-06-26,18764,37959,26047,82770
2021-06-27,18776,37968,26078,82822
2021-06-28,18776,37980,26151,82907
2021-06-29,18776,37991,26224,82991
2021-06-30,18825,38018,26296,83139
2021-07-01,18841,38029,26375,83245
2021-07-02,18987,38061,26439,83487
2021-07-03,19027,38090,26494,83611
2021-07-04,19027,38090,26549,83666
2021-07-05,19097,38123,26600,83820
2021-07-06,19145,38144,26637,83926
2021-07-07,19195,38162,26686,84043
2021-07-08,19216,38170,26728,84114
2021-07-09,19225,38197,26798,84220
