Dia,PCR,PR,AG,Casos_Totales
2021-07-07,11870,34360,11681,57911
2021-07-08,11876,34382,11703,57961
2021-07-09,11883,34403,11716,58002
2021-07-10,11886,34421,11741,58048
2021-07-11,11886,34423,11750,58059
2021-07-12,11890,34452,11785,58127
2021-07-13,11894,34482,11819,58195
2021-07-14,11896,34493,11834,58223
2021-07-15,11896,34530,11861,58287
2021-07-16,11902,34550,11875,58327
2021-07-17,11903,34573,11904,58380
2021-07-18,11903,34576,11920,58399
2021-07-19,11905,34586,11929,58420
2021-07-20,11910,34605,11948,58463
2021-07-21,11910,34618,11965,58493
2021-07-22,11910,34642,11994,58546
2021-07-23,11917,34653,12021,58591
2021-07-24,11921,34656,12037,58614
2021-07-25,11928,34665,12044,58637
2021-07-26,11932,34674,12056,58662
2021-07-27,11934,34692,12086,58712
2021-07-28,11934,34696,12096,58726
2021-07-29,11950,34701,12107,58758
2021-07-30,11995,34713,12121,58829
2021-07-31,12069,34726,12151,58946
2021-08-01,12223,34729,12161,59113
2021-08-02,12565,34741,12190,59496
2021-08-03,12803,34758,12219,59780
2021-08-04,13014,34764,12235,60013
2021-08-05,13029,34772,12258,60059
2021-08-06,13030,34779,12282,60091
2021-08-07,13038,34796,12302,60136
2021-08-08,13038,34797,12312,60147
2021-08-09,13040,34805,12324,60169
2021-08-10,13047,34813,12343,60203
2021-08-11,13054,34820,12357,60231
2021-08-12,13058,34829,12377,60264
2021-08-13,13062,34838,12385,60285
2021-08-14,13068,34839,12389,60296
2021-08-15,13068,34840,12407,60315
2021-08-16,13069,34853,12426,60348
2021-08-17,13081,34855,12450,60386
2021-08-18,13092,34867,12464,60423
2021-08-19,13096,34873,12497,60466
2021-08-20,13101,34878,12507,60486
2021-08-21,13101,34883,12520,60504
2021-08-22,13106,34885,12531,60522
2021-08-23,13110,34887,12541,60538
2021-08-24,13114,34892,12555,60561
2021-08-25,13114,34894,12566,60574
2021-08-26,13125,34901,12579,60605
2021-08-27,13128,34908,12598,60634
2021-08-28,13137,34911,12609,60657
2021-08-29,13137,34912,12611,60660
2021-08-30,13141,34913,12616,60670
2021-08-31,13145,34918,12622,60685
2021-09-01,13147,34919,12642,60708
2021-09-02,13151,34924,12654,60729
2021-09-03,13154,34926,12662,60742
2021-09-04,13160,34929,12678,60767
2021-09-05,13164,34930,12689,60783
2021-09-06,13167,34931,12703,60801
2021-09-07,13172,34941,12718,60831
2021-09-08,13184,34942,12729,60855
2021-09-09,13195,34945,12737,60877
2021-09-10,13196,34946,12744,60886
2021-09-11,13203,34949,12753,60905
2021-09-12,13203,34949,12763,60915
2021-09-13,13207,34954,12768,60929
2021-09-14,13215,34962,12778,60955
2021-09-15,13219,34966,12794,60979
2021-09-16,13223,34970,12804,60997
2021-09-17,13227,34973,12814,61014
2021-09-18,13227,34975,12825,61027
2021-09-19,13234,34976,12826,61036
2021-09-20,13239,34976,12834,61049
2021-09-21,13243,34978,12842,61063
2021-09-22,13259,34981,12856,61096
2021-09-23,13267,34989,12865,61121
2021-09-24,13283,34993,12873,61149
2021-09-25,13289,34996,12881,61166
2021-09-26,13289,34997,12882,61168
2021-09-27,13302,34998,12887,61187
2021-09-28,13303,35004,12894,61201
2021-09-29,13328,35005,12907,61240
2021-09-30,13333,35007,12918,61258
2021-10-01,13356,35009,12921,61286
2021-10-02,13360,35010,12931,61301
2021-10-03,13360,35010,12939,61309
2021-10-04,13380,35010,12949,61339
2021-10-05,13382,35010,12964,61356
2021-10-06,13406,35012,12974,61392
2021-10-07,13411,35012,12989,61412
2021-10-08,13431,35013,13000,61444
2021-10-09,13451,35013,13008,61472
2021-10-10,13472,35013,13018,61503
2021-10-11,13472,35017,13022,61511
2021-10-12,13474,35025,13038,61537
