Dia,PCR,PR,AG,Casos_Totales
2021-04-10,11095,29403,14705,55203
2021-04-11,11178,29410,14808,55396
2021-04-12,11178,29440,15099,55717
2021-04-13,11178,29477,15440,56095
2021-04-14,11275,29526,15744,56545
2021-04-15,11315,29576,16067,56958
2021-04-16,11348,29663,16386,57397
2021-04-17,11397,29701,16655,57753
2021-04-18,11406,29705,16759,57870
2021-04-19,11430,29745,17045,58220
2021-04-20,11507,29780,17307,58594
2021-04-21,11519,29826,17593,58938
2021-04-22,11560,29851,17892,59303
2021-04-23,11594,29880,18240,59714
2021-04-24,11684,29917,18493,60094
2021-04-25,11723,29933,18602,60258
2021-04-26,11723,29976,18788,60487
2021-04-27,11730,30034,19104,60868
2021-04-28,11757,30059,19258,61074
2021-04-29,11789,30110,19473,61372
2021-04-30,11828,30126,19581,61535
2021-05-01,11904,30141,19706,61751
2021-05-02,11950,30153,19725,61828
2021-05-03,11950,30175,19823,61948
2021-05-04,11983,30212,19975,62170
2021-05-05,12028,30239,20129,62396
2021-05-06,12069,30261,20279,62609
2021-05-07,12101,30279,20427,62807
2021-05-08,12164,30293,20548,63005
2021-05-09,12191,30299,20573,63063
2021-05-10,12193,30322,20699,63214
2021-05-11,12220,30373,20872,63465
2021-05-12,12257,30395,21048,63700
2021-05-13,12297,30421,21262,63980
2021-05-14,12323,30449,21408,64180
2021-05-15,12326,30467,21487,64280
2021-05-16,12367,30478,21540,64385
2021-05-17,12367,30504,21680,64551
2021-05-18,12388,30525,21813,64726
2021-05-19,12420,30547,21983,64950
2021-05-20,12433,30561,22109,65103
2021-05-21,12481,30576,22251,65308
2021-05-22,12502,30586,22349,65437
2021-05-23,12502,30592,22394,65488
2021-05-24,12516,30629,22494,65639
2021-05-25,12524,30653,22595,65772
2021-05-26,12550,30673,22681,65904
2021-05-27,12570,30686,22759,66015
2021-05-28,12612,30703,22851,66166
2021-05-29,12612,30738,22944,66294
2021-05-30,12612,30738,22944,66294
2021-05-31,12612,30770,23050,66432
2021-06-01,12612,30781,23126,66519
2021-06-02,12612,30790,23219,66621
2021-06-03,12699,30803,23289,66791
2021-06-04,12704,30820,23379,66903
2021-06-05,12722,30836,23448,67006
2021-06-06,12724,30848,23464,67036
2021-06-07,12724,30858,23549,67131
2021-06-08,12743,30878,23603,67224
2021-06-09,12745,30892,23678,67315
2021-06-10,12745,30901,23729,67375
2021-06-11,12745,30912,23790,67447
2021-06-12,12758,30917,23821,67496
2021-06-13,12758,30920,23829,67507
2021-06-14,12760,30937,23869,67566
2021-06-15,12778,30953,23957,67688
2021-06-16,12802,30975,24049,67826
2021-06-17,12802,30993,24102,67897
2021-06-18,12804,31001,24154,67959
2021-06-19,12805,31011,24154,67970
2021-06-20,12805,31013,24178,67996
2021-06-21,12805,31021,24220,68046
2021-06-22,12805,31028,24284,68117
2021-06-23,12806,31047,24327,68180
2021-06-24,12807,31060,24369,68236
2021-06-25,12807,31062,24405,68274
2021-06-26,12807,31072,24437,68316
2021-06-27,12808,31079,24461,68348
2021-06-28,12808,31091,24516,68415
2021-06-29,12808,31095,24571,68474
2021-06-30,12810,31108,24617,68535
2021-07-01,12811,31115,24660,68586
2021-07-02,12811,31127,24691,68629
2021-07-03,12813,31133,24733,68679
2021-07-04,12814,31133,24775,68722
2021-07-05,12814,31151,24816,68781
2021-07-06,12814,31156,24855,68825
2021-07-07,12821,31164,24878,68863
2021-07-08,12822,31171,24920,68913
2021-07-09,12823,31175,24952,68950
2021-07-10,12826,31185,24987,68998
2021-07-11,12826,31187,24999,69012
2021-07-12,12826,31193,25034,69053
2021-07-13,12826,31201,25094,69121
2021-07-14,12826,31208,25130,69164
2021-07-15,12826,31215,25163,69204
2021-07-16,12826,31217,25192,69235
2021-07-17,12826,31220,25220,69266
2021-07-18,12826,31221,25238,69285
2021-07-19,12826,31230,25269,69325
2021-07-20,12827,31236,25291,69354
2021-07-21,12828,31244,25314,69386
2021-07-22,12828,31250,25334,69412
2021-07-23,12828,31257,25356,69441
2021-07-24,12828,31263,25407,69498
2021-07-25,12828,31267,25413,69508
2021-07-26,12828,31274,25437,69539
2021-07-27,12828,31289,25457,69574
2021-07-28,12829,31290,25461,69580
2021-07-29,12829,31291,25473,69593
2021-07-30,12832,31294,25488,69614
2021-07-31,12832,31295,25503,69630
2021-08-01,12832,31296,25507,69635
2021-08-02,12832,31303,25546,69681
2021-08-03,12832,31311,25584,69727
2021-08-04,12833,31315,25633,69781
2021-08-05,12833,31317,25668,69818
2021-08-06,12834,31321,25668,69823
2021-08-07,12834,31328,25690,69852
2021-08-08,12834,31331,25701,69866
2021-08-09,12834,31334,25701,69869
2021-08-10,12834,31339,25701,69874
2021-08-11,12835,31344,25751,69930
2021-08-12,12835,31353,25776,69964
2021-08-13,12835,31355,25806,69996
2021-08-14,12835,31355,25831,70021
2021-08-15,12835,31356,25835,70026
2021-08-16,12835,31357,25866,70058
2021-08-17,12836,31361,25897,70094
2021-08-18,12838,31364,25919,70121
2021-08-19,12838,31374,25956,70168
2021-08-20,12838,31376,25985,70199
2021-08-21,12839,31379,26002,70220
2021-08-22,12839,31381,26009,70229
2021-08-23,12840,31386,26028,70254
2021-08-24,12840,31389,26045,70274
2021-08-25,12840,31393,26066,70299
2021-08-26,12843,31401,26066,70310
2021-08-27,12844,31401,26108,70353
2021-08-28,12844,31407,26125,70376
2021-08-29,12844,31407,26135,70386
2021-08-30,12845,31407,26142,70394
2021-08-31,12845,31417,26160,70422
2021-09-01,12847,31422,26172,70441
2021-09-02,12848,31432,26196,70476
2021-09-03,12849,31432,26214,70495
2021-09-04,12849,31434,26228,70511
2021-09-05,12849,31435,26246,70530
2021-09-06,12849,31438,26265,70552
2021-09-07,12849,31440,26287,70576
2021-09-08,12849,31441,26297,70587
2021-09-09,12849,31442,26305,70596
2021-09-10,12849,31442,26315,70606
2021-09-11,12849,31444,26324,70617
2021-09-12,12849,31444,26332,70625
2021-09-13,12849,31444,26349,70642
2021-09-14,12849,31444,26375,70668
2021-09-15,12849,31445,26392,70686
2021-09-16,12849,31448,26400,70697
2021-09-17,12849,31448,26410,70707
2021-09-18,12849,31449,26427,70725
2021-09-19,12849,31449,26431,70729
2021-09-20,12849,31449,26444,70742
2021-09-21,12849,31454,26471,70774
2021-09-22,12849,31454,26484,70787
2021-09-23,12849,31455,26505,70809
2021-09-24,12849,31455,26528,70832
2021-09-25,12849,31457,26537,70843
2021-09-26,12849,31458,26544,70851
2021-09-27,12849,31459,26572,70880
2021-09-28,12849,31465,26597,70911
2021-09-29,12849,31465,26601,70915
2021-09-30,12849,31466,26631,70946
2021-10-01,12849,31466,26660,70975
2021-10-02,12849,31467,26679,70995
2021-10-03,12849,31468,26685,71002
2021-10-04,12849,31469,26701,71019
2021-10-05,12849,31470,26724,71043
2021-10-06,12849,31473,26747,71069
2021-10-07,12850,31473,26773,71096
2021-10-08,12850,31474,26789,71113
2021-10-09,12850,31474,26810,71134
2021-10-10,12851,31474,26834,71159
2021-10-11,12851,31477,26867,71195
2021-10-12,12851,31491,27044,71386
