Dia,PCR,PR,AG,Casos_Totales
2021-09-01,8547,28021,8252,44820
2021-09-02,8547,28021,8259,44827
2021-09-03,8547,28021,8265,44833
2021-09-04,8550,28021,8271,44842
2021-09-05,8550,28021,8272,44843
2021-09-06,8550,28021,8273,44844
2021-09-07,8550,28024,8278,44852
2021-09-08,8550,28024,8280,44854
2021-09-09,8550,28025,8282,44857
2021-09-10,8550,28028,8286,44864
2021-09-11,8550,28028,8287,44865
2021-09-12,8550,28030,8288,44868
2021-09-13,8550,28031,8296,44877
2021-09-14,8550,28033,8300,44883
2021-09-15,8550,28034,8309,44893
2021-09-16,8551,28035,8318,44904
2021-09-17,8552,28037,8320,44909
2021-09-18,8553,28037,8322,44912
2021-09-19,8553,28037,8322,44912
2021-09-20,8553,28039,8324,44916
2021-09-21,8564,28039,8331,44934
