Dia,PCR,PR,AG,Casos_Totales
2021-08-23,1088,9364,5050,15502
2021-08-24,1088,9364,5063,15515
2021-08-25,1088,9364,5064,15516
2021-08-26,1088,9365,5075,15528
2021-08-27,1088,9367,5096,15551
2021-08-28,1088,9367,5105,15560
2021-08-29,1088,9368,5108,15564
2021-08-30,1088,9368,5110,15566
2021-08-31,1088,9369,5116,15573
2021-09-01,1092,9371,5141,15604
2021-09-02,1092,9371,5148,15611
2021-09-03,1093,9372,5153,15618
2021-09-04,1093,9372,5159,15624
2021-09-05,1093,9372,5163,15628
2021-09-06,1093,9372,5174,15639
2021-09-07,1093,9372,5186,15651
2021-09-08,1093,9373,5197,15663
2021-09-09,1093,9374,5200,15667
2021-09-10,1093,9374,5202,15669
2021-09-11,1093,9374,5209,15676
2021-09-12,1093,9376,5217,15686
2021-09-13,1093,9376,5222,15691
2021-09-14,1093,9377,5228,15698
2021-09-15,1093,9377,5228,15698
2021-09-16,1093,9377,5231,15701
2021-09-17,1093,9377,5235,15705
2021-09-18,1093,9378,5239,15710
2021-09-19,1093,9378,5241,15712
2021-09-20,1093,9378,5243,15714
2021-09-21,1093,9379,5253,15725
2021-09-22,1093,9381,5254,15728
2021-09-23,1093,9383,5258,15734
2021-09-24,1093,9383,5260,15736
2021-09-25,1093,9383,5263,15739
2021-09-26,1093,9383,5270,15746
2021-09-27,1093,9383,5275,15751
2021-09-28,1093,9384,5275,15752
2021-09-29,1093,9384,5276,15753
2021-09-30,1093,9385,5277,15755
2021-10-01,1093,9386,5279,15758
2021-10-02,1093,9386,5283,15762
2021-10-03,1093,9386,5285,15764
2021-10-04,1093,9386,5290,15769
2021-10-05,1093,9386,5291,15770
2021-10-06,1093,9386,5297,15776
2021-10-07,1093,9386,5302,15781
2021-10-08,1093,9386,5305,15784
2021-10-09,1093,9386,5311,15790
2021-10-10,1093,9386,5312,15791
2021-10-11,1093,9386,5317,15796
2021-10-12,1093,9386,5317,15796
