Dia,PCR,PR,AG,Casos_Totales
2021-07-23,5606,20927,10327,36860
2021-07-24,5627,20928,10373,36928
2021-07-25,5627,20929,10394,36950
2021-07-26,5627,20932,10426,36985
2021-07-27,5646,20933,10473,37052
2021-07-28,5674,20933,10484,37091
2021-07-29,5674,20933,10518,37125
2021-07-30,5693,20935,10558,37186
2021-07-31,5693,20937,10598,37228
2021-08-01,5693,20937,10620,37250
2021-08-02,5695,20938,10651,37284
2021-08-03,5711,20938,10698,37347
2021-08-04,5711,20938,10739,37388
2021-08-05,5740,20939,10774,37453
2021-08-06,5760,20942,10827,37529
2021-08-07,5790,20945,10853,37588
2021-08-08,5790,20945,10881,37616
2021-08-09,5790,20946,10918,37654
2021-08-10,5813,20949,10958,37720
2021-08-11,5813,20952,10991,37756
2021-08-12,5830,20954,11030,37814
2021-08-13,5846,20956,11061,37863
2021-08-14,5867,20956,11083,37906
2021-08-15,5867,20958,11104,37929
2021-08-16,5868,20961,11144,37973
2021-08-17,5885,20961,11200,38046
2021-08-18,5909,20962,11245,38116
2021-08-19,5929,20964,11288,38181
2021-08-20,5946,20966,11329,38241
2021-08-21,5962,20967,11359,38288
2021-08-22,5962,20970,11379,38311
2021-08-23,5962,20971,11414,38347
2021-08-24,5986,20971,11443,38400
2021-08-25,5986,20973,11479,38438
2021-08-26,6036,20973,11506,38515
2021-08-27,6053,20975,11539,38567
2021-08-28,6063,20977,11560,38600
2021-08-29,6063,20978,11574,38615
2021-08-30,6063,20981,11584,38628
2021-08-31,6080,20983,11623,38686
2021-09-01,6105,20983,11659,38747
2021-09-02,6119,20983,11688,38790
2021-09-03,6159,20984,11736,38879
2021-09-04,6170,20985,11778,38933
2021-09-05,6170,20985,11795,38950
2021-09-06,6170,20985,11839,38994
2021-09-07,6208,20986,11870,39064
2021-09-08,6214,20987,11900,39101
2021-09-09,6229,20989,11927,39145
2021-09-10,6256,20990,11965,39211
2021-09-11,6269,20990,11985,39244
2021-09-12,6269,20991,12004,39264
2021-09-13,6271,20993,12029,39293
2021-09-14,6302,20995,12058,39355
2021-09-15,6348,20997,12080,39425
2021-09-16,6394,20997,12097,39488
2021-09-17,6408,21000,12122,39530
2021-09-18,6408,21001,12134,39543
2021-09-19,6418,21001,12144,39563
2021-09-20,6418,21001,12157,39576
2021-09-21,6452,21001,12183,39636
2021-09-22,6452,21001,12205,39658
2021-09-23,6469,21003,12221,39693
2021-09-24,6483,21003,12244,39730
2021-09-25,6486,21003,12265,39754
2021-09-26,6486,21003,12272,39761
2021-09-27,6486,21004,12300,39790
2021-09-28,6506,21004,12323,39833
2021-09-29,6525,21004,12349,39878
2021-09-30,6525,21006,12368,39899
2021-10-01,6536,21006,12406,39948
2021-10-02,6536,21006,12428,39970
2021-10-03,6536,21006,12440,39982
2021-10-04,6553,21007,12460,40020
2021-10-05,6567,21007,12486,40060
2021-10-06,6572,21008,12510,40090
2021-10-07,6581,21008,12525,40114
2021-10-08,6584,21009,12544,40137
2021-10-09,6585,21009,12564,40158
2021-10-10,6585,21009,12576,40170
2021-10-11,6585,21009,12584,40178
2021-10-12,6601,21010,12613,40224
