Dia,PCR,PR,AG,Casos_Totales
2021-04-11,3652,15225,3559,22436
2021-04-12,3652,15237,3587,22476
2021-04-13,3662,15243,3623,22528
2021-04-14,3671,15249,3660,22580
2021-04-15,3671,15254,3708,22633
2021-04-16,3688,15258,3743,22689
2021-04-17,3688,15261,3782,22731
2021-04-18,3695,15263,3817,22775
2021-04-19,3701,15275,3878,22854
2021-04-20,3714,15277,3908,22899
2021-04-21,3718,15279,3951,22948
2021-04-22,3726,15298,4007,23031
2021-04-23,3729,15313,4047,23089
2021-04-24,3741,15315,4091,23147
2021-04-25,3742,15316,4132,23190
2021-04-26,3754,15319,4153,23226
2021-04-27,3754,15323,4218,23295
2021-04-28,3772,15325,4247,23344
2021-04-29,3772,15327,4282,23381
2021-04-30,3784,15331,4313,23428
2021-05-01,3807,15331,4371,23509
2021-05-02,3807,15332,4380,23519
2021-05-03,3807,15337,4409,23553
2021-05-04,3816,15347,4443,23606
2021-05-05,3839,15350,4497,23686
2021-05-06,3843,15358,4562,23763
2021-05-07,3843,15369,4620,23832
2021-05-08,3857,15374,4655,23886
2021-05-09,3857,15375,4678,23910
2021-05-10,3857,15378,4716,23951
2021-05-11,3867,15397,4775,24039
2021-05-12,3886,15400,4824,24110
2021-05-13,3886,15409,4871,24166
2021-05-14,3897,15420,4933,24250
2021-05-15,3905,15423,4976,24304
2021-05-16,3924,15424,4990,24338
2021-05-17,3927,15429,5049,24405
2021-05-18,3927,15440,5120,24487
2021-05-19,3958,15452,5185,24595
2021-05-20,3971,15467,5245,24683
2021-05-21,3971,15474,5315,24760
2021-05-22,3990,15480,5384,24854
2021-05-23,3990,15481,5390,24861
2021-05-24,3999,15489,5448,24936
2021-05-25,4013,15495,5512,25020
2021-05-26,4030,15501,5560,25091
2021-05-27,4030,15506,5625,25161
2021-05-28,4039,15509,5687,25235
2021-05-29,4052,15520,5764,25336
2021-05-30,4052,15520,5764,25336
2021-05-31,4076,15527,5815,25418
2021-06-01,4092,15534,5898,25524
2021-06-02,4092,15536,5980,25608
2021-06-03,4126,15544,6063,25733
2021-06-04,4166,15556,6167,25889
2021-06-05,4178,15559,6224,25961
2021-06-06,4178,15563,6233,25974
2021-06-07,4178,15570,6300,26048
2021-06-08,4186,15579,6359,26124
2021-06-09,4219,15595,6418,26232
2021-06-10,4229,15600,6466,26295
2021-06-11,4230,15606,6506,26342
2021-06-12,4242,15615,6542,26399
2021-06-13,4242,15615,6565,26422
2021-06-14,4250,15618,6613,26481
2021-06-15,4323,15627,6702,26652
2021-06-16,4336,15641,6754,26731
2021-06-17,4336,15646,6822,26804
2021-06-18,4345,15650,6884,26879
2021-06-19,4353,15657,6932,26942
2021-06-20,4361,15657,6958,26976
2021-06-21,4369,15660,7040,27069
2021-06-22,4369,15675,7107,27151
2021-06-23,4386,15679,7185,27250
2021-06-24,4386,15680,7240,27306
2021-06-25,4412,15684,7292,27388
2021-06-26,4412,15689,7340,27441
2021-06-27,4421,15689,7380,27490
2021-06-28,4421,15692,7430,27543
