Dia,PCR,PR,AG,Casos_Totales
2021-09-01,4725,8962,4709,18396
2021-09-02,4725,8962,4714,18401
2021-09-03,4725,8963,4716,18404
2021-09-04,4726,8963,4722,18411
2021-09-05,4726,8963,4724,18413
2021-09-06,4726,8963,4733,18422
2021-09-07,4726,8963,4744,18433
2021-09-08,4826,8963,4746,18535
2021-09-09,4826,8964,4750,18540
2021-09-10,4826,8964,4757,18547
2021-09-11,4839,8964,4763,18566
2021-09-12,4839,8965,4763,18567
2021-09-13,4857,8965,4770,18592
2021-09-14,4876,8965,4770,18611
2021-09-15,4881,8967,4772,18620
2021-09-16,4892,8967,4776,18635
2021-09-17,4893,8967,4780,18640
2021-09-18,4893,8967,4781,18641
2021-09-19,4893,8967,4782,18642
2021-09-20,4899,8967,4784,18650
2021-09-21,4911,8967,4785,18663
2021-09-22,4912,8967,4791,18670
2021-09-23,4914,8967,4798,18679
2021-09-24,4924,8967,4802,18693
2021-09-25,4925,8967,4805,18697
2021-09-26,4925,8967,4806,18698
