Dia,Nino_Total,Nino_TAtaq,Nino_RazonT,Adolescente_Total,Adolescente_TAtaq,Adolescente_RazonT,Joven_Total,Joven_TAtaq,Joven_RazonT,Adulto_Total,Adulto_TAtaq,Adulto_RazonT,AdultoMay_Total,AdultoMay_TAtaq,AdultoMay_RazonT
2021-04-05,49348,0.76,0.16,45593,1.47,0.3,314221,4.89,1,905708,7.25,1.48,283723,6.85,1.4
2021-04-06,49500,0.77,0.16,45877,1.48,0.3,316318,4.93,1,910838,7.29,1.48,285365,6.89,1.4
2021-04-07,49667,0.77,0.15,46248,1.49,0.3,318435,4.96,1,916473,7.34,1.48,287041,6.93,1.4
2021-04-08,49858,0.77,0.15,46597,1.5,0.3,320798,5,1,922490,7.39,1.48,288776,6.97,1.4
2021-04-09,50097,0.77,0.15,46983,1.51,0.3,323121,5.03,1,928710,7.43,1.48,290856,7.02,1.4
2021-04-10,50237,0.78,0.15,47288,1.52,0.3,324836,5.06,1,933120,7.47,1.48,292213,7.06,1.39
2021-04-11,50355,0.78,0.15,47479,1.53,0.3,325971,5.08,1,936302,7.5,1.48,293213,7.08,1.39
2021-04-12,50452,0.78,0.15,47709,1.54,0.3,327342,5.1,1,939829,7.52,1.48,294375,7.11,1.39
2021-04-13,50586,0.78,0.15,48007,1.55,0.3,329107,5.13,1,944323,7.56,1.47,295714,7.14,1.39
2021-04-14,50861,0.79,0.15,48446,1.56,0.3,331978,5.17,1,951619,7.62,1.47,298159,7.2,1.39
2021-04-15,50919,0.79,0.15,48746,1.57,0.3,333700,5.2,1,956145,7.65,1.47,299541,7.23,1.39
2021-04-16,51211,0.79,0.15,49061,1.58,0.3,335522,5.23,1,960822,7.69,1.47,301010,7.27,1.39
2021-04-17,51356,0.79,0.15,49335,1.59,0.3,337090,5.25,1,964765,7.72,1.47,302211,7.3,1.39
2021-04-18,51435,0.8,0.15,49448,1.59,0.3,337746,5.26,1,966410,7.74,1.47,302748,7.31,1.39
2021-04-19,51626,0.8,0.15,49810,1.6,0.3,340074,5.3,1,972763,7.79,1.47,304815,7.36,1.39
2021-04-20,51774,0.8,0.15,50071,1.61,0.3,341728,5.32,1,977104,7.82,1.47,306129,7.39,1.39
2021-04-21,51902,0.8,0.15,50354,1.62,0.3,343456,5.35,1,981438,7.86,1.47,307456,7.43,1.39
2021-04-22,52154,0.81,0.15,50745,1.63,0.3,345770,5.39,1,987540,7.91,1.47,309446,7.47,1.39
2021-04-23,52320,0.81,0.15,51058,1.64,0.3,347608,5.41,1,992214,7.94,1.47,310950,7.51,1.39
2021-04-24,52491,0.81,0.15,51359,1.65,0.3,349197,5.44,1,996223,7.98,1.47,312305,7.54,1.39
2021-04-25,52631,0.81,0.15,51594,1.66,0.3,350484,5.46,1,999908,8,1.47,313569,7.57,1.39
2021-04-26,52774,0.82,0.15,51827,1.67,0.3,351992,5.48,1,1003689,8.04,1.47,314780,7.6,1.39
2021-04-27,52944,0.82,0.15,52141,1.68,0.3,353753,5.51,1,1008292,8.07,1.47,316209,7.64,1.39
2021-04-28,53112,0.82,0.15,52489,1.69,0.31,355567,5.54,1,1013059,8.11,1.46,317771,7.67,1.39
2021-04-29,53244,0.82,0.15,52774,1.7,0.31,357169,5.56,1,1017172,8.14,1.46,319086,7.71,1.39
2021-04-30,53357,0.82,0.15,52963,1.71,0.31,358311,5.58,1,1020134,8.17,1.46,320150,7.73,1.39
2021-05-01,53460,0.83,0.15,53183,1.71,0.31,359566,5.6,1,1023477,8.19,1.46,321312,7.76,1.39
2021-05-02,53531,0.83,0.15,53297,1.72,0.31,360178,5.61,1,1025231,8.21,1.46,321890,7.77,1.39
2021-05-03,53609,0.83,0.15,53448,1.72,0.31,361071,5.62,1,1027847,8.23,1.46,322714,7.79,1.39
2021-05-04,53731,0.83,0.15,53642,1.73,0.31,362250,5.64,1,1031055,8.25,1.46,323779,7.82,1.39
2021-05-05,53894,0.83,0.15,53910,1.74,0.31,363959,5.67,1,1035657,8.29,1.46,325251,7.86,1.39
2021-05-06,54017,0.84,0.15,54141,1.74,0.31,365366,5.69,1,1039437,8.32,1.46,326504,7.89,1.39
2021-05-07,54111,0.84,0.15,54344,1.75,0.31,366531,5.71,1,1042567,8.35,1.46,327503,7.91,1.39
2021-05-08,54224,0.84,0.15,54521,1.76,0.31,367679,5.73,1,1045459,8.37,1.46,328407,7.93,1.39
2021-05-09,54300,0.84,0.15,54612,1.76,0.31,368236,5.74,1,1047208,8.38,1.46,329014,7.95,1.39
2021-05-10,54402,0.84,0.15,54763,1.76,0.31,369243,5.75,1,1049926,8.41,1.46,329905,7.97,1.39
2021-05-11,54538,0.84,0.15,54995,1.77,0.31,370836,5.78,1,1054096,8.44,1.46,331174,8,1.38
