Dia,Muertes_Totales,Tasa_Mortalidad
2021-04-05,120,32.53
2021-04-06,121,32.81
2021-04-07,121,32.81
2021-04-08,121,32.81
2021-04-09,121,32.81
2021-04-10,121,32.81
2021-04-11,122,33.08
2021-04-12,122,33.08
2021-04-13,123,33.35
2021-04-14,124,33.62
2021-04-15,125,33.89
2021-04-16,125,33.89
2021-04-17,125,33.89
2021-04-18,125,33.89
2021-04-19,127,34.43
2021-04-20,128,34.7
2021-04-21,130,35.25
2021-04-22,133,36.06
2021-04-23,134,36.33
2021-04-24,134,36.33
2021-04-25,136,36.87
2021-04-26,138,37.41
2021-04-27,139,37.69
2021-04-28,140,37.96
2021-04-29,141,38.23
2021-04-30,141,38.23
2021-05-01,144,39.04
2021-05-02,145,39.31
2021-05-03,146,39.58
2021-05-04,144,39.04
2021-05-05,144,39.04
2021-05-06,145,39.31
2021-05-07,145,39.31
2021-05-08,146,39.58
2021-05-09,146,39.58
2021-05-10,149,40.4
2021-05-11,149,40.4
2021-05-12,151,40.94
2021-05-13,152,41.21
2021-05-14,152,41.21
2021-05-15,152,41.21
2021-05-16,152,41.21
2021-05-17,153,41.48
2021-05-18,155,42.02
2021-05-19,155,42.02
2021-05-20,155,42.02
2021-05-21,156,42.29
2021-05-22,159,43.11
2021-05-23,160,43.38
2021-05-24,160,43.38
2021-05-25,160,43.38
2021-05-26,160,43.38
2021-05-27,160,43.38
2021-05-28,160,43.38
2021-05-29,160,43.38
2021-05-30,160,43.38
2021-05-31,424,114.96
2021-06-01,422,114.41
2021-06-02,422,114.41
2021-06-03,420,113.87
2021-06-04,418,113.33
2021-06-05,421,114.14
2021-06-06,422,114.41
2021-06-07,421,114.14
2021-06-08,421,114.14
2021-06-09,421,114.14
2021-06-10,422,114.41
2021-06-11,424,114.96
2021-06-12,424,114.96
2021-06-13,425,115.23
2021-06-14,425,115.23
2021-06-15,425,115.23
2021-06-16,424,114.96
2021-06-17,424,114.96
2021-06-18,424,114.96
2021-06-19,425,115.23
2021-06-20,425,115.23
2021-06-21,426,115.5
2021-06-22,427,115.77
2021-06-23,426,115.5
2021-06-24,426,115.5
2021-06-25,426,115.5
2021-06-26,426,115.5
2021-06-27,427,115.77
2021-06-28,427,115.77
2021-06-29,425,115.23
2021-06-30,425,115.23
2021-07-01,424,114.96
2021-07-02,424,114.96
2021-07-03,428,116.04
2021-07-04,428,116.04
2021-07-05,425,115.23
2021-07-06,426,115.5
2021-07-07,428,116.04
2021-07-08,426,115.5
2021-07-09,428,116.04
2021-07-10,429,116.31
2021-07-11,429,116.31
2021-07-12,430,116.58
2021-07-13,429,116.31
2021-07-14,428,116.04
2021-07-15,428,116.04
2021-07-16,430,116.58
2021-07-17,431,116.85
2021-07-18,428,116.04
2021-07-19,429,116.31
2021-07-20,430,116.58
2021-07-21,430,116.58
2021-07-22,429,116.31
2021-07-23,428,116.04
2021-07-24,429,116.31
2021-07-25,429,116.31
2021-07-26,429,116.31
2021-07-27,429,116.31
2021-07-28,428,116.04
2021-07-29,429,116.31
2021-07-30,427,115.77
2021-07-31,428,116.04
2021-08-01,428,116.04
2021-08-02,427,115.77
2021-08-03,427,115.77
2021-08-04,427,115.77
2021-08-05,424,114.96
2021-08-06,424,114.96
2021-08-07,424,114.96
2021-08-08,426,115.5
2021-08-09,428,116.04
2021-08-10,427,115.77
2021-08-11,428,116.04
2021-08-12,428,116.04
2021-08-13,426,115.5
2021-08-14,428,116.04
2021-08-15,427,115.77
2021-08-16,427,115.77
2021-08-17,427,115.77
2021-08-18,428,116.04
2021-08-19,427,115.77
2021-08-20,428,116.04
2021-08-21,428,116.04
2021-08-22,428,116.04
2021-08-23,428,116.04
2021-08-24,427,115.77
2021-08-25,427,115.77
2021-08-26,429,116.31
2021-08-27,429,116.31
2021-08-28,429,116.31
2021-08-29,429,116.31
2021-08-30,429,116.31
2021-08-31,429,116.31
2021-09-01,429,116.31
2021-09-02,429,116.31
2021-09-03,428,116.04
2021-09-04,428,116.04
2021-09-05,429,116.31
2021-09-06,428,116.04
2021-09-07,428,116.04
2021-09-08,430,116.58
2021-09-09,430,116.58
2021-09-10,430,116.58
2021-09-11,430,116.58
2021-09-12,431,116.85
2021-09-13,430,11.66
2021-09-14,430,11.66
2021-09-15,430,11.66
2021-09-16,428,11.6
2021-09-17,429,11.63
2021-09-18,429,11.63
2021-09-19,429,11.63
2021-09-20,430,11.66
2021-09-21,431,11.69
2021-09-22,430,11.66
2021-09-23,430,11.66
2021-09-24,430,11.66
2021-09-25,430,11.66
2021-09-26,429,11.63
2021-09-27,429,11.63
2021-09-28,429,11.63
2021-09-29,431,11.69
2021-09-30,432,11.71
2021-10-01,431,11.69
2021-10-02,431,11.69
2021-10-03,430,11.66
2021-10-04,432,11.71
2021-10-05,430,11.66
2021-10-06,431,11.69
2021-10-07,431,11.69
2021-10-08,431,11.69
2021-10-09,431,11.69
2021-10-10,431,11.69
2021-10-11,431,11.69
2021-10-12,431,11.69
2021-10-13,430,11.66
2021-10-14,431,11.69
2021-10-15,431,11.69
