Dia,Muertes_Totales,Tasa_Mortalidad
2021-05-15,458,50.47
2021-05-16,458,50.47
2021-05-17,461,50.8
2021-05-18,463,51.02
2021-05-19,464,51.13
2021-05-20,466,51.35
2021-05-21,467,51.46
2021-05-22,471,51.9
2021-05-23,471,51.9
2021-05-24,471,51.9
2021-05-25,471,51.9
2021-05-26,472,52.01
2021-05-27,473,52.12
2021-05-28,473,52.12
2021-05-29,473,52.12
2021-05-30,473,52.12
2021-05-31,1204,132.67
2021-06-01,1206,132.89
2021-06-02,1209,133.22
2021-06-03,1210,133.33
2021-06-04,1209,133.22
2021-06-05,1210,133.33
2021-06-06,1209,133.22
2021-06-07,1212,133.55
2021-06-08,1209,133.22
2021-06-09,1209,133.22
2021-06-10,1212,133.55
2021-06-11,1213,133.66
2021-06-12,1215,133.88
2021-06-13,1216,133.99
2021-06-14,1214,133.77
2021-06-15,1214,133.77
2021-06-16,1217,134.1
2021-06-17,1218,134.21
2021-06-18,1217,134.1
2021-06-19,1218,134.21
2021-06-20,1218,134.21
2021-06-21,1220,134.43
2021-06-22,1220,134.43
2021-06-23,1221,134.54
2021-06-24,1221,134.54
2021-06-25,1223,134.76
2021-06-26,1223,134.76
2021-06-27,1223,134.76
2021-06-28,1223,134.76
2021-06-29,1223,134.76
2021-06-30,1226,135.09
2021-07-01,1228,135.31
2021-07-02,1228,135.31
2021-07-03,1227,135.2
2021-07-04,1226,135.09
2021-07-05,1225,134.98
2021-07-06,1226,135.09
2021-07-07,1227,135.2
2021-07-08,1226,135.09
2021-07-09,1228,135.31
2021-07-10,1228,135.31
2021-07-11,1231,135.64
2021-07-12,1232,135.75
2021-07-13,1231,135.64
2021-07-14,1231,135.64
2021-07-15,1232,135.75
2021-07-16,1232,135.75
2021-07-17,1230,135.53
2021-07-18,1231,135.64
2021-07-19,1231,135.64
2021-07-20,1231,135.64
2021-07-21,1232,135.75
2021-07-22,1233,135.86
2021-07-23,1233,135.86
2021-07-24,1233,135.86
2021-07-25,1235,136.09
2021-07-26,1235,136.09
2021-07-27,1235,136.09
2021-07-28,1235,136.09
2021-07-29,1235,136.09
2021-07-30,1235,136.09
2021-07-31,1236,136.2
2021-08-01,1238,136.42
2021-08-02,1237,136.31
2021-08-03,1236,136.2
2021-08-04,1237,136.31
2021-08-05,1236,136.2
2021-08-06,1237,136.31
2021-08-07,1237,136.31
2021-08-08,1237,136.31
2021-08-09,1236,0
2021-08-10,1237,0
2021-08-11,1236,0
2021-08-12,1236,0
2021-08-13,1238,136.42
2021-08-14,1239,136.53
2021-08-15,1241,0
2021-08-16,1239,0
2021-08-17,1239,0
2021-08-18,1239,0
2021-08-19,1239,0
2021-08-20,1240,136.64
2021-08-21,1240,136.64
2021-08-22,1241,136.75
2021-08-23,1240,136.64
2021-08-24,1239,136.53
2021-08-25,1239,136.53
2021-08-26,1239,136.53
2021-08-27,1238,136.42
2021-08-28,1238,136.42
2021-08-29,1238,136.42
2021-08-30,1239,136.53
2021-08-31,1238,136.42
2021-09-01,1239,136.53
2021-09-02,1241,136.75
2021-09-03,1238,136.42
2021-09-04,1238,136.42
2021-09-05,1241,136.75
2021-09-06,1240,136.64
2021-09-07,1240,136.64
2021-09-08,1240,136.64
2021-09-09,1239,136.53
2021-09-10,1241,136.75
2021-09-11,1239,136.53
2021-09-12,1240,136.64
2021-09-13,1240,13.66
2021-09-14,1241,13.67
2021-09-15,1240,13.66
2021-09-16,1242,13.69
2021-09-17,1242,13.69
2021-09-18,1243,13.7
2021-09-19,1243,13.7
2021-09-20,1243,13.7
2021-09-21,1243,13.7
2021-09-22,1242,13.69
2021-09-23,1243,13.7
2021-09-24,1243,13.7
2021-09-25,1243,13.7
2021-09-26,1244,13.71
2021-09-27,1243,13.7
2021-09-28,1244,13.71
2021-09-29,1247,13.74
2021-09-30,1246,13.73
2021-10-01,1248,13.75
2021-10-02,1249,13.76
2021-10-03,1249,13.76
2021-10-04,1250,13.77
2021-10-05,1250,13.77
2021-10-06,1249,13.76
2021-10-07,1252,13.8
2021-10-08,1252,13.8
2021-10-09,1252,13.8
2021-10-10,1252,13.8
2021-10-11,1252,13.8
2021-10-12,1253,13.81
