Dia,Muertes_Totales,Tasa_Mortalidad
2021-04-05,485,14.98
2021-04-06,487,15.04
2021-04-07,490,15.13
2021-04-08,494,15.25
2021-04-09,499,15.41
2021-04-10,499,15.41
2021-04-11,505,15.59
2021-04-12,506,15.62
2021-04-13,510,15.75
2021-04-14,512,15.81
2021-04-15,516,15.93
2021-04-16,519,16.02
2021-04-17,523,16.15
2021-04-18,524,16.18
2021-04-19,532,16.43
2021-04-20,536,16.55
2021-04-21,538,16.61
2021-04-22,542,16.74
2021-04-23,551,17.01
2021-04-24,552,17.04
2021-04-25,557,17.2
2021-04-26,560,17.29
2021-04-27,563,17.38
2021-04-28,570,17.6
2021-04-29,574,17.72
2021-04-30,575,17.75
2021-05-01,577,17.82
2021-05-02,577,17.82
2021-05-03,578,17.85
2021-05-04,591,18.25
2021-05-05,591,18.25
2021-05-06,593,18.31
2021-05-07,594,18.34
2021-05-08,599,18.5
2021-05-09,602,18.59
2021-05-10,602,18.59
2021-05-11,603,18.62
2021-05-12,604,18.65
2021-05-13,608,18.77
2021-05-14,610,18.83
2021-05-15,613,18.93
2021-05-16,614,18.96
2021-05-17,614,18.96
2021-05-18,619,19.11
2021-05-19,620,19.14
2021-05-20,622,19.21
2021-05-21,622,19.21
2021-05-22,622,19.21
2021-05-23,624,19.27
2021-05-24,625,19.3
2021-05-25,626,19.33
2021-05-26,626,19.33
2021-05-27,626,19.33
2021-05-28,627,19.36
2021-05-29,628,19.39
2021-05-30,628,19.39
2021-05-31,1766,54.53
2021-06-01,1771,54.68
2021-06-02,1776,54.84
2021-06-03,1782,55.02
2021-06-04,1786,55.15
2021-06-05,1786,55.15
2021-06-06,1788,55.21
2021-06-07,1792,55.33
2021-06-08,1791,55.3
2021-06-09,1791,55.3
2021-06-10,1790,55.27
2021-06-11,1793,55.36
2021-06-12,1792,55.33
2021-06-13,1796,55.45
2021-06-14,1800,55.58
2021-06-15,1800,55.58
2021-06-16,1802,55.64
2021-06-17,1802,55.64
2021-06-18,1807,55.79
2021-06-19,1811,55.92
2021-06-20,1816,56.07
2021-06-21,1822,56.26
2021-06-22,1824,56.32
2021-06-23,1825,56.35
2021-06-24,1825,56.35
2021-06-25,1828,56.44
2021-06-26,1832,56.57
2021-06-27,1833,56.6
2021-06-28,1835,56.66
2021-06-29,1834,56.63
2021-06-30,1835,56.66
2021-07-01,1840,56.81
2021-07-02,1841,56.84
2021-07-03,1841,56.84
2021-07-04,1842,56.87
2021-07-05,1841,56.84
2021-07-06,1842,56.87
2021-07-07,1845,56.97
2021-07-08,1845,56.97
2021-07-09,1848,57.06
2021-07-10,1852,57.18
2021-07-11,1852,57.18
2021-07-12,1853,57.21
2021-07-13,1857,57.34
2021-07-14,1855,57.28
2021-07-15,1857,57.34
2021-07-16,1859,57.4
2021-07-17,1859,57.4
2021-07-18,1861,57.46
2021-07-19,1861,57.46
2021-07-20,1861,57.46
2021-07-21,1863,57.52
2021-07-22,1864,57.55
2021-07-23,1864,57.55
2021-07-24,1865,57.58
2021-07-25,1866,57.62
2021-07-26,1867,57.65
