Dia,Muertes_Totales,Tasa_Mortalidad
2021-04-05,92,18.81
2021-04-06,92,18.81
2021-04-07,93,19.01
2021-04-08,93,19.01
2021-04-09,93,19.01
2021-04-10,93,19.01
2021-04-11,94,19.22
2021-04-12,94,19.22
2021-04-13,97,19.83
2021-04-14,98,20.03
2021-04-15,98,20.03
2021-04-16,98,20.03
2021-04-17,99,20.24
2021-04-18,99,20.24
2021-04-19,100,20.44
2021-04-20,101,20.65
2021-04-21,101,20.65
2021-04-22,101,20.65
2021-04-23,102,20.85
2021-04-24,103,21.06
2021-04-25,103,21.06
2021-04-26,104,21.26
2021-04-27,104,21.26
2021-04-28,105,21.47
2021-04-29,105,21.47
2021-04-30,106,21.67
2021-05-01,107,21.87
2021-05-02,107,21.87
2021-05-03,107,21.87
2021-05-04,109,22.28
2021-05-05,109,22.28
2021-05-06,109,22.28
2021-05-07,110,22.49
2021-05-08,110,22.49
2021-05-09,110,22.49
2021-05-10,112,22.9
2021-05-11,113,23.1
2021-05-12,114,23.31
2021-05-13,114,23.31
2021-05-14,116,23.71
2021-05-15,116,23.71
2021-05-16,116,23.71
2021-05-17,116,23.71
2021-05-18,116,23.71
2021-05-19,116,23.71
2021-05-20,116,23.71
2021-05-21,117,23.92
2021-05-22,118,24.12
2021-05-23,118,24.12
2021-05-24,118,24.12
2021-05-25,118,24.12
2021-05-26,118,24.12
2021-05-27,119,24.33
2021-05-28,119,24.33
2021-05-29,119,24.33
2021-05-30,119,24.33
2021-05-31,343,70.12
2021-06-01,343,70.12
2021-06-02,343,70.12
2021-06-03,343,70.12
2021-06-04,343,70.12
2021-06-05,344,70.33
2021-06-06,344,70.33
2021-06-07,345,70.53
2021-06-08,345,70.53
2021-06-09,344,70.33
2021-06-10,344,70.33
2021-06-11,344,70.33
2021-06-12,344,70.33
2021-06-13,344,70.33
2021-06-14,344,70.33
2021-06-15,344,70.33
2021-06-16,344,70.33
2021-06-17,345,70.53
2021-06-18,345,70.53
2021-06-19,345,70.53
2021-06-20,345,70.53
2021-06-21,346,70.73
2021-06-22,347,70.94
2021-06-23,347,70.94
2021-06-24,347,70.94
2021-06-25,347,70.94
2021-06-26,348,71.14
2021-06-27,348,71.14
2021-06-28,348,71.14
2021-06-29,348,71.14
2021-06-30,348,71.14
2021-07-01,348,71.14
2021-07-02,348,71.14
2021-07-03,348,71.14
2021-07-04,348,71.14
2021-07-05,349,71.35
2021-07-06,349,71.35
2021-07-07,349,71.35
2021-07-08,349,71.35
2021-07-09,349,71.35
2021-07-10,349,71.35
2021-07-11,349,71.35
2021-07-12,349,71.35
2021-07-13,349,71.35
2021-07-14,350,71.55
2021-07-15,350,71.55
2021-07-16,350,71.55
2021-07-17,350,71.55
2021-07-18,350,71.55
2021-07-19,350,71.55
2021-07-20,350,71.55
2021-07-21,350,71.55
2021-07-22,351,71.76
2021-07-23,351,71.76
2021-07-24,351,71.76
2021-07-25,351,71.76
2021-07-26,351,71.76
2021-07-27,351,71.76
2021-07-28,351,71.76
2021-07-29,351,71.76
2021-07-30,351,71.76
2021-07-31,351,71.76
2021-08-01,351,71.76
2021-08-02,351,71.76
2021-08-03,352,71.96
2021-08-04,352,71.96
2021-08-05,353,72.17
2021-08-06,353,72.17
2021-08-07,353,72.17
2021-08-08,353,72.17
2021-08-09,353,72.17
2021-08-10,353,72.17
2021-08-11,353,72.17
2021-08-12,353,72.17
2021-08-13,353,72.17
2021-08-14,353,72.17
2021-08-15,353,72.17
2021-08-16,353,72.17
2021-08-17,352,71.96
2021-08-18,352,71.96
2021-08-19,352,71.96
2021-08-20,352,71.96
2021-08-21,352,71.96
2021-08-22,353,72.17
2021-08-23,353,72.17
2021-08-24,353,72.17
2021-08-25,353,72.17
2021-08-26,353,72.17
2021-08-27,353,72.17
2021-08-28,353,72.17
2021-08-29,353,72.17
2021-08-30,353,72.17
2021-08-31,353,72.17
2021-09-01,353,72.17
2021-09-02,353,72.17
2021-09-03,353,72.17
2021-09-04,353,72.17
2021-09-05,353,72.17
2021-09-06,353,72.17
2021-09-07,353,72.17
2021-09-08,353,72.17
2021-09-09,353,72.17
2021-09-10,353,72.17
2021-09-11,353,72.17
2021-09-12,353,72.17
2021-09-13,354,7.24
2021-09-14,354,7.24
2021-09-15,355,7.26
2021-09-16,355,7.26
2021-09-17,355,7.26
2021-09-18,355,7.26
2021-09-19,355,7.26
2021-09-20,355,7.26
2021-09-21,355,7.26
2021-09-22,355,7.26
2021-09-23,355,7.26
2021-09-24,355,7.26
2021-09-25,355,7.26
2021-09-26,355,7.26
2021-09-27,355,7.26
2021-09-28,355,7.26
2021-09-29,355,7.26
2021-09-30,355,7.26
2021-10-01,355,7.26
2021-10-02,355,7.26
2021-10-03,355,7.26
2021-10-04,355,7.26
2021-10-05,355,7.26
2021-10-06,355,7.26
2021-10-07,355,7.26
2021-10-08,355,7.26
2021-10-09,355,7.26
2021-10-10,355,7.26
2021-10-11,356,7.28
2021-10-12,356,7.28
