Dia,Muertes_Totales,Tasa_Mortalidad
2021-05-30,44,8.8
2021-05-31,111,22.21
2021-06-01,111,22.21
2021-06-02,111,22.21
2021-06-03,110,22.01
2021-06-04,110,22.01
2021-06-05,110,22.01
2021-06-06,110,22.01
2021-06-07,110,22.01
2021-06-08,110,22.01
2021-06-09,112,22.41
2021-06-10,112,22.41
2021-06-11,112,22.41
2021-06-12,112,22.41
2021-06-13,112,22.41
2021-06-14,112,22.41
2021-06-15,112,22.41
2021-06-16,112,22.41
2021-06-17,112,22.41
2021-06-18,112,22.41
2021-06-19,112,22.41
2021-06-20,113,22.61
2021-06-21,113,22.61
2021-06-22,113,22.61
2021-06-23,113,22.61
2021-06-24,114,22.81
2021-06-25,113,22.61
2021-06-26,114,22.81
2021-06-27,114,22.81
2021-06-28,114,22.81
2021-06-29,114,22.81
2021-06-30,115,23.01
2021-07-01,114,22.81
2021-07-02,114,22.81
2021-07-03,114,22.81
2021-07-04,114,22.81
2021-07-05,114,22.81
2021-07-06,114,22.81
2021-07-07,114,22.81
2021-07-08,114,22.81
2021-07-09,115,23.01
2021-07-10,115,23.01
2021-07-11,115,23.01
2021-07-12,115,23.01
2021-07-13,115,23.01
2021-07-14,115,23.01
2021-07-15,115,23.01
2021-07-16,115,23.01
2021-07-17,115,23.01
2021-07-18,115,23.01
2021-07-19,115,23.01
2021-07-20,114,22.81
2021-07-21,114,22.81
2021-07-22,114,22.81
2021-07-23,114,22.81
2021-07-24,114,22.81
2021-07-25,114,22.81
2021-07-26,114,22.81
2021-07-27,114,22.81
2021-07-28,114,22.81
2021-07-29,114,22.81
2021-07-30,114,22.81
2021-07-31,114,22.81
2021-08-01,114,22.81
2021-08-02,114,22.81
2021-08-03,114,22.81
2021-08-04,114,22.81
2021-08-05,114,22.81
2021-08-06,114,22.81
2021-08-07,114,22.81
2021-08-08,114,22.81
2021-08-09,114,22.81
2021-08-10,114,22.81
2021-08-11,114,22.81
2021-08-12,114,22.81
2021-08-13,114,22.81
2021-08-14,114,22.81
2021-08-15,114,22.81
2021-08-16,114,22.81
2021-08-17,114,22.81
2021-08-18,114,22.81
2021-08-19,114,22.81
2021-08-20,114,22.81
2021-08-21,114,22.81
2021-08-22,114,22.81
2021-08-23,114,22.81
2021-08-24,114,22.81
2021-08-25,114,22.81
2021-08-26,114,22.81
2021-08-27,114,22.81
2021-08-28,114,22.81
2021-08-29,114,22.81
2021-08-30,114,22.81
2021-08-31,114,22.81
2021-09-01,114,22.81
2021-09-02,114,22.81
2021-09-03,114,22.81
2021-09-04,114,22.81
2021-09-05,114,22.81
2021-09-06,114,22.81
2021-09-07,114,22.81
2021-09-08,114,22.81
2021-09-09,114,22.81
2021-09-10,114,22.81
2021-09-11,114,22.81
2021-09-12,114,22.81
2021-09-13,114,2.28
2021-09-14,114,2.28
2021-09-15,114,2.28
2021-09-16,114,2.28
2021-09-17,114,2.28
2021-09-18,114,2.28
2021-09-19,114,2.28
2021-09-20,114,2.28
2021-09-21,114,2.28
2021-09-22,114,2.28
2021-09-23,114,2.28
2021-09-24,114,2.28
2021-09-25,114,2.28
2021-09-26,114,2.28
2021-09-27,114,2.28
2021-09-28,114,2.28
2021-09-29,114,2.28
2021-09-30,114,2.28
2021-10-01,114,2.28
2021-10-02,114,2.28
2021-10-03,114,2.28
2021-10-04,114,2.28
2021-10-05,114,2.28
2021-10-06,114,2.28
2021-10-07,114,2.28
2021-10-08,114,2.28
2021-10-09,114,2.28
2021-10-10,114,2.28
2021-10-11,114,2.28
2021-10-12,114,2.28
