Dia,Muertes_Totales,Tasa_Mortalidad
2021-08-25,5587,95.59
2021-08-26,5592,95.67
2021-08-27,5591,95.65
2021-08-28,5591,95.65
2021-08-29,5593,95.69
2021-08-30,5593,95.69
2021-08-31,5594,95.71
2021-09-01,5594,95.71
2021-09-02,5595,95.72
2021-09-03,5597,95.76
2021-09-04,5597,95.76
2021-09-05,5595,95.72
2021-09-06,5594,95.71
2021-09-07,5595,95.72
2021-09-08,5594,95.71
2021-09-09,5599,95.79
2021-09-10,5600,95.81
2021-09-11,5600,95.81
2021-09-12,5603,95.86
2021-09-13,5604,9.59
2021-09-14,5603,9.59
2021-09-15,5605,9.59
2021-09-16,5605,9.59
2021-09-17,5605,9.59
2021-09-18,5603,9.59
2021-09-19,5604,9.59
2021-09-20,5607,9.59
2021-09-21,5607,9.59
2021-09-22,5608,9.59
2021-09-23,5607,9.59
2021-09-24,5608,9.59
2021-09-25,5610,9.6
2021-09-26,5609,9.6
2021-09-27,5611,9.6
2021-09-28,5612,9.6
2021-09-29,5613,9.6
2021-09-30,5614,9.6
2021-10-01,5612,9.6
2021-10-02,5614,9.6
2021-10-03,5612,9.6
2021-10-04,5614,9.6
2021-10-05,5617,9.61
2021-10-06,5620,9.62
2021-10-07,5621,9.62
2021-10-08,5621,9.62
2021-10-09,5620,9.62
2021-10-10,5621,9.62
2021-10-11,5621,9.62
2021-10-12,5622,9.62
