Dia,Muertes_Totales,Tasa_Mortalidad
2021-04-05,635,29.86
2021-04-06,639,30.05
2021-04-07,640,30.09
2021-04-08,645,30.33
2021-04-09,650,30.56
2021-04-10,654,30.75
2021-04-11,664,31.22
2021-04-12,666,31.32
2021-04-13,670,31.5
2021-04-14,672,31.6
2021-04-15,673,31.64
2021-04-16,676,31.79
2021-04-17,681,32.02
2021-04-18,687,32.3
2021-04-19,689,32.4
2021-04-20,692,32.54
2021-04-21,694,32.63
2021-04-22,697,32.77
2021-04-23,701,32.96
2021-04-24,702,33.01
2021-04-25,703,33.06
2021-04-26,708,33.29
2021-04-27,709,33.34
2021-04-28,714,33.57
2021-04-29,718,33.76
2021-04-30,720,33.85
2021-05-01,721,33.9
2021-05-02,721,33.9
2021-05-03,722,33.95
2021-05-04,731,34.37
2021-05-05,731,34.37
2021-05-06,736,34.61
2021-05-07,740,34.79
2021-05-08,740,34.79
2021-05-09,741,34.84
2021-05-10,744,34.98
2021-05-11,744,34.98
2021-05-12,746,35.08
2021-05-13,750,35.26
2021-05-14,751,35.31
2021-05-15,753,35.41
2021-05-16,754,35.45
2021-05-17,756,35.55
2021-05-18,758,35.64
2021-05-19,758,35.64
2021-05-20,759,35.69
2021-05-21,762,35.83
2021-05-22,765,35.97
2021-05-23,767,36.06
2021-05-24,767,36.06
2021-05-25,770,36.21
2021-05-26,770,36.21
2021-05-27,771,36.25
2021-05-28,771,36.25
2021-05-29,771,36.25
2021-05-30,771,36.25
2021-05-31,1953,91.83
2021-06-01,1954,91.88
2021-06-02,1956,91.97
2021-06-03,1962,92.25
2021-06-04,1965,92.39
2021-06-05,1967,92.49
2021-06-06,1974,92.82
2021-06-07,1979,93.05
2021-06-08,1981,93.15
2021-06-09,1982,93.19
2021-06-10,1982,93.19
2021-06-11,1984,93.29
2021-06-12,1987,93.43
2021-06-13,1988,93.48
2021-06-14,1990,93.57
2021-06-15,1990,93.57
2021-06-16,1992,93.66
2021-06-17,1993,93.71
2021-06-18,1996,93.85
2021-06-19,1998,93.95
2021-06-20,1997,93.9
2021-06-21,1997,93.9
2021-06-22,1999,93.99
2021-06-23,1998,93.95
2021-06-24,1999,93.99
2021-06-25,2002,94.13
2021-06-26,2002,94.13
2021-06-27,2006,94.32
2021-06-28,2010,94.51
2021-06-29,2007,94.37
2021-06-30,2010,94.51
2021-07-01,2011,94.56
2021-07-02,2010,94.51
2021-07-03,2011,94.56
2021-07-04,2012,94.6
2021-07-05,2011,94.56
2021-07-06,2013,94.65
2021-07-07,2014,94.7
2021-07-08,2013,94.65
2021-07-09,2018,94.89
2021-07-10,2020,94.98
2021-07-11,2022,95.07
2021-07-12,2023,95.12
2021-07-13,2025,95.22
2021-07-14,2023,95.12
2021-07-15,2024,95.17
2021-07-16,2027,95.31
2021-07-17,2026,95.26
2021-07-18,2027,95.31
2021-07-19,2030,95.45
2021-07-20,2032,95.54
2021-07-21,2032,95.54
2021-07-22,2032,95.54
2021-07-23,2030,95.45
2021-07-24,2031,95.5
2021-07-25,2030,95.45
2021-07-26,2034,95.64
2021-07-27,2037,95.78
2021-07-28,2037,95.78
2021-07-29,2036,95.73
2021-07-30,2036,95.73
2021-07-31,2038,95.83
2021-08-01,2037,95.78
2021-08-02,2037,95.78
2021-08-03,2038,95.83
2021-08-04,2038,95.83
2021-08-05,2038,95.83
2021-08-06,2038,95.83
2021-08-07,2038,95.83
2021-08-08,2039,95.87
2021-08-09,2040,95.92
2021-08-10,2037,95.78
2021-08-11,2037,95.78
2021-08-12,2039,95.87
2021-08-13,2035,95.69
2021-08-14,2038,95.83
2021-08-15,2038,95.83
2021-08-16,2038,95.83
2021-08-17,2040,95.92
2021-08-18,2040,95.92
2021-08-19,2039,95.87
2021-08-20,2040,95.92
2021-08-21,2041,95.97
2021-08-22,2041,95.97
2021-08-23,2041,95.97
2021-08-24,2039,95.87
2021-08-25,2042,96.01
2021-08-26,2043,96.06
2021-08-27,2041,95.97
2021-08-28,2041,95.97
2021-08-29,2042,96.01
2021-08-30,2043,96.06
2021-08-31,2042,96.01
2021-09-01,2042,96.01
2021-09-02,2042,96.01
2021-09-03,2043,96.06
2021-09-04,2043,96.06
2021-09-05,2043,96.06
2021-09-06,2044,96.11
2021-09-07,2044,96.11
2021-09-08,2042,96.01
2021-09-09,2043,96.06
2021-09-10,2042,96.01
2021-09-11,2042,96.01
2021-09-12,2043,96.06
2021-09-13,2044,9.61
2021-09-14,2042,9.6
2021-09-15,2043,9.61
2021-09-16,2045,9.62
2021-09-17,2044,9.61
2021-09-18,2045,9.62
2021-09-19,2045,9.62
2021-09-20,2045,9.62
2021-09-21,2045,9.62
2021-09-22,2048,9.63
2021-09-23,2047,9.62
2021-09-24,2047,9.62
2021-09-25,2047,9.62
2021-09-26,2049,9.63
2021-09-27,2047,9.62
2021-09-28,2047,9.62
2021-09-29,2046,9.62
2021-09-30,2046,9.62
2021-10-01,2051,9.64
2021-10-02,2049,9.63
2021-10-03,2048,9.63
2021-10-04,2049,9.63
2021-10-05,2049,9.63
2021-10-06,2049,9.63
2021-10-07,2052,9.65
2021-10-08,2052,9.65
2021-10-09,2051,9.64
2021-10-10,2052,9.65
2021-10-11,2052,9.65
2021-10-12,2053,9.65
2021-10-13,2056,9.67
2021-10-14,2053,9.65
2021-10-15,2055,9.66
2021-10-16,2055,9.66
2021-10-17,2055,9.66
2021-10-18,2053,9.65
2021-10-19,2054,9.66
2021-10-20,2056,9.67
2021-10-21,2056,9.67
2021-10-22,2054,9.66
2021-10-23,2056,9.67
2021-10-24,2055,9.66
2021-10-25,2054,9.66
2021-10-26,2054,9.66
2021-10-27,2055,9.66
2021-10-28,2056,9.67
2021-10-29,2056,9.67
2021-10-30,2055,9.66
2021-10-31,2058,9.68
2021-11-01,2059,9.68
2021-11-02,2057,9.67
2021-11-03,2057,9.67
2021-11-04,2059,9.68
2021-11-05,2056,9.67
2021-11-06,2057,9.67
2021-11-07,2055,9.66
2021-11-08,2058,9.68
2021-11-09,2058,9.68
2021-11-10,2057,9.67
2021-11-11,2059,9.68
2021-11-12,2058,9.68
2021-11-13,2058,9.68
2021-11-14,2057,9.67
2021-11-15,2057,9.67
2021-11-16,2057,9.67
2021-11-17,2057,9.67
2021-11-18,2057,9.67
2021-11-19,2060,9.69
2021-11-20,2060,9.69
2021-11-21,2057,9.67
2021-11-22,2060,9.69
2021-11-23,2055,9.66
2021-11-24,2054,9.66
2021-11-25,2057,9.67
2021-11-26,2057,9.67
2021-11-27,2057,9.67
2021-11-28,2058,9.68
2021-11-29,2056,9.67
2021-11-30,2061,9.69
2021-12-01,2058,9.68
