Dia,Muertes_Totales,Tasa_Mortalidad
2021-05-15,615,25.46
2021-05-16,618,25.59
2021-05-17,618,25.59
2021-05-18,624,25.84
2021-05-19,624,25.84
2021-05-20,626,25.92
2021-05-21,626,25.92
2021-05-22,629,26.04
2021-05-23,631,26.13
2021-05-24,631,26.13
2021-05-25,634,26.25
2021-05-26,635,26.29
2021-05-27,635,26.29
2021-05-28,637,26.38
2021-05-29,637,26.38
2021-05-30,637,26.38
2021-05-31,1929,79.87
2021-06-01,1927,79.79
2021-06-02,1930,79.91
2021-06-03,1930,79.91
2021-06-04,1930,79.91
2021-06-05,1932,80
2021-06-06,1934,80.08
2021-06-07,1937,80.2
2021-06-08,1937,80.2
2021-06-09,1939,80.29
2021-06-10,1940,80.33
2021-06-11,1942,80.41
2021-06-12,1942,80.41
2021-06-13,1943,80.45
2021-06-14,1944,80.49
2021-06-15,1946,80.58
2021-06-16,1946,80.58
2021-06-17,1948,80.66
2021-06-18,1946,80.58
2021-06-19,1948,80.66
2021-06-20,1949,80.7
2021-06-21,1949,80.7
2021-06-22,1950,80.74
2021-06-23,1952,80.82
2021-06-24,1952,80.82
2021-06-25,1949,80.7
2021-06-26,1952,80.82
2021-06-27,1954,80.91
2021-06-28,1955,80.95
2021-06-29,1953,80.87
2021-06-30,1955,80.95
2021-07-01,1957,81.03
2021-07-02,1957,81.03
2021-07-03,1959,81.11
2021-07-04,1960,81.16
2021-07-05,1961,81.2
2021-07-06,1963,81.28
2021-07-07,1962,81.24
2021-07-08,1964,81.32
2021-07-09,1962,81.24
2021-07-10,1963,81.28
2021-07-11,1966,81.4
2021-07-12,1965,81.36
2021-07-13,1964,81.32
2021-07-14,1967,81.45
2021-07-15,1967,81.45
2021-07-16,1964,81.32
2021-07-17,1965,81.36
2021-07-18,1964,81.32
2021-07-19,1966,81.4
2021-07-20,1966,81.4
2021-07-21,1966,81.4
2021-07-22,1968,81.49
2021-07-23,1967,81.45
2021-07-24,1968,81.49
2021-07-25,1968,81.49
2021-07-26,1968,81.49
2021-07-27,1970,81.57
2021-07-28,1971,81.61
2021-07-29,1970,81.57
2021-07-30,1971,81.61
2021-07-31,1969,81.53
2021-08-01,1969,81.53
2021-08-02,1971,81.61
2021-08-03,1973,81.69
2021-08-04,1974,81.74
2021-08-05,1974,81.74
2021-08-06,1974,81.74
2021-08-07,1974,81.74
2021-08-08,1974,81.74
2021-08-09,1977,81.86
2021-08-10,1974,81.74
2021-08-11,1975,81.78
2021-08-12,1975,81.78
2021-08-13,1975,81.78
2021-08-14,1977,81.86
2021-08-15,1977,81.86
2021-08-16,1978,81.9
2021-08-17,1977,81.86
2021-08-18,1978,81.9
2021-08-19,1977,81.86
2021-08-20,1979,81.94
2021-08-21,1977,81.86
2021-08-22,1977,81.86
2021-08-23,1977,81.86
2021-08-24,1978,81.9
2021-08-25,1978,81.9
2021-08-26,1977,81.86
2021-08-27,1980,81.98
2021-08-28,1980,81.98
2021-08-29,1978,81.9
2021-08-30,1979,81.94
2021-08-31,1978,81.9
2021-09-01,1979,81.94
2021-09-02,1979,81.94
2021-09-03,1981,82.03
2021-09-04,1981,82.03
2021-09-05,1979,81.94
2021-09-06,1979,81.94
2021-09-07,1979,81.94
2021-09-08,1981,82.03
2021-09-09,1980,81.98
2021-09-10,1981,82.03
2021-09-11,1982,82.07
2021-09-12,1982,82.07
2021-09-13,1981,8.2
2021-09-14,1982,8.21
2021-09-15,1981,8.2
2021-09-16,1983,8.21
2021-09-17,1983,8.21
2021-09-18,1984,8.21
2021-09-19,1984,8.21
2021-09-20,1984,8.21
2021-09-21,1984,8.21
2021-09-22,1986,8.22
2021-09-23,1986,8.22
2021-09-24,1986,8.22
2021-09-25,1986,8.22
2021-09-26,1987,8.23
2021-09-27,1987,8.23
2021-09-28,1987,8.23
2021-09-29,1986,8.22
2021-09-30,1990,8.24
2021-10-01,1987,8.23
2021-10-02,1987,8.23
2021-10-03,1988,8.23
2021-10-04,1988,8.23
2021-10-05,1989,8.24
2021-10-06,1987,8.23
2021-10-07,1990,8.24
2021-10-08,1989,8.24
2021-10-09,1989,8.24
2021-10-10,1989,8.24
2021-10-11,1990,8.24
2021-10-12,1989,8.24
