Dia,Muertes_Totales,Tasa_Mortalidad
2021-04-05,417,46.35
2021-04-06,423,47.01
2021-04-07,425,47.23
2021-04-08,427,47.46
2021-04-09,429,47.68
2021-04-10,429,47.68
2021-04-11,434,48.24
2021-04-12,436,48.46
2021-04-13,436,48.46
2021-04-14,439,48.79
2021-04-15,442,49.12
2021-04-16,447,49.68
2021-04-17,452,50.24
2021-04-18,459,51.01
2021-04-19,461,51.24
2021-04-20,463,51.46
2021-04-21,466,51.79
2021-04-22,468,52.01
2021-04-23,470,52.24
2021-04-24,471,52.35
2021-04-25,474,52.68
2021-04-26,480,53.35
2021-04-27,481,53.46
2021-04-28,483,53.68
2021-04-29,486,54.01
2021-04-30,487,54.13
2021-05-01,488,54.24
2021-05-02,492,54.68
2021-05-03,495,55.01
2021-05-04,493,54.79
2021-05-05,493,54.79
2021-05-06,496,55.13
2021-05-07,497,55.24
2021-05-08,500,55.57
2021-05-09,502,55.79
2021-05-10,504,56.01
2021-05-11,505,56.13
2021-05-12,510,56.68
2021-05-13,511,56.79
2021-05-14,515,57.24
2021-05-15,517,57.46
2021-05-16,519,57.68
2021-05-17,524,58.24
2021-05-18,526,58.46
2021-05-19,531,59.02
2021-05-20,531,59.02
2021-05-21,531,59.02
2021-05-22,535,59.46
2021-05-23,536,59.57
2021-05-24,536,59.57
2021-05-25,537,59.68
2021-05-26,539,59.9
2021-05-27,540,60.02
2021-05-28,542,60.24
2021-05-29,543,60.35
2021-05-30,543,60.35
2021-05-31,1672,185.83
2021-06-01,1678,186.49
2021-06-02,1677,186.38
2021-06-03,1679,186.61
2021-06-04,1682,186.94
2021-06-05,1687,187.49
2021-06-06,1687,187.49
2021-06-07,1690,187.83
2021-06-08,1694,188.27
2021-06-09,1699,188.83
2021-06-10,1702,189.16
2021-06-11,1705,189.5
2021-06-12,1709,189.94
2021-06-13,1711,190.16
2021-06-14,1719,191.05
2021-06-15,1719,191.05
2021-06-16,1740,193.38
2021-06-17,1739,193.27
2021-06-18,1744,193.83
2021-06-19,1745,193.94
2021-06-20,1752,194.72
2021-06-21,1757,195.27
2021-06-22,1760,195.61
2021-06-23,1760,195.61
2021-06-24,1763,195.94
2021-06-25,1762,195.83
2021-06-26,1764,196.05
2021-06-27,1766,196.27
2021-06-28,1770,196.72
2021-06-29,1770,196.72
2021-06-30,1771,196.83
2021-07-01,1773,197.05
2021-07-02,1775,197.27
2021-07-03,1775,197.27
2021-07-04,1778,197.61
2021-07-05,1782,198.05
2021-07-06,1782,198.05
2021-07-07,1784,198.28
2021-07-08,1785,198.39
2021-07-09,1786,198.5
2021-07-10,1788,198.72
2021-07-11,1789,198.83
2021-07-12,1793,199.28
2021-07-13,1795,199.5
2021-07-14,1796,199.61
2021-07-15,1796,199.61
2021-07-16,1801,200.16
2021-07-17,1801,200.16
2021-07-18,1805,200.61
2021-07-19,1812,201.39
2021-07-20,1817,201.94
2021-07-21,1818,202.05
2021-07-22,1820,202.28
2021-07-23,1822,202.5
2021-07-24,1824,202.72
2021-07-25,1825,202.83
2021-07-26,1825,202.83
2021-07-27,1829,203.28
2021-07-28,1830,203.39
2021-07-29,1829,203.28
2021-07-30,1830,203.39
2021-07-31,1830,203.39
2021-08-01,1830,203.39
2021-08-02,1831,203.5
2021-08-03,1834,203.83
2021-08-04,1834,203.83
2021-08-05,1834,203.83
2021-08-06,1835,203.94
2021-08-07,1840,204.5
2021-08-08,1841,204.61
2021-08-09,1841,204.61
2021-08-10,1842,204.72
2021-08-11,1844,204.94
2021-08-12,1845,205.05
2021-08-13,1845,205.05
2021-08-14,1844,204.94
2021-08-15,1845,205.05
2021-08-16,1846,205.17
2021-08-17,1844,204.94
2021-08-18,1844,204.94
2021-08-19,1844,204.94
2021-08-20,1844,204.94
2021-08-21,1844,204.94
2021-08-22,1844,204.94
2021-08-23,1846,205.17
2021-08-24,1847,205.28
2021-08-25,1848,205.39
2021-08-26,1846,205.17
2021-08-27,1846,205.17
2021-08-28,1847,205.28
2021-08-29,1847,205.28
2021-08-30,1847,205.28
2021-08-31,1847,205.28
2021-09-01,1847,205.28
2021-09-02,1848,205.39
2021-09-03,1849,205.5
2021-09-04,1849,205.5
2021-09-05,1849,205.5
2021-09-06,1849,205.5
2021-09-07,1849,205.5
2021-09-08,1850,205.61
2021-09-09,1850,205.61
2021-09-10,1851,205.72
2021-09-11,1851,205.72
2021-09-12,1851,205.72
2021-09-13,1852,20.58
2021-09-14,1852,20.58
2021-09-15,1852,20.58
2021-09-16,1853,20.59
2021-09-17,1853,20.59
2021-09-18,1853,20.59
2021-09-19,1853,20.59
2021-09-20,1853,20.59
2021-09-21,1853,20.59
2021-09-22,1853,20.59
2021-09-23,1853,20.59
2021-09-24,1854,20.61
2021-09-25,1854,20.61
2021-09-26,1854,20.61
2021-09-27,1854,20.61
2021-09-28,1854,20.61
2021-09-29,1854,20.61
2021-09-30,1854,20.61
2021-10-01,1854,20.61
2021-10-02,1854,20.61
2021-10-03,1854,20.61
2021-10-04,1855,20.62
2021-10-05,1856,20.63
2021-10-06,1856,20.63
2021-10-07,1857,20.64
2021-10-08,1858,20.65
2021-10-09,1858,20.65
2021-10-10,1859,20.66
2021-10-11,1860,20.67
2021-10-12,1860,20.67
2021-10-13,1860,20.67
2021-10-14,1860,20.67
2021-10-15,1860,20.67
2021-10-16,1860,20.67
2021-10-17,1861,20.68
2021-10-18,1861,20.68
2021-10-19,1861,20.68
2021-10-20,1862,20.69
2021-10-21,1862,20.69
2021-10-22,1862,20.69
2021-10-23,1862,20.69
2021-10-24,1862,20.69
2021-10-25,1862,20.69
2021-10-26,1862,20.69
2021-10-27,1863,20.71
2021-10-28,1863,20.71
2021-10-29,1863,20.71
2021-10-30,1864,20.72
2021-10-31,1864,20.72
2021-11-01,1865,20.73
2021-11-02,1865,20.73
2021-11-03,1866,20.74
2021-11-04,1866,20.74
2021-11-05,1867,20.75
2021-11-06,1867,20.75
2021-11-07,1867,20.75
2021-11-08,1867,20.75
2021-11-09,1867,20.75
2021-11-10,1867,20.75
2021-11-11,1867,20.75
2021-11-12,1867,20.75
2021-11-13,1867,20.75
