Dia,Muertes_Totales,Tasa_Mortalidad
2021-04-17,290,14.77
2021-04-18,291,14.82
2021-04-19,293,14.92
2021-04-20,300,15.28
2021-04-21,303,15.43
2021-04-22,306,15.58
2021-04-23,306,15.58
2021-04-24,309,15.74
2021-04-25,311,15.84
2021-04-26,313,15.94
2021-04-27,316,16.09
2021-04-28,322,16.4
2021-04-29,326,16.6
2021-04-30,330,16.81
2021-05-01,335,17.06
2021-05-02,337,17.16
2021-05-03,338,17.21
2021-05-04,336,17.11
2021-05-05,336,17.11
2021-05-06,340,17.32
2021-05-07,342,17.42
2021-05-08,343,17.47
2021-05-09,345,17.57
2021-05-10,347,17.67
2021-05-11,348,17.72
2021-05-12,349,17.77
2021-05-13,351,17.88
2021-05-14,354,18.03
2021-05-15,355,18.08
2021-05-16,355,18.08
2021-05-17,358,18.23
2021-05-18,359,18.28
2021-05-19,359,18.28
2021-05-20,360,18.33
2021-05-21,360,18.33
2021-05-22,361,18.39
2021-05-23,362,18.44
2021-05-24,362,18.44
2021-05-25,362,18.44
2021-05-26,365,18.59
2021-05-27,365,18.59
2021-05-28,367,18.69
2021-05-29,367,18.69
2021-05-30,367,18.69
2021-05-31,875,44.56
2021-06-01,874,44.51
2021-06-02,879,44.77
2021-06-03,875,44.56
2021-06-04,874,44.51
2021-06-05,878,44.72
2021-06-06,880,44.82
2021-06-07,881,44.87
2021-06-08,883,44.97
2021-06-09,884,45.02
2021-06-10,885,45.07
2021-06-11,887,45.17
2021-06-12,890,45.33
2021-06-13,890,45.33
2021-06-14,893,45.48
2021-06-15,892,45.43
2021-06-16,891,45.38
2021-06-17,893,45.48
2021-06-18,894,45.53
2021-06-19,894,45.53
2021-06-20,894,45.53
2021-06-21,894,45.53
2021-06-22,892,45.43
2021-06-23,892,45.43
2021-06-24,892,45.43
2021-06-25,891,45.38
2021-06-26,891,45.38
2021-06-27,891,45.38
2021-06-28,889,45.28
2021-06-29,889,45.28
2021-06-30,891,45.38
2021-07-01,891,45.38
2021-07-02,892,45.43
2021-07-03,893,45.48
2021-07-04,893,45.48
2021-07-05,897,45.68
2021-07-06,898,45.73
2021-07-07,897,45.68
2021-07-08,898,45.73
2021-07-09,896,45.63
2021-07-10,897,45.68
2021-07-11,897,45.68
2021-07-12,897,45.68
2021-07-13,895,45.58
2021-07-14,897,45.68
2021-07-15,898,45.73
2021-07-16,896,45.63
2021-07-17,898,45.73
2021-07-18,900,45.84
2021-07-19,898,45.73
2021-07-20,899,45.78
2021-07-21,899,45.78
2021-07-22,899,45.78
2021-07-23,900,45.84
2021-07-24,900,45.84
2021-07-25,903,45.99
2021-07-26,903,45.99
2021-07-27,900,45.84
2021-07-28,902,45.94
2021-07-29,901,45.89
2021-07-30,901,45.89
2021-07-31,902,45.94
2021-08-01,902,45.94
2021-08-02,903,45.99
2021-08-03,903,45.99
2021-08-04,903,45.99
2021-08-05,903,45.99
2021-08-06,903,45.99
2021-08-07,903,45.99
2021-08-08,903,45.99
2021-08-09,901,45.89
2021-08-10,904,46.04
2021-08-11,905,46.09
2021-08-12,905,46.09
2021-08-13,903,45.99
2021-08-14,905,46.09
2021-08-15,907,46.19
2021-08-16,906,46.14
2021-08-17,908,46.24
2021-08-18,908,46.24
2021-08-19,908,46.24
2021-08-20,908,46.24
2021-08-21,907,46.19
2021-08-22,907,46.19
2021-08-23,907,46.19
2021-08-24,907,46.19
2021-08-25,909,46.29
2021-08-26,909,46.29
2021-08-27,907,46.19
2021-08-28,908,46.24
2021-08-29,909,46.29
2021-08-30,909,46.29
2021-08-31,910,46.34
2021-09-01,910,46.34
2021-09-02,910,46.34
2021-09-03,910,46.34
2021-09-04,910,46.34
2021-09-05,910,46.34
2021-09-06,908,46.24
2021-09-07,908,46.24
2021-09-08,909,46.29
2021-09-09,908,46.24
2021-09-10,909,46.29
2021-09-11,909,46.29
2021-09-12,908,46.24
2021-09-13,909,4.63
2021-09-14,910,4.63
2021-09-15,910,4.63
2021-09-16,910,4.63
2021-09-17,909,4.63
2021-09-18,910,4.63
2021-09-19,910,4.63
2021-09-20,909,4.63
2021-09-21,909,4.63
2021-09-22,910,4.63
2021-09-23,911,4.64
2021-09-24,911,4.64
2021-09-25,911,4.64
2021-09-26,912,4.64
2021-09-27,912,4.64
2021-09-28,912,4.64
2021-09-29,912,4.64
2021-09-30,912,4.64
2021-10-01,911,4.64
2021-10-02,910,4.63
2021-10-03,912,4.64
2021-10-04,913,4.65
2021-10-05,912,4.64
2021-10-06,911,4.64
2021-10-07,912,4.64
2021-10-08,913,4.65
2021-10-09,913,4.65
2021-10-10,913,4.65
2021-10-11,913,4.65
2021-10-12,913,4.65
