Dia,Muertes_Totales,Tasa_Mortalidad
2021-09-01,2644,132.41
2021-09-02,2643,132.36
2021-09-03,2645,132.46
2021-09-04,2645,132.46
2021-09-05,2645,132.46
2021-09-06,2644,132.41
2021-09-07,2645,132.46
2021-09-08,2647,132.56
2021-09-09,2645,132.46
2021-09-10,2645,132.46
2021-09-11,2646,132.51
2021-09-12,2647,132.56
2021-09-13,2647,13.26
2021-09-14,2648,13.26
2021-09-15,2651,13.28
2021-09-16,2651,13.28
2021-09-17,2653,13.29
2021-09-18,2654,13.29
2021-09-19,2654,13.29
2021-09-20,2649,13.27
2021-09-21,2650,13.27
2021-09-22,2652,13.28
2021-09-23,2652,13.28
2021-09-24,2652,13.28
2021-09-25,2652,13.28
2021-09-26,2654,13.29
2021-09-27,2654,13.29
2021-09-28,2654,13.29
2021-09-29,2653,13.29
2021-09-30,2653,13.29
2021-10-01,2652,13.28
2021-10-02,2654,13.29
2021-10-03,2652,13.28
2021-10-04,2653,13.29
2021-10-05,2653,13.29
2021-10-06,2652,13.28
2021-10-07,2656,13.3
2021-10-08,2656,13.3
2021-10-09,2654,13.29
