Dia,Muertes_Totales,Tasa_Mortalidad
2021-04-05,1622,50.42
2021-04-06,1646,51.17
2021-04-07,1650,51.29
2021-04-08,1663,51.7
2021-04-09,1671,51.95
2021-04-10,1674,52.04
2021-04-11,1684,52.35
2021-04-12,1699,52.82
2021-04-13,1705,53
2021-04-14,1709,53.13
2021-04-15,1714,53.28
2021-04-16,1725,53.63
2021-04-17,1733,53.87
2021-04-18,1741,54.12
2021-04-19,1759,54.68
2021-04-20,1766,54.9
2021-04-21,1786,55.52
2021-04-22,1799,55.93
2021-04-23,1809,56.24
2021-04-24,1819,56.55
2021-04-25,1827,56.8
2021-04-26,1846,57.39
2021-04-27,1854,57.64
2021-04-28,1865,57.98
2021-04-29,1872,58.2
2021-04-30,1884,58.57
2021-05-01,1893,58.85
2021-05-02,1899,59.04
2021-05-03,1909,59.35
2021-05-04,1912,59.44
2021-05-05,1912,59.44
2021-05-06,1929,59.97
2021-05-07,1932,60.06
2021-05-08,1936,60.19
2021-05-09,1940,60.31
2021-05-10,1950,60.62
2021-05-11,1950,60.62
2021-05-12,1964,61.06
2021-05-13,1973,61.34
2021-05-14,1981,61.58
2021-05-15,1989,61.83
2021-05-16,1995,62.02
2021-05-17,2004,62.3
2021-05-18,2007,62.39
2021-05-19,2017,62.7
2021-05-20,2029,63.08
2021-05-21,2031,63.14
2021-05-22,2035,63.26
2021-05-23,2041,63.45
2021-05-24,2043,63.51
2021-05-25,2047,63.64
2021-05-26,2049,63.7
2021-05-27,2053,63.82
2021-05-28,2062,64.1
2021-05-29,2062,64.1
2021-05-30,2062,64.1
2021-05-31,7637,237.42
2021-06-01,7659,238.1
2021-06-02,7686,238.94
2021-06-03,7695,239.22
2021-06-04,7700,239.38
2021-06-05,7708,239.62
2021-06-06,7716,239.87
2021-06-07,7743,240.71
2021-06-08,7751,240.96
2021-06-09,7762,241.3
2021-06-10,7775,241.71
2021-06-11,7779,241.83
2021-06-12,7792,242.24
2021-06-13,7792,242.24
2021-06-14,7803,242.58
2021-06-15,7806,242.67
2021-06-16,7822,243.17
2021-06-17,7823,243.2
2021-06-18,7835,243.57
2021-06-19,7840,243.73
2021-06-20,7861,244.38
2021-06-21,7896,245.47
2021-06-22,7908,245.84
2021-06-23,7932,246.59
2021-06-24,7961,247.49
2021-06-25,7962,247.52
2021-06-26,7968,247.71
2021-06-27,7985,248.24
2021-06-28,7988,248.33
2021-06-29,7989,248.36
2021-06-30,7992,248.45
2021-07-01,8002,248.76
2021-07-02,8013,249.11
2021-07-03,8016,249.2
2021-07-04,8021,249.35
2021-07-05,8026,249.51
2021-07-06,8034,249.76
2021-07-07,8040,249.94
2021-07-08,8046,250.13
2021-07-09,8053,250.35
2021-07-10,8054,250.38
2021-07-11,8056,250.44
2021-07-12,8060,250.57
2021-07-13,8070,250.88
2021-07-14,8069,250.85
2021-07-15,8080,251.19
2021-07-16,8081,251.22
2021-07-17,8079,251.16
2021-07-18,8084,251.31
2021-07-19,8090,251.5
2021-07-20,8088,251.44
2021-07-21,8090,251.5
2021-07-22,8095,251.65
2021-07-23,8102,251.87
2021-07-24,8099,251.78
2021-07-25,8102,251.87
2021-07-26,8105,251.97
2021-07-27,8109,252.09
2021-07-28,8111,252.15
2021-07-29,8113,252.21
2021-07-30,8115,252.28
2021-07-31,8115,252.28
2021-08-01,8117,252.34
2021-08-02,8122,252.49
2021-08-03,8118,252.37
2021-08-04,8124,252.56
2021-08-05,8125,252.59
2021-08-06,8127,252.65
2021-08-07,8127,252.65
2021-08-08,8130,252.74
2021-08-09,8133,252.84
2021-08-10,8141,253.08
2021-08-11,8140,253.05
2021-08-12,8146,253.24
2021-08-13,8172,254.05
2021-08-14,8176,254.17
2021-08-15,8179,254.27
2021-08-16,8189,254.58
2021-08-17,8220,255.54
2021-08-18,8222,255.6
2021-08-19,8223,255.63
2021-08-20,8225,255.7
2021-08-21,8229,255.82
2021-08-22,8231,255.88
2021-08-23,8234,255.98
2021-08-24,8232,255.91
2021-08-25,8234,255.98
2021-08-26,8243,256.26
2021-08-27,8245,256.32
2021-08-28,8245,256.32
2021-08-29,8247,256.38
2021-08-30,8246,256.35
2021-08-31,8247,256.38
2021-09-01,8248,256.41
2021-09-02,8248,256.41
2021-09-03,8250,256.47
2021-09-04,8250,256.47
2021-09-05,8252,256.54
2021-09-06,8251,256.5
2021-09-07,8251,256.5
2021-09-08,8251,256.5
2021-09-09,8251,256.5
2021-09-10,8254,256.6
2021-09-11,8255,256.63
2021-09-12,8257,256.69
2021-09-13,8256,25.67
2021-09-14,8257,25.67
2021-09-15,8255,25.66
2021-09-16,8258,25.67
2021-09-17,8259,25.68
2021-09-18,8260,25.68
2021-09-19,8260,25.68
2021-09-20,8260,25.68
2021-09-21,8262,25.68
2021-09-22,8261,25.68
2021-09-23,8263,25.69
2021-09-24,8266,25.7
2021-09-25,8266,25.7
2021-09-26,8266,25.7
2021-09-27,8267,25.7
2021-09-28,8268,25.7
2021-09-29,8267,25.7
2021-09-30,8266,25.7
2021-10-01,8269,25.71
2021-10-02,8268,25.7
2021-10-03,8269,25.71
2021-10-04,8273,25.72
2021-10-05,8271,25.71
2021-10-06,8270,25.71
2021-10-07,8271,25.71
2021-10-08,8273,25.72
2021-10-09,8274,25.72
2021-10-10,8275,25.73
2021-10-11,8277,25.73
2021-10-12,8277,25.73
2021-10-13,8277,25.73
2021-10-14,8281,25.74
2021-10-15,8279,25.74
2021-10-16,8280,25.74
2021-10-17,8280,25.74
2021-10-18,8278,25.73
2021-10-19,8281,25.74
2021-10-20,8281,25.74
2021-10-21,8283,25.75
2021-10-22,8280,25.74
2021-10-23,8285,25.76
2021-10-24,8287,25.76
2021-10-25,8288,25.77
2021-10-26,8287,25.76
2021-10-27,8288,25.77
2021-10-28,8291,25.77
2021-10-29,8288,25.77
2021-10-30,8289,25.77
2021-10-31,8286,25.76
2021-11-01,8290,25.77
2021-11-02,8286,25.76
2021-11-03,8290,25.77
2021-11-04,8292,25.78
2021-11-05,8292,25.78
