Dia,Muertes_Totales,Tasa_Mortalidad
2021-09-01,836,134.34
2021-09-02,835,134.18
2021-09-03,835,134.18
2021-09-04,835,134.18
2021-09-05,837,134.5
2021-09-06,836,134.34
2021-09-07,836,134.34
2021-09-08,836,134.34
2021-09-09,836,134.34
2021-09-10,836,134.34
2021-09-11,836,134.34
2021-09-12,836,134.34
2021-09-13,836,13.43
2021-09-14,838,13.47
2021-09-15,838,13.47
2021-09-16,838,13.47
2021-09-17,838,13.47
2021-09-18,837,13.45
2021-09-19,837,13.45
2021-09-20,838,13.47
2021-09-21,838,13.47
2021-09-22,838,13.47
2021-09-23,837,13.45
2021-09-24,837,13.45
2021-09-25,837,13.45
2021-09-26,838,13.47
2021-09-27,837,13.45
2021-09-28,837,13.45
2021-09-29,838,13.47
2021-09-30,839,13.48
