Dia,Muertes_Totales,Tasa_Mortalidad
2021-09-01,3033,73.93
2021-09-02,3034,73.95
2021-09-03,3033,73.93
2021-09-04,3033,73.93
2021-09-05,3035,73.98
2021-09-06,3035,73.98
2021-09-07,3035,73.98
2021-09-08,3036,74
2021-09-09,3037,74.02
2021-09-10,3036,74
2021-09-11,3037,74.02
2021-09-12,3037,74.02
2021-09-13,3038,7.4
2021-09-14,3037,7.4
2021-09-15,3036,7.4
2021-09-16,3039,7.41
2021-09-17,3039,7.41
2021-09-18,3037,7.4
2021-09-19,3037,7.4
2021-09-20,3037,7.4
2021-09-21,3037,7.4
2021-09-22,3039,7.41
2021-09-23,3038,7.4
2021-09-24,3038,7.4
2021-09-25,3038,7.4
2021-09-26,3038,7.4
2021-09-27,3039,7.41
2021-09-28,3039,7.41
2021-09-29,3037,7.4
2021-09-30,3038,7.4
